124283271_380858066469945344 x	Oxygen? #MichaelVick
124283271_273116411214299136 x	Looking 4 a creative & cut throat #CPA. Philly area only. Any candidates?
124283271_380858721460813824 x	@LesBowen post game question made easy for you.
124283271_392274058131542016 x	@WIPMorningShow Ang, when u returned ur Foles jersey, did they give u a refund?
124283271_392244491694133248 x	Thx to @gingertcg & TCG for treating us to Eagles tix. Great seats. http://t.co/cJRQ5mrfsQ
124283271_392241486840221696 x	@WIPMorningShow 3 possible reasons Foles sucked: He's from TX & his mom is a cowboys fan | Needed to go #2 | He owed $ to a loan shark.
124283271_390565853378674688 x	@MikeMiss975 on board with u on rooting for local teams. What's the protocol for PSU fans that live in philly and never attended it?
124283271_390616267314696192 x	@MikeMiss975 how so Mike? Geo location, pro or college. If u didn't live in a city or attended a school u shouldn't root for that team.
124283271_390627955552321536 x	@MikeMiss975 then keep it local and root for Temple! BTW, thx 4 reply and not big-timing a fan. Cheers.
124283271_384787804158713856 x	@MikeMiss975 had to make silly baby noises not hear u talk about last BB episode. LMK, when ur done #SpoilerAlert  so I can tune u back on.
124283271_350365744904667140 x	I posted 14 photos on Facebook in the album "ARI Corporate Video" http://t.co/JR6cjuu793
124283271_384787087159218176 x	@MikeMiss975 we're not that lucky 2 have 20hrs of free time 2 watch 5 seasons of B-Bad. Watching last 2 episodes tonight #SpoilerAlert
124283271_380669592567570432 x	@jmbramblings @WIPMorningShow So u'r saying the old GF has a hotter BF than us? After tonight, both will be 2 and 1. Odds will even up.
124283271_381027239993024512 x	@jmbramblings @WIPMorningShow you were right, I was wrong. Our new GF showed her ugly face. Embarrassing. #Eagles
124283271_380836523043995648 x	@donovanjmcnabb tell D Sanders we'll kick our uncle if he's a cowboys fan. Proud u were our QB. Congrats tonight, HOF'er in my book.
124283271_380728874109509632 x	What would #SteveJobs think about #iOS7 #UI design? #apple lost a step in trend setting.
124283271_380686920013324288 x	U'll be fine V. Just do ur thing.  ?@MikeVick: Man we need this win..... Let's get it Philly. #BLEEDGREEN?
124283271_380664996071759872 x	@WIPMorningShow Chip is that new hot girlfriend you take to HS dance to make your old one jealous. Tonight is that big dance.
124283271_380661882136567808 x	@WIPMorningShow only reason #Eagles need 2 win tonight is for us #EaglesFans getting some closure with Andy. Our psyche is fragile.
124283271_380489416969420802 x	1st pic with #iOS7 new camera feature. http://t.co/2arrQ8DAFc
124283271_380488244145967104 x	Good time to get into a time machine. Revert back to good'all iOS6. #iOS7
124283271_380485263753232384 x	Set my iPhone wallpaper to a pic, no parallax. Am I missing something? #iOS7
124283271_380484293191290880 x	Okay, not liking the #iOS7 at all. My iPhone is looking like every other phone. Why fix what wasn't broken?Disappointing.
124283271_380295894010454016 x	@WIPMorningShow best philly sport duo: Keith Jones & his race horse.
124283271_380300102168215552 x	@jmbramblings @WIPMorningShow that's why we didn't call it in :)
124283271_375961457827258368 x	I just uploaded "My Balance.mp4" to Vimeo: http://t.co/oEA4vITZLF
124283271_370525697040973824 x	RT @ADCPhilly: Bands performing: @agencyinside @theshooterstv @Follow20nine @PointRoll @Masterminds @The_Star_Group @BackeMarketing
124283271_370525664799387649 x	RT @ADCPhilly: The Battle is on! 3rd Annual Battle of the Agency Bands. Thrs Sept 26th @Dobb's. http://t.co/1AW1VgNns3 for more details.
124283271_358163259355963394 x	I just liked "New York Biotopes" on Vimeo: http://t.co/E2I1SEIBhA
124283271_357687102009389056 x	I just liked "SHUNPO" on Vimeo: http://t.co/Sn97AWLpDx
124283271_357661455132266498 x	I just liked "OBA-CHAN" on Vimeo: http://t.co/5mKh2negof
124283271_357475821868421120 x	I just liked "FROM PAPER TO SCREEN" by @TdeFournas on Vimeo: http://t.co/AcxLv1TIIf
124283271_357469772620890112 x	I just liked "Phonat - Ride The prejudice" on Vimeo: http://t.co/dJxbbdphzI
124283271_357466201179422720 x	I just liked "The Lion - Benjamin Scheuer/Escapist Papers" by @radishpictures on Vimeo: http://t.co/P3Ma4vmIQH
124283271_357003368713031682 x	I just uploaded "GeoBlue_Meet GeoBlue.mp4" to Vimeo: http://t.co/3WS1EdL8Io
124283271_356935055043596289 x	I just liked "The Revenge of the Beasts" on Vimeo: http://t.co/fIaoTTKoKP
124283271_356456198838562819 x	I just uploaded "GeoBlue - App Video.mp4" to Vimeo: http://t.co/xoBgltZxKD
124283271_356455815059750913 x	I just uploaded "PB_Master_h264.mp4" to Vimeo: http://t.co/vM00y5UKQS
124283271_356455537791086593 x	I just uploaded "PB_TicketLeap.mp4" to Vimeo: http://t.co/kChhi7uuZt
124283271_356455535245135872 x	I just uploaded "ARI_Town_Hall-1280x720-3Mbs.mp4" to Vimeo: http://t.co/OtHe5tPuUj
124283271_354566262514397185 x	I just uploaded "AvenueRed-2011Reel.mp4" to Vimeo: http://t.co/0uYPSXVgAs
124283271_350752501286453248 x	Employee Testimonial In 1 Word by High Heels & Bananas http://t.co/mcHxEXCpBb
124283271_350752361368649729 x	Corporate Video by High Heels & Bananas http://t.co/y3JA00w2iC
124283271_350365783538417665 x	I posted 7 photos on Facebook in the album "ARI Corporate Video" http://t.co/GeZeuQJ7o7
124283271_350365780837277696 x	I posted 4 photos on Facebook in the album "ARI Corporate Video" http://t.co/LcSt3gJk9P
124283271_350365777263734784 x	I posted 10 photos on Facebook in the album "ARI Corporate Video" http://t.co/rUNVjEYeJy
124283271_350365774201892864 x	Day 4 - Shoot Day: Scott and Tony Stewart shooting Delivery Man scene. http://t.co/Bp4Q6H3ooy
124283271_350365771400089600 x	I posted 15 photos on Facebook in the album "ARI Corporate Video" http://t.co/m99TsQqE0m
124283271_350365768753496065 x	I posted 6 photos on Facebook in the album "ARI Corporate Video" http://t.co/A1WI6YXCsF
124283271_350365766098501633 x	I posted 5 photos on Facebook in the album "ARI Corporate Video" http://t.co/CAPfBam5lO
124283271_350365763598680065 x	I posted 5 photos on Facebook in the album "ARI Corporate Video" http://t.co/90aLW99U96
124283271_350365761044348929 x	Day 3 - Tech Scout: No Parking signs for our shoot next day. http://t.co/hM91SpWYUh
124283271_350365758565515266 x	Day 3 - Tech Scout: Maureen Kelley McKenna and Danielle Audet at Rue St. Pierre overlooking Chateau Frontenac. http://t.co/xQC4udCgUT
124283271_350365755457544192 x	I posted 16 photos on Facebook in the album "ARI Corporate Video" http://t.co/mA5NFfMIqk
124283271_350365752789958656 x	Day 2 - Shoot Day: Some dude playing a lap harp. http://t.co/F1JNkYH6eY
124283271_350365750248218624 x	I posted 2 photos on Facebook in the album "ARI Corporate Video" http://t.co/0hQ8LkGrB8
124283271_350365747953934337 x	Day 2 - Shoot Day: Scott and Tony are ready to start rolling. http://t.co/QStw39urDp
124283271_350365742488748033 x	I posted 2 photos on Facebook in the album "ARI Corporate Video" http://t.co/wlhT3ehsjv
124283271_350365740139954176 x	I posted 3 photos on Facebook in the album "ARI Corporate Video" http://t.co/rnkd2jBckR
124283271_350365737346539522 x	I posted 2 photos on Facebook in the album "ARI Corporate Video" http://t.co/09QXwfpnjM
124283271_350365734121123840 x	Day 2 - Shoot Day: DP  Tony Stewart time-lapse camera set-up overlooking the lake. http://t.co/nqiakYxko8
124283271_350365731667447809 x	I posted 2 photos on Facebook in the album "ARI Corporate Video" http://t.co/qacuLzGyu3
124283271_350365727447973892 x	I posted 2 photos on Facebook in the album "ARI Corporate Video" http://t.co/Z8PWMQI3KA
124283271_350365725027860480 x	Day 1 - Tech-Scout 2nd location: On the way to our second location. http://t.co/YWZ9TCtMoL
124283271_350365720573513728 x	I posted 2 photos on Facebook in the album "ARI Corporate Video" http://t.co/xIBRydSHcQ
124283271_350365717171937281 x	I posted 4 photos on Facebook in the album "ARI Corporate Video" http://t.co/qYBGX5NJys
124283271_303500617853329409 x	RT ?@ForbesTech: Apple's problem is America's problem is Apple's problem http://t.co/KWuHUE8T?
124283271_303145729566838785 x	I just backed Meat America on @Kickstarter http://t.co/Hds5PtB2
124283271_301998506686705664 x	RT ?@AskMen: Your guide to mastering the most important combination in your wardrobe: The Suit &amp; Tie http://t.co/AsPtn9nj?
