485290500_378567420312444928 x	@AndersonColt Good luck Sunday!!!
485290500_378567041801650176 x	@MrGetFlee99 Looking for another win. Good luck this weekend.
485290500_378146677539893248 x	@DeseanJackson10 In God, Family, Eagles I trust!!!! GO EAGLES!!!
485290500_328979810925834240 x	@caplannfl Did you mention something about a LB and the Eagles after the draft?
485290500_328978852435091456 x	@Eagles @Jknott20 As a huge Eagles fan I welcome you. Great to have you.
485290500_328978299772624896 x	@davespadaro Poyer was the steal of the draft.
485290500_328977528108765186 x	@davespadaro Any trades on the horizon?
485290500_328975931437883394 x	@caplannfl Any trades coming for the Eagles?
485290500_327439317066739712 x	@Bighugh53 As an Eagles fan, We love ya. Great Eagle!!!
485290500_327437570038431747 x	@markschlereth Do you think the Eagles and Jets trade picks? maybe with Foles in the swap?
485290500_327420014980382720 x	@darealtank78 Congrats man, You are one of the greats!
485290500_327406134556254208 x	@caplannfl Eagles with the # 9 pick?
485290500_327402467056828416 x	@wyche89 Eagles with the # 9 pick?
485290500_327401822128074752 x	@NFL_AM No, I like the excitement of listening to the pick on TV.
485290500_319219835944972288 x	@sidney_crosby Hope you have a quick and full recovery. My son Hunter is sad because you're not on the ice when i turn the games on.
485290500_317354380955381762 x	@ClifGeathers I just want to welcome you to the Eagles. We are the greatest fans in the NFL.
485290500_314704049029124096 x	@NFL_AM @Cal @TonyGonzalez88 Paint me green and call me the Hulk!
485290500_314363038574723074 x	@NFL_AM @DetroitLionsNFL @Nate13Burleson @Bigplaycj Com on man, Let's go get some ice cream.
485290500_314362408745435136 x	@NFL_AM @packers @AaronRodgers12 Holy crap! Four pass rushers?
485290500_313622570387787776 x	@NFL_AM @terencenewman The Red Tail Boa Bowl
485290500_312231008797872129 x	@caplannfl do you think the eagles will add another S and CB in FA
485290500_311826564268576770 x	@sugarkiper thanks so much
485290500_311818812976676865 x	@caplannfl anymore eagles rumors? any word on pot roast from the chargers?
485290500_311142426045739008 x	@BleedingGreen thank you!
485290500_311142124856954880 x	@QMikell27 reunion with the eagles?
485290500_311137833903591424 x	@davespadaro Dave, can you wish Hunter Heesh a happy 7th birthday on Eagles Live today? He's a 3rd generation Eagles fan.
485290500_310473441746767875 x	@sidney_crosby can u wish hunter heesh a happy 7th birthday? you are his favorite player
485290500_310749911404654592 x	@sidney_crosby Thanks Sid, Hunter was so excited to watch the game last night.
485290500_310473977678151681 x	@JonnyBones can u wish hunter heesh a happy 7th birthday? he's an endicott guy too.
485290500_310472920059219968 x	@malkin71_ can u wish hunter heesh a happy 7th birthday? he's a huge pens fan
485290500_310472397696421888 x	@CutonDime25 can u wish hunter heesh a happy 7th birthday? he's a 3rd generation eagles fan
485290500_310471850578804736 x	@BrianDawkins can u wish hunter heesh a happy 7th birthday? he is a 3rd generation eagles fan
485290500_310471367088828416 x	@cutondime can u wish hunter heesh a happy 7th birthday? he's a 3rd generation eagles fan
485290500_310470707115069440 x	@55MarkMartin can u wish hunter heesh a happy 7th birthday? he's a big fan
485290500_310470182684487680 x	@jneal_18 can u wish hunter heesh a happy 7th birthday? he's a huge pens fan
485290500_310469881164333056 x	@fcoxx_91 can u wish hunter heesh a happy 7th birthday? he's a 3rd generation eagles fan
485290500_310469434307379200 x	@AndersonColt can u wish hunter heesh a happy 7th birthday? he's a 3rd generation eagles fan
485290500_310469070778691584 x	@Despres747 can u wish hunter heesh a happy 7th birthday? he's a big pens fan
485290500_310468726585688065 x	@BrandonBoykin2 can u wish hunter heesh a happy 7th birthday? he's a 3rd generation eagles fan
485290500_310468360901124096 x	@donovanjmcnabb can you wish hunter heesh a happy 7th birthday?
485290500_310398055960678400 x	@TGlass15 Can u tweet my son hunter a happy 7th BDAY? he's a big Pens fan.
485290500_310397443156090881 x	@RevLovejoy6 can u wish my son hunter happy 7th Bday?
485290500_310395862952058881 x	@CutonDime25 Good morning fellow Pennsylvanian.
485290500_310395323191267328 x	waiting for the Eagles to pull the trigger on someone
