246281398_285983056186195969 x	Happy New Year and Happy Travels to all
246281398_395993364174077952 x	Happy All Hollows Eve
246281398_394470630709805056 x	I'm at @PaneraBread (Newark, DE) http://t.co/Yn2s0ZYtob
246281398_392276635619446784 x	I'm at PureBread Deli - @purebreadeli (Newark, DE) http://t.co/MFYoVUqY3z
246281398_391337962211790848 x	Back home and to Local touring for the rest of the year. Yesterday I went from Hyannis to Pilmouth Plantation to... http://t.co/bUdFwILKu5
246281398_390658801080078336 x	Had a good day with a group of Britis today we did a whale watch cruise and did not see any whales just a sun... http://t.co/D3ACLfIJ3k
246281398_390440007355604992 x	It is off to spot whales today
246281398_390279193587482624 x	Had a wonderful day with a fun group of Britis today we went to Newport, RI and we are in Hyannis for the next tow... http://t.co/gn2cqDcYda
246281398_389935856212930560 x	Had a wonderful day with a terrific group of Brits. today we went from Jay Peak, Vt to Nashua, NH stopping at... http://t.co/LFfd98hqza
246281398_389427529028624384 x	In Jay Peak, Vermont enjoying a well needed day of R&R with a swell group of Brits. Since leaving Boston on... http://t.co/zfQ02Zr5V6
246281398_388261512118169600 x	In Boston starting a week long Fall Foilage tour this morning iti is the Boston City Tour
246281398_384038279789940736 x	I'm at @ChristianaMall (Newark, DE) w/ 5 others http://t.co/FGHm0p494E
246281398_380765118499672064 x	I'm at @SEPTA Suburban Station (Philadelphia, PA) http://t.co/YILB1891Fx
246281398_380725011528810496 x	I'm at Reading Terminal Market - @rdgterminalmkt (Philadelphia, PA) w/ 5 others http://t.co/Kn9yI3aLNq
246281398_377544783956561920 x	I'm at chapel run (Elkton, MD) http://t.co/rZ2jRy92au
246281398_370857022008619008 x	I'm at @McDonalds (Jessup, MD) http://t.co/hsBxzsdKa3
246281398_370194921702961152 x	I'm at @ChristianaMall (Newark, DE) http://t.co/cfr7AWp5L7
246281398_368883688840261634 x	I'm at @Maggianos Little Italy (King Of Prussia, PA) w/ 2 others http://t.co/9cF7L34o1E
246281398_368851333450719232 x	I'm at The Court at King of Prussia - @kop_mall (King of Prussia, PA) w/ 3 others http://t.co/PTg0bEfN0V
246281398_368779458808795136 x	I'm at @Wegmans (Collegeville, PA) http://t.co/Z1BI6O0PMP
246281398_363688205742133248 x	I'm at Brew Ha Ha (Wilmington, DE) http://t.co/9rtcGcOwSB
246281398_361468851822665728 x	RT @WJBRfm: Good morning...SHARE this with anybody you think needs an easy, laid back day today! ~ JH http://t.co/ZFQl6OIJwk
246281398_360354646813986816 x	I'm at @PaneraBread (Nottingham, MD) http://t.co/6eWcNVaXXB
246281398_359004081710325760 x	I'm at Cosi (Newark, DE) http://t.co/wEsdx17QhQ
246281398_356482607766188032 x	To all my friends in France Happy Bastille Day
246281398_352831906422853633 x	Happy 237th Birthday USA
246281398_351673478472138752 x	Happy Canada day to all my Canadian friends
246281398_348866438708224000 x	I'm at @Wegmans (Abingdon, MD) w/ 5 others http://t.co/TpMeWCediX
246281398_345166186989879297 x	Now Safe at home after finishng a tour with a great group from Wisconsin now it is local touring for the summer
246281398_344662419781595137 x	Had a great two days with a super group from Wisconsin on Monday we visited the Capitol Building,Archives and the... http://t.co/CRHPzYQOsX
246281398_344041114048819201 x	Had a wonderful day with a great group from Wisconsin yeterday we visited Fords Theater and all the Memorials... http://t.co/SmRVEbaaYB
246281398_343550425686999040 x	Off to Washington tomorrow to start my final student tour of the season with a group from Wisconsin.
246281398_342824963524411392 x	Had a great day with a super group from Michigan today we visted the WWII,Jefferson,FDR and MLK Memorials,the... http://t.co/LTPgA2p5tD
246281398_342460607909470210 x	Had a great day with a super group from Michigan tomorrow it is the Memorials,White House,Capital Building and the Air and Spce Museum
246281398_342206211799777280 x	Off to Washington to meet a group from Detroit today it is Arlington Cemitary in the morning the Smithsonian... http://t.co/WkafdgZHrL
246281398_340448593372655616 x	In middle of a four day private tour w a group of business executives from Toronto
246281398_339214998830206976 x	Safe at home after a wonderful 5 day trip with a college choir from California  got them to the airport after... http://t.co/C0odtcmpXg
246281398_338503334019354624 x	Haveing a great time with a super group from California today it was tow rehersals,a visit to WWII,MLK and the... http://t.co/DyseAW5mDJ
246281398_338131123068628992 x	Having a great time with a College Chior from California today we toured Arlington National Cemitary and went to... http://t.co/LXMdl7YUqt
246281398_337530857273303041 x	Off to Washington today to meet a 14 person college choir group from California
246281398_337326255588401152 x	Finished a long trip with a wonderful group from West Virginia yesterday now home for a day of r&r before sting a... http://t.co/ACV86UTRVK
246281398_336316931760066560 x	Had a great day with a wonderful group from West Virginia at Kings Dominion tomorrow it is off to the National... http://t.co/Ej6yrGVRG3
246281398_335912145755705345 x	Off to Virginia tomorrow to meet A group from West Virginia our first stop Kings Dominion
246281398_335222183641096192 x	Had a great final day with a supurburb group from Ohio today we weent to Mount Vernon,the Air Force,Iwo Jima,the... http://t.co/GlU142w1tR
246281398_334862078777110531 x	Had another great day with a terrific group from Ohio today it was off to the Capital,Library of Congress,the... http://t.co/NsiSsIb5Dj
246281398_334508221517688833 x	Had a great day with a super group from Ohio today we toured Arlington Cemitary,went to the Natural History and... http://t.co/QZt6OeOn5j
246281398_334092928345571328 x	Off to Washington tomorrow to do a four day tour with a great group from NW Middle School in Ohio
246281398_333564900788031488 x	To all of the Mothers out there Happy Mothers Day
246281398_330276547590230016 x	Off to finish a great tour with a wonderful group from North Carolina today it is off to the Newseum,Iwo Jima,... http://t.co/8KRDDbfJV1
246281398_329913359946350592 x	Had a wonderful day with a great group form North Carolina despite the group arriving an hour late due to traffic... http://t.co/qaYF0IUJGc
246281398_329417363013394433 x	After two weeks of local tours in DC it is back to DC or actually Mount Vernon, VA to meet a group from NC for a... http://t.co/DR3EhJHUVE
246281398_323996693660053504 x	Our thoughts and prayers go out to the victims of today's bombing in Boston
246281398_323577017008259072 x	Now back at home after completing a successful trip with a wonderful group from Michigan now it is local DC tours for the next week.
246281398_323024472208703489 x	Had a wonderful day with a childrens choir group from Michigan we did a Broadway Workshop,went to Rockefeller... http://t.co/oOOcUGitxQ
246281398_322684832142467072 x	Finished day two with a superChior group from Michigan yesterday we went to the South Street Seaport,performed at... http://t.co/nyiyT4DwpR
246281398_321939528313094144 x	After 11 days of local tours in Washington, DC it back on the road today it is off to Hazelton, PA to meet a group... http://t.co/7XvPLtCQy8
246281398_318341126086066176 x	Happy Easter
246281398_317482209458143232 x	Just back from a two day Student Tour it is back to local touring with OnBoard DC Tours for the next week,then a... http://t.co/ki8x8jk6jS
246281398_316526713200844800 x	Back to Washington today to meet a middle school group from North Carolina for two days of touring in Washington
246281398_316148794863525888 x	Off to Mount Vernon this morning with a great group from Louisiana then it is home for about 15 hours and back to... http://t.co/diXYqhkUoV
246281398_316022299591581696 x	Had a great day with a group of real troopers from Lousiana we went to the Air Force and Iwo Jima... http://t.co/e98LNIN541
246281398_315776007204401152 x	Off to another day with a very friendly group from Louisiana off to the Air Force and Iwo Jima Memorials,Arlington... http://t.co/p7OeMh1vdy
246281398_315666920093409280 x	aHad a great day with a super group form Lousiana we went to the White House,the Archives,the Air and Space and... http://t.co/n6bjXlY0hh
246281398_315415746400362496 x	Off to anther day with a great group from Louisiana we are going to the White House for a photo,the Smithsonian... http://t.co/vWu1rTCSLe
246281398_315281642686140416 x	Just completed a wonderful day with a great group from Lousianna we visited National Cathedral,the Capital and... http://t.co/vaGzKzQEAL
246281398_313244143038103552 x	It is one final day with a great group from Iowa and today it is Philadelphia and off to see the Liberty Bell and... http://t.co/4VAa647DDI
246281398_313118131256180736 x	Had a great day in Gettysburgh today with a terriffic group from Iowa we went to the vistors cdenter where we say... http://t.co/cZocBPWwYv
246281398_312883669662588928 x	Today it is off to visit Gettysburgh where the group will visit the Cyclorama,museum,have a picnic lunch and tour... http://t.co/0HrrSELACJ
246281398_312572171606192129 x	After three nights of tours in Washington DC it is off to Gettysburg to meet a group for a two day trip to Gettysburg and Philadelphia.
246281398_311113353122693122 x	Just finished a terriffic tour with a HS Chior last night in New York today its drving home and three days of... http://t.co/npSfd6Ng0g
