1684601298_395946700205858817 x	The 2008 Phillies WS win through the eyes of Darth Schader. http://t.co/ReOy2qVGt0
1684601298_395946521885044736 x	Your Philly sports by Philthy men. http://t.co/iCoLO66FSM
1684601298_395700352361590784 x	Here's my article on why that Shaq commercial is an insult to New Jersey citizens. http://t.co/fcSpu9e4wT
1684601298_395712033385349120 x	@AndreaNimchuk thanks for your input, we love contrary points of view. That's the fun part.
1684601298_395925909469151232 x	@AndreaNimchuk it is up. I will respond once this Salinger doc is over. -Duke
1684601298_395924499138621440 x	@AndreaNimchuk apologies, it was never approved. It'll be up in a moment. We truly appreciate your insight!
1684601298_395727992938586112 x	If there had to be one win, it had to be against the Heat. #Sixers pride.
1684601298_395713286655995905 x	RT @KNegandhiESPN: .@Sixers RT @ESPNStatsInfo: Via @EliasSports Michael Carter-Williams has 7 steals, the most by any player in NBA history?
1684601298_395705152230793216 x	@SIXERS_NATION76 @Raheem__Taylor 6 steals!
1684601298_395701976840675329 x	@jetblackbrian He's too busy getting trip-dubs to hear you.
1684601298_395704865701113856 x	@jetblackbrian you know not lose means win right?
1684601298_395704286090252288 x	Who knew my piece on Shaq's shitty commercial would be relevant every quarter this season http://t.co/fcSpu9e4wT ?
1684601298_395703958343131137 x	@jetblackbrian 11 points, 6 steals and 7 assists. soooo we'll call it one and a half.
1684601298_395702120814350336 x	A.I. seems like he might be on Percocet.
1684601298_395701641757732864 x	@rappisupa @thebitterbirds In what situation?
1684601298_395700778314133504 x	@StanBleedGreen *Wroten
1684601298_395701452334583810 x	@StanBleedGreen No problem, #TogetherWeBuild
1684601298_395700926998016000 x	Mario Chalmers throwing up his fingers like it's Disco Night. #youarentthatgood
1684601298_395700684542451712 x	RT @WillJ609: @PhilthyBrass awesome.
1684601298_395700217619558400 x	@WillJ609 http://t.co/fcSpu9e4wT
1684601298_395700170714664960 x	Wanna read me making fun of that #shaq Chris Christie commercial? http://t.co/fcSpu9e4wT
1684601298_395699780103331840 x	Like if they run a play they'll never score.
1684601298_395699630052106240 x	The Sixers look scared to settle the ball down.
1684601298_395697281275396096 x	@NBAMemes @PhillyMELO7 You guys must not be from Philly. It's definitely #WinlessForWiggins ya mug.
1684601298_395698753224450048 x	@PhillyMELO7 @NBAMemes You are certified, my apologies. That was for NBA Memes. And more trolling than serious.
1684601298_395697622838554624 x	The sequel to Slapshot: Slam Dunk starring the 2013-2014 Sixers.
1684601298_395697091072126976 x	As you can see by my cool ass site http://t.co/v1tPFaymfr I predicted that quarter. #noididnt #gotyou
1684601298_395695259004313600 x	It's awesome cause even if they come back, we're still all happy. It's gonna be a fun season. Like watching the Johnstown Chiefs.
1684601298_395694453035237376 x	If you're watching the #Sixers, save this to your bookmarks. http://t.co/UCCiCh8OC2
