1204253258_390896366106734593 x	RT @MyNewGfProbz: Missing my boyfriend <<<
1204253258_389045149504122881 x	RT @iKeepItTooReal: Growing up means realizing a lot of your "friends" aren't really your friends.
1204253258_390938044305772544 x	RT @h4nn4h14: My mind is everywhere rn. ?
1204253258_390932026645164032 x	Anyone else craving Mexican??
1204253258_395910708111474688 x	The Legend of Sleepyhollow with @CourtneePaigee @MarahKRowland @btayy21 @hannahkurtz20
1204253258_395661916397666305 x	Oreo date with @CourtneePaigee
1204253258_395654120368898048 x	Wcw, @CourtneePaigee #liveuboo ;-) http://t.co/SV97r0jz7f
1204253258_395653454686732288 x	RT @CourtneePaigee: I would die without my friends. #MyHappiness @MarahKRowland @RRFinley @mattryan123987 @NoleSarah @merandakay1521
1204253258_395573910248247296 x	Shoutout to @FQFP
1204253258_395380727459901441 x	RT @CourtneePaigee: ?@Lindsay3Lindsay: It's sad when your little sister has a better love life then you. Lol? @merandakay1521
1204253258_395235383291555840 x	Abby ;-) http://t.co/5yFIOKxGq2
1204253258_395130837710426112 x	RT @CourtneePaigee: #nationalbestfriendday @MarahKRowland @merandakay1521 @RRFinley @macy_noah @NoleSarah @mattryan123987 @chumley_emily @T?
1204253258_395011755849826304 x	Late night?? #ithinkso ??
1204253258_394950182875308032 x	@CourtneePaigee talking about how she can't cook, "He can make him a freaking bowl of cereal if he's that hungry!" #Lol4Days
1204253258_394948323846524928 x	You know your die of aids right??
1204253258_394628179325108225 x	@CourtneePaigee okay boo ;-)
1204253258_394626581546958848 x	New phone about time =-O
1204253258_394569771506999296 x	Guy walks up 2 Court. Him: can I tell u something? Court: yeah Him: you're very beautiful Court: uh.. Thanks.  #CreepStatus @CourtneePaigee
1204253258_394321416197124097 x	The Notebook<3 @CourtneePaigee
1204253258_393563736008826880 x	@alex21lester Took you long enough;)
1204253258_393533193749413888 x	RT @SexualTurnOns: RT if you miss someone right now.
1204253258_393168032803348480 x	RT @realtreytraylor: Breast Cancer Awareness Month.      ??    ?     ?    ?      ?     ?    ?      ? ?       ??      ??    ?     ? ?       ?
1204253258_392764435775127552 x	@CourtneePaigee love you boo;)
1204253258_392667394965262336 x	Me: Oomf calls me Cinnamon. Courtney: He calls me princess. #butreally @CourtneePaigee
1204253258_392126019282284544 x	11:11 make a wish<3
1204253258_392098637414948864 x	@merandakay1521: What make me mad, is when someone's bio says, "I follow back" then they never do. #obvimuch!
1204253258_392091043564638208 x	@Liv_Oakes Happy early birthday:)
1204253258_392093970316414976 x	@Liv_Oakes Anytimee doll;)
1204253258_392091182886825984 x	RT @FemaIeThings: Skinny = anorexic, thick = obese, virgin = too good, non-virgin = slut, friendly = fake, quiet = rude. You can never plea?
1204253258_391616179963314177 x	@CourtneePaigee says while we walking through dollywood, "The camel called he said he wants his toe back, to a random woman!!" #loveherh ...
1204253258_391579508622385152 x	Dollywood with the best friend:) @CourtneePaigee
1204253258_391433953896583168 x	?@WhennBoys: When boys play with your fingers. ?? "@alexlester13"
1204253258_391431328018997249 x	?@WhennBoys: I don't care who was before me, as long as I know there's nobody during me or after me."
1204253258_391382157546881025 x	Journey through hell with @CourtneePaigee
1204253258_391227478473465856 x	RT @SnapchatProbbz: Having a conversation on snapchat is so much more fun than texting?
1204253258_391227323854622720 x	RT @LindsNicole4321: Has anyone else realized how COLD it is, Jw?
1204253258_391084587545149440 x	I feel like I'm the only one up. #NOLIFE!!!
1204253258_391055018331488256 x	RT @Appleleaksoffic: WE'RE NOT JOKING! WE ARE REALLY GIVING AWAY iPHONE 5's TO EVERYONE WHO FOLLOWS-> @Funny_Truth (RT When Done!)
1204253258_390988984861466624 x	Lol @CourtneePaigee trying not to smile while our waiter poured her drink #HesCute
1204253258_390981403686350848 x	Applebees with @CourtneePaigee :)
1204253258_390981200187113473 x	I love fall:)
1204253258_390925568562434048 x	@CourtneePaigee get it right shank nugget I'm the biggest one;)
1204253258_390913153825251328 x	RT @fedsfrenchi: is it Halloween yet? ????_? ?? (????)? ? ?|???(??_ ???-(???_? ???????  nope  ?????-?_?_ ??_/?????  ???????
1204253258_390912203198824448 x	RT @MacaleyLeigh: I'm craving El Mariachi really bad! ????
1204253258_390910361056346112 x	Talking to @Qurstin ;)
