342940983_396293131659796480 x	Great job Aaron @WIPMorningShow @SportsRadioWIP
342940983_396289782311317504 x	RT @ArmorOGod: You can decide to trust God, or you can decide to be miserable.
342940983_396097805158084608 x	Interesting, hopefully, he will persuade Chip to realize Vick is beyond repair and see what you have with Foles @GeoffMosherCSN
342940983_396085828247511040 x	Let's  play two @JameyEisenberg
342940983_395726347814703104 x	@aPfeiferRS can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James .
342940983_395726290793148416 x	@karabellespn can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James .
342940983_395726224414081025 x	@SportsWG can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James .
342940983_395726186073968640 x	@Fantasyburgz24 can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James .
342940983_395726145062060032 x	@2QBFFB can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James .
342940983_395725924412313602 x	@FOXSportsFowler can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James .
342940983_395725861246078977 x	@LateRoundQB can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James .
342940983_395725811249995777 x	@TheFantasyFix can you please rank the order, you would try and add RB;s - Starks, J Stewart or M James . .....thanks
342940983_395713950425169920 x	Good read. Kelly has trouble adjusting , since he was always up big in games, being down , is a big difference @Jeff_McLane
342940983_395711878468354048 x	Can you shoot this over to @TheIdleRich he has not seen this @KevinCooney @PelicansNBA
342940983_395708670077861888 x	RT @DeseanJackson10: Wit my bro's basketball 2 football ' jus LIVIN the Life Blessed #jaccpot http://t.co/R1mOjscl7i
342940983_395608557871042560 x	Think you need about another 20 chairs for Iverson's entourage @MBarkannCSN @CSNPhilly @RachelCSN
342940983_395608350928289792 x	Breaking News : Andrew Toney will be announcing his retirement , next week @MBarkannCSN @RachelCSN
342940983_395599073039769601 x	In leagues with strong owners , that move was made 2-3 weeks ago @Michael_Fabiano
342940983_395598420485742592 x	Really, I did not notice that at all @JimmyKempski
342940983_395564352301850624 x	Common for a Left-handed QB , maybe @Jeff_McLane
342940983_395570885181964289 x	Celek did not catch a TD vs Tampa @PhilaPhans @Jeff_McLane
342940983_395574723200835584 x	He did roll to his left , but was a shorter roll out and a longer throw ,25 yds , so he could turn around and square his hips @PhilaPhans
342940983_395568117989908481 x	Getting a little testy there Chippa @ZBerm
342940983_395567813198217216 x	So that eliminates Vick , right @ZBerm
342940983_395567574169051136 x	Disservice to the fans was bringing Vick back @Jeff_McLane
342940983_395567334321954816 x	Good answer  , Good answer Chip , Survey Says..........@GeoffMosherCSN
342940983_395564067529576451 x	As long as Vick is on your team it will be Chippa @LesBowen
342940983_395562434611519488 x	Excellent article, team needs to execute for whomever is at QB @NickFierro
342940983_395325570164088832 x	At what point in the season will Chip say I need to look at these 2 QB;s and forget about Vick ? @GeoffMosherCSN
342940983_395349173785985024 x	Thanks , what I kind of figured. Next you're prob gonna to tell me they might bring him back next year @GeoffMosherCSN
342940983_395214887229468673 x	They could be replaying Eagles vs Giants @KevinCooney
342940983_395214665665347585 x	Knights , I would rather follow Knights who say Ni @wolffontheair @LesBowen
342940983_395212168720699392 x	Hey Chip, Please let Nick Foles or M Barkley finish the season , so we can see what they have #Playoffs???
342940983_395195178803146752 x	Really ? @DanGrazianoESPN @phillyeagle725
342940983_395191154724970496 x	@MattBarkley Keep plugging away, I know you will be a Pro Bowler one day #KeepTheFaith
342940983_395188658325573633 x	If it does not change and you still run the read, you have to let Barkley run at least ONCE to keep DEF honest @LesBowen
342940983_395187928684453888 x	Yes, we were all expecting Chip's offense to at least "Look" creative , so far we have see ONE game where that was true @975TheFanatic
342940983_394996580454907904 x	Juicin'  @BBTN
342940983_394609724219338753 x	One word, Vick @aPfeiferRS
342940983_394609458250125312 x	@TylerDBrooke Not saying Barkley is anywhere near P Manning, but how bad was Peyton his rookie year ?? This kid will do wel
342940983_394609177709912064 x	Not saying Barkley is anywhere near P Manning, but how bad was Peyton his rookie year ?? This kid will do well @BR_Eagles
342940983_394576870508740608 x	Way to put your team first Mike @ZBerm
342940983_394469248275193856 x	@TheFantasyFix Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking he will get a good share of carries in garbage time) . Need 1
342940983_394465657489981440 x	RT @DynastyOwner: Nothing worse than guys going off on your bench.  Favorite if you like the idea of partial scoring from bench players.  R?
342940983_394464524004114433 x	@Fantasyburgz24 Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking he will get a good share of carries in garbage time) . Need 1
342940983_394464407062716416 x	@SportsWG Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking he will get a good share of carries in garbage time) . Need 1
342940983_394464336732618753 x	@Fantasy_Guru Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking he will get a good share of carries in garbage time) . Need 1
342940983_394464272522047489 x	@fftoolbox Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking he will get a good share of carries in garbage time) . Need 1
342940983_394463512971337728 x	@2QBFFB Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking he will get a good share of carries in garbage time) . Need 1
342940983_394462709346861056 x	@FantasyRundown Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking he will get a good share of carries in garbage time) . Need 1
342940983_394462318722957314 x	@TheFantasyBums Need help. L Miller, D Thomas, J Bell OR  K Robinson (Thinking there will be  carries in garbage time) . Need 1
342940983_394460937500905473 x	@sbnation Need help. L Miller, D Thomas, K Robinson Or J Bell . Need 1
342940983_394460877195198464 x	@SigmundBloom Need help. L Miller, D Thomas, K Robinson Or J Bell . Need 1
342940983_394154505912074240 x	@FantasyTrade411  Need help. L Miller, D Thomas, K Robinson Or J Bell . Need 1
342940983_394154445883199489 x	@karabellespn  Need help. L Miller, D Thomas, K Robinson Or J Bell . Need 1
342940983_394154194019430401 x	@Michael_Fabiano Need help. L Miller, D Thomas, K Robinson Or J Bell . Need 1
342940983_394133422907879425 x	RT @ESPNNFL: RT if you have the @Eagles winning at home tomorrow vs the Giants.
342940983_394130737235898368 x	The Tale of Gatti-Ward , great show #hboboxing
342940983_394126923611136000 x	@SheilKapadia Do you expect Chip to get TE's involved this weekend , esp with Giants poor play vs TE's ?
342940983_394124319829131264 x	Like their Kingda Ka season , up and down  @SheilKapadia
342940983_394121485423370240 x	Have a Blessed weekend as well, hope you are starting  to feel better. I had neck surgery in Dec., still trying to get there @jmac_18
342940983_394113735456866304 x	Jay , tring to get into   http://t.co/GhsSoiGGnb VIII., error keeps coming up , draft is at 11:15 @FootballFunday
342940983_393926384365887488 x	RT @neighmar11: Not hugely into NBA but @sbnation's season preview is pretty sick. Quickly turned into my favourite sports website.
342940983_393922255194820608 x	How about D Thomas, L Miller or J Bell ? @FantasyTrade411
342940983_393915020478017536 x	RT @God_Loved: God didn't promise a life without pain, struggles, and hardships. He promise to give you the strength to get through them.
342940983_393408181990608896 x	RT @jaimemaggio: If you care to laugh at someone else's expense...(this had me in tears!)  http://t.co/QNdtL1WLhx
342940983_393408158032334848 x	Too funny @jaimemaggio
342940983_393405884321128449 x	If he cannot run, he should not start @CSNPhilly @The700Level
342940983_393396601420402689 x	@TheFantasyBums How about K Robinson, L Miller or D Thomas, I need to pick one
342940983_393396428652806144 x	@Jeff_McLane You think Chip gets TE's  involved more this week vs bad Giants DEF(esp Ertz) ?
342940983_393392420512993280 x	@FOXSportsFowler How about K Robinson, L Miller or D Thomas, I need to pick one
342940983_393391023931416576 x	@FantasyRundown How about K Robinson, L Miller or D Thomas, I need to pick one
342940983_393390210483892225 x	@jefeberan Scary, I have L Miller, D Thomas and K Robinson, and I was going to start Robinson as well .
342940983_393389453533659138 x	How about K Robinson, L Miller or D Thomas, I need to pick one @karabellespn
342940983_393176532153159681 x	Then go table dancing shirtless   @Chet_G @FantasyDouche
342940983_393157169605906434 x	@aPfeiferRS What to do with C J Spiller, can't trade him , bench him ?
342940983_393157125720924160 x	@MikeTanier What to do with C J Spiller, can't trade him , bench him ?
342940983_393156968249974784 x	@RotoGrinders What to do with C J Spiller, can't trade him , bench him ?
342940983_393156874167525376 x	@karabellespn What to do with C J Spiller, can't trade him , bench him ?
342940983_393156749319884801 x	@FanTeamAdvice What to do with C J Spiller, can't trade him , bench him ?
342940983_393009100411260928 x	..time  writers " sources" were wrong @MikeTanier
342940983_393008943087095808 x	So you think D Martin was told to say he was feeling better ? Who broke the story originally ? Would not be 1st ......@MikeTanier
342940983_393004629958467584 x	Actually just found out they make pickles, WOW , best pickle (in a jar) I ever had @gejacobs3 @7BOOMERESIASON @cc660 @BoomerandCarton
342940983_392673459689385984 x	Are you surprised by the usage of Chip with his TE's this year, which  is next to zero. ? @GeoffMosherCSN
342940983_392358043523891200 x	C J Spiller & Trent Richardson ,  @aPfeiferRS
342940983_391944977787277312 x	Just listened to @TheRealDWalke  on Fox 29, you got me more pumped up than , I was, already  and that was hyped #Eagles,
342940983_391695290535006208 x	RT @SportsRadioWIP: ROOOOOOOOOOOOooooooooOOOOOOOOOOooooooBBBB! It's @RoobCSN | listen live http://t.co/jBeSMj5Ho5
342940983_391663628774289408 x	RT @ESPNNFL: RT if the @Eagles will beat the Cowboys tomorrow.
