246942708_350401500603887618 x	Desperately wanna see Otto Porter Sr play basketball.
246942708_350404014581620737 x	@barklev whaddaya think so far, Barks?????
246942708_328971311038726145 x	fuck u ryan gossling i don't understand why u talk like that but youre so damn good looking ugh i hate you / love you
246942708_311549102016040960 x	I just stuffed 4 cookies in my mouth & this dickbag who I work w/ goes, "ooohh" & made a motion toward my belly becuz he's a fucking dickwad
246942708_301064294475374593 x	PROTECTED
246942708_296002247442169857 x	HERE'S ANOTHER BACH-RELATED TWEET: ON TONIGHT'S EP, @BARKLEV GOES TO AN ALL YOU CAN EAT D BAR
246942708_291000908513411073 x	Tierra rockin da pants suit! #TheBachelor
246942708_288461907139121152 x	I know of at least 7 black women who work in Macy's shoe dept who are way hotter than the sisters on this show.
246942708_351849485095276544 x	@PhilliesMike Any chance the #Phillies will #trade w the Mariners for OF John Schnarz?
246942708_421683415901954048 x	OMG YOU SAW WHO?! TVMWW's Hollywood correspondents @jessefederman & @saracircle check in w/ new CELEBRITY SIGHTINGS. http://t.co/Evx2ADHMS1
246942708_421748048457248768 x	@MrGreenGenius SO DOES YOUR GODDAMN MAILMAN BUT I'M NOT ABOUT TO ASK HIM TO COLLAB ON A POST
246942708_421086137231605760 x	OMG is anyone watching these whackjob sports parents on HBO???
