66404201_352248748971290624 x	Great dinner at @LeVirtuPhila tonight. Thanks so much! http://t.co/5Vpw3nhIOA
66404201_399753598269415424 x	RT @ZagatPhilly: Beautiful (and delicious) lobster dish by @Johneengle at @R2LPHL http://t.co/ojALQSmEFl
66404201_398173973210734592 x	RT @PhillyWeekly: Kudos to @R2LPHL, whose vesper is one of PW's #50ThingsYouMustDrink http://t.co/HoYngit3BS
66404201_398173645945585664 x	R2L Proudly Welcomes Matt Hobbs from @paulhobbswinery this evening at 6pm! #R2LHobbsDinner
66404201_397401474134589441 x	Congratulations @danielstern & @PeterScarola for completing the 2013 Brad Fox Memorial 5K Run. http://t.co/PvvL1b9tFZ
66404201_397105175984627712 x	RT @PeterScarola: Giant grilled cheese samich @R2LPHL for @JessGaspero last day. #staffmeal #youllbemissed #goodluck http://t.co/xIIdPFSdyN
66404201_395975007408365569 x	@danielstern on @FoxNews last week. National Bologna Day.  http://t.co/uk1id6wQCK
66404201_395347013945933824 x	RT @PeterScarola: An updated classic @R2LPHL Warm Vanilla Cake, @valrhonausa chocolate p?t?, caramel mousse #getsome #manjari http://t.co/4?
66404201_394914412345454592 x	RT @ShopsatLiberty: Have you scheduled your reservation for #R2LHobbsDinner yet? Call @R2LPHL today (215) 564-5337 http://t.co/uq3QapVGaa
66404201_394914374802239488 x	RT @wherePHILLY: Winemaker dinner series continues @R2LPHL Wed/11-6 with  a Paul Hobbs dinner featuring Matt Hobbs. 4 course/5 wines/$140pp
66404201_393837233188270080 x	BUTTERSCOTCH PUDDING: pecan shortbread + roasted pineapple ice cream http://t.co/o0VRA6RCup
66404201_392453952736092160 x	RT @MenWhoDine: Dry-Aged Smoked Ribeye by @R2LPHL for @autismspeaks Chefs Gala! Outstanding! http://t.co/z72H5z2oYi
66404201_392444995275587584 x	RT @MenWhoDine: Tuna sashimi with sweet breads from @R2LPHL at @autismspeaks Chefs Gala http://t.co/Mz3ECC6o9b
66404201_391285106943725568 x	Check out the menu for our upcoming #WineDinner featuring @paulhobbswinery on 11/6 http://t.co/v88wNxg1vv
66404201_388311475536031744 x	RT @vsiwine: Last minute dinner plans in #Philly? Acclaimed restaurant @R2LPHL & @MoutonNoirWines are putting on a show tonight. http://t.c?
66404201_388125553288835072 x	RT @PeterScarola: Pumpkin pie coming soon to @R2LPHL #fall #donuts http://t.co/eqYjIzfFlE
66404201_386588413824348160 x	New on the Menu: roasted root vegetable salad, lentil vinaigrette + papadum http://t.co/UXnkqOOySn
66404201_386249681065762816 x	New on the Menu: smoked salmon + foie gras, marble rye french toast, green apple, creme fraiche + caviar #SoGood! http://t.co/Phv74vNXw4
66404201_385216446626009088 x	RT @ShopsatLiberty: Happy October! Have you scheduled your reservation for the @R2LPHL Wine Dinner with @MoutonNoirWines on 10/10? #R2LMout?
66404201_384802062145712128 x	RT @wherePHILLY: Wine dinner featuring Winemaker Andre Hueston Mack of Mouton Noir Wines. 10/10 @R2LPHL. 4 courses/5 wines/$110pp. http://t?
66404201_384331594632531968 x	@PeterScarola plating his pre-dessert for the judges at @Star_Chefs #ICC2103 Pastry Competion http://t.co/ddQjmpqjq5
66404201_382910498515476480 x	RT @ShopsatLiberty: The menu is here! Reserve your spot for the @R2LPHL Wine Dinner with @MoutonNoirWines on 10/10! #R2LMoutonDinner http:/?
66404201_380418520338530304 x	Check out the menu for our next Wine Dinner with Andr? Mack of @MoutonNoirWines on Thursday, 10/10! #R2LMoutonDinner http://t.co/GDd55gQWxR
66404201_380163083538546689 x	?@JRoksvaag: Another fabulous meal at R2L? We're so glad you enjoyed your experience! Please come again soon, and let us know when you do!
66404201_380096951074967552 x	@PhilaRestWeek Dessert Tease 3: milk chocolate + hazelnut crunch http://t.co/mbwfuT5OQ6
66404201_379747280372654080 x	@PhilaRestWeek Dessert Tease 2: banana tart, green tea + tropical sorbet. Courtesy of @PeterScarola http://t.co/HbfuRjf9X3
66404201_379701530611695616 x	RT @Star_Career: Monique Miller, a #Philadelphia #graduate, is pursuing her dreams of owning her own business and working @R2LPHL. http://t?
66404201_379247149193891840 x	RT @dawnaversano: View of #Philly last night #sunset #prettynight @R2LPHL http://t.co/j5AWKFIFDG
66404201_378221167704043520 x	@PhilaRestWeek tease #1: sour cream parfait, root beer caramel, apples + walnuts http://t.co/hM5QDVsHD0
66404201_377190566905516032 x	RT @ShopsatLiberty: There are a few spots left for the #R2LHonigDinner tomorrow night! Call 215-564-5337 to reserve your spot at @R2LPHL
66404201_377179608296091648 x	Reserve your tickets for tomorrow night's dinner! #R2LHonigDinner http://t.co/asyoeGzQx4
66404201_377096659714715648 x	RT @wherePHILLY: @R2LPHL winemaker dinner tomorrow nite featuring Michael Honig of Honing Winery. 4 courses/5 wines/ $130pp. http://t.co/ZB?
66404201_376835575313346560 x	RT @PeterScarola: Still seats available for Tuesday night's wine dinner series at @R2LPHL  great menu and great wine! http://t.co/lT1S39FL7w
66404201_376393700370554880 x	RT @cookphilly: Fall is in the air thx to today's autumnal apple dessert class with @PeterScarola of @R2LPHL #apples #fall http://t.co/bxki?
66404201_375993921785966592 x	RT @antoinette_b: Have you seen #RisingStar @PeterScarola desserts @R2LPHL http://t.co/4aUEIS0x0b See them live at #PastryCompICC http://t.?
66404201_375990546126229504 x	RT @phillyinsider: @R2LPHL importing West Coast winemakers for a dinner series. http://t.co/gT7STfhrjs
66404201_375683667613335553 x	Honig Winemaking Notes Part 1: 2012 Napa Valley Sauvignon Blanc #R2LHonigDinner  http://t.co/7L0OjCVmS4
66404201_375379371252404224 x	RT @ShopsatLiberty: @R2LPHL's Wine Pairing Dinners commence on 9/10 with @HonigWine! Call to make your reservation today!
66404201_375373432910663682 x	Come Meet Michael Honig on September 10th! #R2LHonigDinner 9/10/13 http://t.co/5ZMO08clOU
66404201_375334301745045504 x	RT @foodarts: Plat du #Chef: Daniel Stern's crab #scrapple, served with a savory #waffle and r?moulade. @R2LPHL  http://t.co/3UPYw3Z3kJ
66404201_374938291516084224 x	The @HonigWine Dinner featuring Michael Honig is just 1 week away! Make your reservation at http://t.co/2VNOXQQtiN. http://t.co/R0gC89UB7z
66404201_373856730406731776 x	RT @ZagatPhilly: Chicken ?pot pie? at @R2LPHL http://t.co/USfPqqhg0b
66404201_373505630415634432 x	Here is a peek at the @HonigWine Dinner Menu. #R2LHonigDinner http://t.co/zR9aAotmeh
66404201_373505207105110017 x	Have you made your reservation for the @HonigWine Dinner with Michael Honig on September 10th? #R2LHonigDinner http://t.co/ZI255yvMX0
66404201_372917635098611712 x	RT @PenandLens: Great time at @R2LPHL  thanks to Eric and the rest of the staff. They make everyone feel like a VIP
66404201_372796257997434880 x	RT @danielstern: Summer Harvest Finale: Blooming Glen Shibumi Barefoot Gardens Terhune Zone 7 @Breakaway_Farms #PerfectSummerNight http://t?
66404201_372774024851369984 x	We are excited to welcome Michael Honig of @HonigWine for an intimate dinner on September 10th! http://t.co/lu4FUEqgmr
66404201_372147531540480001 x	#SwineBrine #SummerHarvest http://t.co/178dLslKoA
66404201_372097392293969920 x	Celebrate the best that summer has to offer with our #SummerHarvest Grand Finale tomorrow night! #PigRoast #Farmers http://t.co/lfrMjmCLjw
66404201_372079373886971905 x	RT @ZagatPhilly: Catch a group of farmers in one of Philly's swankiest dining rooms at the @R2LPHL pig roast tomorrow: http://t.co/8J6esXtY?
66404201_371023065788190720 x	Presenting #SummerHarvest The Finale: TheFarmers! / Aug. 27th / 5-courses / $65 / @freshfromzone7 @Breakaway_Farms http://t.co/IJj6uswlut
66404201_370722410347388929 x	...stay tuned for more info! #SummerHarvest
66404201_370722305586249728 x	Next weeks #SummerHarvest Grand Finale will feature a #PigRoast from @Breakaway_Farms with the farmers and produce from @freshfromzone7!
66404201_370598036088848384 x	@ItsRyanWerner no truth!
66404201_370278352823001088 x	RT @cookphilly: Get autumnal w/ the talented @PeterScarola of @R2LPHL on Saturday 9/7!  He'll be baking up an apple dessert storm http://t.?
66404201_370228971062849536 x	RT @Ally16911: Amazing dinner last night @R2LPHL Corn everything especially loved the corn souffl? & corn ice cream http://t.co/AcUTzU8lC4
66404201_369962297885995008 x	RT @only4philly: @R2LPHL outstanding #food http://t.co/9yqHYa57RW
66404201_369950694176198656 x	Tonight's menu is a winner for sure...enjoy!!! ?@BucksCntyFoodEx: Catching a train to to attend the Summer Harvest dinner at @R2LPHL!?
66404201_369927375431417856 x	summer corn soup, popcorn, crab + cured herb frozen yogurt #SummerHarvest http://t.co/f9xcX3vUVO
66404201_369919573124198400 x	Sneak Peek at tonight's #SummerHarvest Dinner: corn souffl?, ice cream and anglaise. http://t.co/IR2w8El2H6
66404201_369913120447528960 x	#Corn Fact 3: Ancient tribes used to sprinkle cornmeal across their doorways to keep enemies out. #SummerHarvest http://t.co/aIBudsseYK
66404201_369548656586010624 x	RT @wherePHILLY: Corn is the star @R2LPHL for tomorrow night's Summer Harvest dinner. $45 PP/+25 with wine. for full menu http://t.co/rrIO9?
66404201_368427378579492864 x	#Corn Fact 2: One bushel of corn can sweeten over 400 cans of @CocaCola. #SummerHarvest http://t.co/JRNeauuqkB
66404201_368075338909503489 x	......Some tribes believe it's afraid to be cooked so a woman must warm it first with her breath #SummerHarvest #Corn
66404201_368075264284061696 x	#Corn Fact 1. The Indian word "Maize" means "give over life."..... http://t.co/L7EoTFpda4
66404201_368066021909102592 x	RT @ShopsatLiberty: Everyone's favorite side is turning into a 4-course meal. Call @R2LPHL to reserve your spot for their #SummerHarvest di?
66404201_367710872849764352 x	Presenting #SummerHarvest 8.0: #Corn! / Tuesday, Aug. 20th / 4-courses / $45 / call for reservations 215.564.5337 http://t.co/XTndPxCNaV
66404201_367434943514673152 x	spiced monkfish, mixed melons, melon broth #SummerHarvest http://t.co/8fKJOnZopO
66404201_367432865019338753 x	RT @KacieFOX29: Yep. This is truffle season. @R2LPHL http://t.co/A1QOWBFPkV
66404201_367422932500238336 x	melon creamsickle trio: cantaloupe-goats milk, watermelon-basil, vanilla-honeydew #SummerHarvest http://t.co/TYR0vleHWc
66404201_367317541108346880 x	RT @wherePHILLY: It's melon on the menu tonight at @R2LPHL. Summer Harvest dinner $45 PP/+$25 for wine pairing. http://t.co/rrIO9OvgmG for ?
66404201_367056329602785280 x	RT @EatDrinkBPhilly: Summer Harvest @R2LPHL ~ #7. Melon ~ Tomorrow, Tue.Aug.13 ~ 4 course $45 pp. $25 wine pairing.   http://t.co/0cwrtYGbe?
66404201_367037670129541120 x	It takes #Cantaloupes 3-4 months to grow before they are mature enough to be picked. #SummerHarvest #Melons http://t.co/HKM5NqGc8r
66404201_365969377666928640 x	There are many arguments on how to tell when a #melon is ripe...some say thump it, some say smell it. Thoughts? http://t.co/Ml5txJPOv7
66404201_365974852546478081 x	@sd14 Touch?. Well said.
66404201_365647585152741377 x	@PhillyFoodDude you can count on it!..stay tuned...
66404201_365180165208285184 x	Presenting #SummerHarvest 7.0: #Melons / Tuesday, Aug. 13th / 4-courses / $45 / call for reservations 215.564.5337 http://t.co/yyvs2WsNWZ
66404201_364863762731253764 x	carrot + coconut tart, goats milk frozen yogurt #SummerHarvest http://t.co/sJvtEfohfR
66404201_364863460732977153 x	grilled haloumi + pan-roasted carrots #SummerHarvest http://t.co/ncMVjabC1p
66404201_364808445116940290 x	A peek at tonight's #SummerHarvest Dinner...carrot bbq-grilled short ribs, heirloom baby carrots http://t.co/Lvun9ytlU5
66404201_364482032459460608 x	The plant pigment that gives #Carrots their vivid orange color is Beta-Carotene #SummerHarvest / Tomorrow / 8.6 / $45 http://t.co/d2lTIDQtT1
66404201_364443407043035136 x	RT @cookphilly: Hey there baking lovers! We've got the uber-talented @PeterScarola of @R2LPHL teaching an apple desserts class on 9/7 http:?
66404201_363759188251406336 x	Did you know that the average person will consume 10,866 carrots in their lifetime? #SummerHarvest this Tuesday! http://t.co/0QBtN9ppJ1
66404201_363497445118205952 x	?@judgerhughes: Just finished dinner @R2LPHL . The food was delicious & the view amazing!" Thank you Judge! It is always great seeing you...
66404201_362996704510885888 x	We'd have to agree! ?@Phoodnatic: @PhillySoc My vote would have to be for @R2LPHL can't beat the view at sunset!?
66404201_362994501675003904 x	If you're having trouble reading this tweet, you should eat more #Carrots #VitaminA #SummerHarvest / Tues, Aug 6th http://t.co/7VoqDZx1BG
66404201_362950473739145216 x	RT @PeterScarola: Great meal last night at @biboubyob thanks @danielstern for taking out the team from @R2LPHL #escargot #ilesflottantes #s?
66404201_362666721888313344 x	Carrot Fact #1: baby carrots typically are not grown by baby farmers #SummerHarvest #TrueStory http://t.co/x7xsKTLnOb
66404201_362640622286434304 x	Presenting #SummerHarvest 6.0: #Carrots / Tuesday, Aug. 6th / 4-courses / $45 / call for reservations 215.564.5337 http://t.co/hl0HXBRx32
66404201_362343682189426689 x	#Eggplant #SummerHarvest at a glance. Next up: #Carrots! http://t.co/DluTSyxDW4
66404201_362338473555939328 x	roasted eggplant + lemon verbena gateau, coffee ice cream #SummerHarvest http://t.co/oEC3zu606f
66404201_362338230110138369 x	eggplant rollatini, fermented eggplant + shy bros cloumage #SummerHarvest http://t.co/0eQ4qpVefC
66404201_362337965353103360 x	braised lamb, eggplant carpaccio + mint #SummerHarvest http://t.co/vF514tVPDt
66404201_362337673886724096 x	smoked eggplant, grilled sardine + baby fennel #SummerHarvest http://t.co/RH7lwrBSFI
66404201_362025711365656576 x	Sneak Peek at tomorrow night's #SummerHarvest Dinner: #Eggplant Breton courtesy of @PeterScarola http://t.co/aZqk0gn31p
66404201_361972409403838465 x	Fun Fact #3: #Eggplants aren't really vegetables, they're berries and are related to tomatoes! #SummerHarvest http://t.co/uYkVA1uCw6
66404201_361961157470351360 x	Fun Fact #2: In Renaissance Italy, the #Eggplant was called the "Mala Insana" or, "Crazy Apple..." #SummerHarvest http://t.co/5xrntCGC7N
66404201_361960661439356929 x	Fun Fact #1: The #Eggplant is often referred to as "the apple of love..." #SummerHarvest http://t.co/NMBdg72kex
66404201_361947854652190720 x	RT @EatDrinkBPhilly: #5. Summer Harvest @R2LPHL Tue.July 30 features Eggplant! 4 courses. $45 food. $25 wine paring....
66404201_361894124850397185 x	RT @wherePHILLY: Summer Harvest Dinner Series continues @R2LPHL. Indulge in all things Eggplant,  July 30, $45PP/$25 wine option. http://t.?
66404201_361590324843409409 x	This little piggie did not make it to market... @COCHON555 #EPIC http://t.co/HGIuMKGHWr
66404201_361575771036323840 x	Rockin the @COCHON555 Epic Tartare Bar! http://t.co/f5kLM4hTM5
66404201_361531565123198977 x	Congrats to @PeterScarola for his commitment to @LocksLove. #BravoChef http://t.co/8sM0udtd2B
66404201_361528026917371907 x	@COCHON555 Epic: What makes the perfect serving vessel for pork tartare? #chicharones http://t.co/iaNi7VCbkX
66404201_361191394854973440 x	RT @COCHON555: 24 Hours to EPIC Porc Event Philly! 8 Whole Pigs by 25 Chefs @COCHON555 #EPIC Get Tickets! http://t.co/JDkWD0O8mb http://t.c?
66404201_361150949315706880 x	Prepping some Pork "Gravlax" for tomorrow's @COCHON555 Epic event. Get your tickets at: http://t.co/WpiIFGeo5M http://t.co/S4mwB4efhh
66404201_360446134910595072 x	RT @COCHON555: THIS SUNDAY, AN "EPIC" 1500lbs OF PORC in Philly - Uber giving a free rides #constantcontact http://t.co/4TDGMiGuaR
66404201_360423182714421248 x	RT @ShopsatLiberty: Have you booked your reservation for @R2LPHL's eggplant #SummerHarvest dinner on 7/30! http://t.co/fg5Rdu4UV1
66404201_360115951078871040 x	RT @RittenhouseRow: Next Tuesday (July 30th) R2L will host their fifth Summer Harvest Dinner featuring all things Eggplant. http://t.co/Khj?
66404201_360098318233255936 x	Presenting #SummerHarvest 5.0: #Eggplant / Tuesday, July 30th / 4-courses/$45 / call for reservations 215.564.5337 http://t.co/deq5D99wZl
66404201_360097709316767745 x	@only4philly anything is possible!
66404201_359857609907519488 x	@thegrandfinalle gotta love the @valrhonausa manjari sorbet! Thanks for joining us...
66404201_359857353719422978 x	RT @thegrandfinalle: And what a lovely finish, a chocolate delight from @R2LPHL http://t.co/CfrLf0VO0s
66404201_359856896208932864 x	RT @thegrandfinalle: A few culinary treats of the evening. Saffron foam with tuna steak, medium rare. Oh my. Courtesy of @R2LPHL http://t.c?
66404201_359798002778517504 x	#SummerHarvest #Tomatoes at a glance... http://t.co/YTqhFCvG0G
66404201_359794392049004544 x	olive oil financier, tomato marmalade + frozen honey #SummerHarvest #Tomatoes http://t.co/qQnT2Yyml4
66404201_359793739897663488 x	skate wing stew, tomato, basil + almond broth #SummerHarvest #Tomatoes http://t.co/2Sq6ry1mS6
66404201_359793415778623488 x	burrata, heirloom tomatoes + crusty bread #SummerHarvest #Tomatoes http://t.co/6HssPhcmrC
66404201_359793085087100931 x	tomato ciabatta #SummerHarvest #Tomatoes http://t.co/QaDHJFHO7E
66404201_359792115871518720 x	RT @EatDrinkBPhilly: Tonight! #4 Summer Harvest Dinner @R2LPHL ~ Tomatoes! @R2LPHL ~ 4 courses. $45 pp.   http://t.co/YEBFf79X3N
66404201_359702602709090304 x	RT @sbnphila: @R2LPHL wants you to try the fresh tastes of the season with their Summer Harvest Menu. Make a reservation! #Tomatoes http://?
66404201_359400207609368576 x	Sneak Peek at tomorrow nights #SummerHarvest Dinner: Heirloom #Tomato Terrine + @WholesomeDairy Ricotta http://t.co/AjJMvDOT6k
66404201_359355901737967616 x	RT @sbnphila: Experience something new with @R2LPHL and their Summer Harvest Menus, every Tuesday! #Tomatoes http://t.co/o9SDP9J7sP
66404201_358976258530488321 x	Check out these beauts...#SummerHarvest 4.0: #Tomatoes / Tuesday, July 23rd / 4-courses / $45 http://t.co/0f4SxaHiGe
66404201_358779655283015680 x	RT @danielstern: and their perfect mate... http://t.co/FQ3DYXrmHM
66404201_358779619698540544 x	RT @danielstern: Nothing at all like fresh limas.  Good to see my summer friends back with me in the kitchen. http://t.co/GWXzA0bYxx
66404201_358756525625868289 x	RT @EatDrinkBPhilly: If I were in Center City right now, I'd go straight to @R2LPHL to have a vino and watch this storm go by. What a view!!
66404201_358719222605545472 x	When the #tomato was introduced to Europe in the 1500s, the French called it ?the apple of love? #SummerHarvest http://t.co/r33uoAkVXs
66404201_358000352970301440 x	watermelon-glazed pork spare rib, heirloom tomato + watermelon salad @phillystylezine #PhillyStyleBestOf Party http://t.co/0tTGIHB8LT
66404201_357995252742750208 x	Gearing up for the @phillystylezine #GreatGatsby #PhillyStyleBestOf Party http://t.co/8Mcg3rDl5H
66404201_357972928572305408 x	#WholePigLove. Check out the 25+ chefs for EPIC @COCHON555 @RitzCarlton Philly next Sunday. Spread around piggy pleaz http://t.co/XG7Ub5Ghkr
66404201_357882299725406208 x	RT @wherePHILLY: Tuesday's Summer Harvest dinner at @R2LPHL features all things tomato. Enjoy summer's bounty for $45 PP; optional wine pai?
66404201_357866299721916416 x	@komenphilly @PHLBizJournal It was wonderful to see Elaine Grobman at the 2013 PBJ Women's Conference!
66404201_357865443588980737 x	@komenphilly @PHLBizJournal it was wonderful to see Elaine Grobman at the 2013 PBJ 2013 Women's Conference... Thanks!
66404201_355079145685917697 x	Presenting #SummerHarvest 3.0: #Plums / Tuesday, July 16th / 4-courses / $45 / call for reservations 215.564.5337 http://t.co/R68k3058hl
66404201_357610643609751552 x	Presenting #SummerHarvest 4.0: #Tomatoes / Tuesday, July 23rd / 4-courses/$45 / call for reservations 215.564.5337 http://t.co/fzbRvgTJZg
