343198022_248140346696024064 x	@michaelombardi -Well said
343198022_190857368672813057 x	I miss Whitey too!! RIP
343198022_394930777617870848 x	@NFLCharean @JasonLaCanfora  Where was Garrett during the entire fiasco, on the sideline.
343198022_394110170730889216 x	RT @Hubey30: @DarrenDreger could you please help raise awareness for JR hockey player Captain Paul Kinder fighting for his life http://t.co?
343198022_392767752500674560 x	@ShaneVictorino @MLB Go get em "Flyin"- miss you in Philly
343198022_386529811340226561 x	@SiriusXMNFL -Never write off Rodgers( and those weapons ) However,Stafford+Cutler-feel free to
343198022_384833258246381568 x	@TheRealDGunnCSN - $3.15  on RT. 73 in Jersey today. By next week $3.50
343198022_377672961550872576 x	@FootBrawlers @MyFantasyLeague S.JACKSON,  (WILLIAMS+ SMITH ON SAME LOW SCORING OFFENSE)
343198022_376887822474428416 x	@MikeGarafolo Did you see the fat Guv from NJ next to Jones Makes NJ proud [ lol ]
343198022_376382297974792192 x	RT @BroadStBull: A heartfelt happy 90th birthday to the best all-around broadcaster in Philly sports history, Bill Campbell. #OhBaby #Phils?
343198022_364001193648865280 x	@richeisen - check it out-do your homework Buddy took a chance with him- bad police record in school(Hernandez)
343198022_364000508588990464 x	@richeisen continued- ( drugs + worse) Buddy arranged with Philly police to get him off- if he traded-Carter was a bad dude at that time
343198022_363999380962938881 x	@richeisen Dear Mr.Eisen-are you too young, or are you just not informed.Carter would have been arrested in Philly- cont.
343198022_362009977545703426 x	@Buster_ESPN -Buster,are you the Braves beat writer for twitter?Sure seems like it!
343198022_357308452269342720 x	@Seth_Everett -get real Seth That was Cliff Lee laughing at the classless asshole NY fans
343198022_357293177687912448 x	@JosephVrabec @hsformen @mlb Learn the game-he was laughing at the asshole NY fans
343198022_356578251608563712 x	@Buster_ESPN Calm down Buster-you sound giddy over your beloved Braves Be a little more professional
343198022_355106302688632832 x	@ToddZolecki -Rollins batting 2nd, refuses to give Revere a chance to steal 3rd time in last weekdays hit into a double play with Revere on
343198022_188731098593902593 x	@MLBONFOX  Citizen's Bank Park
343198022_354377743284187138 x	@JerichoSpriley @myfantasyleague  Good trade-anytime you get the best player in the deal( Geen)
343198022_350898336699654145 x	RT @PhilliesFanbase: @CSNPhilly Hoping you can RT so we can get Dutch a TON of support on this page - https://t.co/1yggaJKXWK #prayersfordu?
343198022_349706008135864320 x	@NFL_PhD @myfantasyleague - Morris, if you count TD scoring.
343198022_349606492414017536 x	@phillysport Best news of another lost day in Philly sports!!
343198022_345542692786278400 x	@davidrising a Polish uprising( (it was 100% a Polish Jewish uprising)
343198022_345542334739513345 x	@davidrising Very informative.However, not once did you mention his main target-Jews You actually called the Warsaw uprising a -Cont.
343198022_344563694098857984 x	@richeisen @aaronrodgers12 Mother of Dragons is the favorite for the throne!!
343198022_342407126565666817 x	@TonyBrunoShow Mazel Tov Tony
