347576974_392134468246704128 x	It's all set up for Peyton's laser rocket arm #onlyinamerica #GWD
347576974_386935541687939073 x	@RoobCSN @GeoffMosherCSN is it possible for this d line to get pressure? Absolutely pathetic
347576974_386843688032563200 x	@RoobCSN 27-20 Birds
347576974_386836433685979136 x	?@cbfowler: Wow. Would be something to be in a sports book right now. OSU covers on a 0:00 fumbled lateral. An all timer.? @c_donlevy
347576974_386835508070199296 x	@ZLuNz07 they're missing the Z
347576974_386835113591734272 x	@sarsub Franklin J Duffy. He can drink BL and watch football with the best of em'
347576974_383575290192355328 x	@c_donlevy Ha! You're the HEALTHIEST!
347576974_382153383807037440 x	?@BrianCarriveau: And at 6:30 p.m. #Packers DL Mike Daniels joins host John Kuhn on Clubhouse Live at 6:30 p.m.? @c_donlevy your boy!! #76
347576974_381624133748273152 x	@RoobCSN where's Jon Harris??? He was a sure thing DE. LOVE the wingspan!
347576974_379804796217458689 x	@BrianDawkins was this where the work was done??? #respect http://t.co/BMKs8yy1B0
347576974_379787049504481282 x	@HiMyNameIsSeton I know you've drank about a thousand of these. Thoughts? http://t.co/wpxsvbX4xr
347576974_378578663517982720 x	?@BleedingGreen: Michael Vick?s Fatal Flaw http://t.co/m0Hq32KpR1? great take on Vick
347576974_377265025918181376 x	@LesBowen what kind of question was that? Spit it out would ya?
347576974_377244121498673152 x	@lpwheeler no clue L Dubb I saw 33-0 and thought for sure they won that big. Guess they're missing that OC that went to OK ST
347576974_377238245186494464 x	@lpwheeler Hahaha hater
347576974_376865476141666304 x	I can't be the only one who absolutely hates Mike Periera can I? #downwithperiera
347576974_375982117961756672 x	VIDEO! The Reason We Still Love the Eagles | Nik The Web Chick http://t.co/4GytcjsxC7
347576974_375963985860128768 x	@c_donlevy Hahahaha. Dirty...jock...strap. Dirty...jock...strap. DIRTY...JOCK...STRAP!
347576974_370385309022031872 x	RT @ShipURaiders: Great read in today's Milwaukee Journal Sentinel on #SHIP alum and current Green Bay Packer fullback John Kuhn '04: http:?
347576974_370205925854167041 x	RT @caplannfl: Breaking down CB Brent Grimes' interception of QB Matt Schaub | The Sideline View http://t.co/luU8gaS1cB via @sidelinefb
347576974_369948155565322240 x	@MychalKendricks now that's a badass pic. I wouldn't mind seeing DeMarco Murray in that same helpless position this year.
347576974_365283479841284099 x	@ant4214 @Macngravy6 pops can u tighten up my fade? #i'meating
347576974_364885374423666691 x	@djameson87 I tried DVRing it and its like $5.99!
347576974_364885802456580096 x	@djameson87 if you try to watch now I think
347576974_352461178565427200 x	@c_donlevy hahaha you attacking Arod now???
347576974_351335872886616064 x	@notthefakeSVP did you cut John Kuhns pic off the @packers website and paste it on @StanfordSteve82 profile? #exactmatch #kuuuuuuuuhn
347576974_350058977939304450 x	@ZLuNz07 they never have or ever will #stopbelievin
347576974_347911331078340608 x	RT @notthefakeSVP: What a great replay, James working to get set for a 3, some guy dressed like the Good Humor man in the front row texting?
347576974_347905230664515585 x	@c_donlevy that's a cool article man. Good publicity for Hydroworx to say the least!
347576974_342835393005228032 x	@djameson87 you're an idiot. Highest grossing Sandler movie of all time BY FAR.
347576974_337249208895688704 x	@djameson87 @kricanny Hahahaha...throwback! Big Mose's face is classic
347576974_335001846261370880 x	@c_donlevy sounds like he made the wrong decision in my opinion. Turn down Walsh for the NBA? I don't think so
347576974_327208007450624000 x	@RoobCSN that article is spot on. Everyone blames it on the lack of defensive scheme since Jimmy J passed. Players and talent win games.
347576974_325293917677436928 x	RT @ShipURaiders: FB: Former #SHIP offensive coordinator Mike Yurcich, now at Oklahoma State, is featured in USA Today: http://t.co/MMeE8vn?
347576974_324918836207955969 x	Soul GLO????@Eagles: QB Randall Cunningham is all smiles in Philadelphia after the 1985 NFL Draft. #tbt #EaglesDraft http://t.co/303s9To5Ky?
347576974_317829546156113920 x	@JNeumyer u are starting a project without including me? Come on I've been waiting for your entrepreneurial idea to come to fruition for yrs
347576974_312562254912581632 x	@caplannfl Eagles were beyond bad offensively last year. They were BBO.
347576974_312340625930473472 x	@djameson87 hahahaha congrats Danny Boy! Keep taking care of business!
347576974_312298874339487744 x	@JayGlazer did day drinking in Napa bite ya in the ass? #hangover
347576974_312144281282416641 x	@c_donlevy very true. Eagles got a 2nd round pick as well though.
347576974_311881677523800064 x	@RoobCSN thoughts on Eagles possibly signing Brent Grimes from ATL? Former teammate of mine at Shippensburg and Philly native?
347576974_309332660667445248 x	@RoobCSN @GeoffMosherCSN any chance Eagles look at Brent Grimes in Free agency? Hometown Philly kid top 5 CB before Achilles injury #SHIP
347576974_301380671371370496 x	@c_donlevy @djameson87 I've only resigned to move on up boys! Somerville and Atek just weren't cutting it #walshstatue
347576974_299599888046514179 x	@c_donlevy I'm stunned? All this talk about 52 and he completely forgets about ole 56? #whathaveyoudoneformelately
347576974_293180480294113281 x	@LesBowen you've obviously never played football. No other option but to make that hit when the RB curls up and puts his helmet down.
347576974_292148959814754304 x	@c_donlevy I do now! Hassy is the best
347576974_290486653154373633 x	RT @AP_NFL: Love this photo: Peyton Manning and family waited to congratulate Ray Lewis http://t.co/yM4RWnuh (hat tip @csteele32) #raven ...
347576974_290300468893212672 x	@BrianDawkins did u teach Bowman and Willis the secret of looking like a beast in a uniform? #Bdawk
347576974_290280155534999552 x	RT @RoobCSN: John Harbaugh is in his 7th conference championship game in 12 years - 2001, 2002, 2003, 2004 with Eagles, 2008, 2011 and 2 ...
347576974_290266683459915777 x	It's a shame that the refs are affecting the outcome of this game
347576974_290202927405088768 x	RT @c_donlevy: ?@OMGFactsCelebs: Arnold Schwarzenegger only spoke 74 words in The Terminator.? @ohhhhdannyboy
347576974_288347374475165696 x	RT @packers: John Kuhn had Lambeau chanting his name after becoming 1st Packer with rush+receiving TDs in 2 different playoff games http ...
347576974_287253845057347587 x	@djameson87 haha good one. yea what's up with that? #powercouple
347576974_286216664264101888 x	That's the best play I've seen all year #Clowney
347576974_285594043143041024 x	London Fletcher = BEAST. #probowlsnubeveryyear
347576974_285573092934311939 x	If @CutonDime25 played in this Skins offense he would break 2000 yds. RGIII just opens everything up for the RB.
347576974_285565721000435712 x	I guess Hankerson hasn't caught on to the Under Armour movement. I mean it WAS created in MD #80ssleeves
347576974_285505481672364032 x	@djameson87 haha good call Danny Boy #dumbassCowboys
347576974_285506340057645056 x	@djameson87 yes...yes they did. Reid has already been told by Lurie he's out per two sources. Is Schwartzy next?
347576974_285465978010226688 x	@RoobCSN I was there. Still a great halftime retirement ceremony for Reggie. Snow flurries. Not as good as Bdawk ceremony though.
347576974_285452269237989376 x	Eagles are the fat girl the Gmen have been looking for #slumpbuster
347576974_283032315691663360 x	The new NFL is ruining the integrity of the game
