117909186_395724832601432065 x	@Kembo_Slice literally dying. ???
117909186_396108994286059520 x	RT @WhiteGirIs: for all the white girls out there... http://t.co/Ur29eKVvKu
117909186_396108774101889024 x	tomorrow I will be dressed up as a cat for work because I can't get this makeup off my face.
117909186_396095723860549632 x	creepy cat. http://t.co/qGtQH5qhJL
117909186_396104255175933952 x	aw thank you ?RT ?@Tobiasized: @magic_of_macy Meow-gic of Macy.. Pur-fict?
117909186_396098805881257984 x	@redlog13 @ryanschlaepfer uh yeah. We went trick or treating. #getoverit
117909186_396098353554923521 x	@SeanIsle #adamlevine
117909186_396096267757293569 x	@PrestonSteve933 according to my brother & his boys... I'm supposed to join your sorority?! #rushweek
117909186_396072157333438464 x	& we got called old... #ugh
117909186_396071246477025280 x	so were trick or treating & a guy gave me a rose ?
117909186_396059950599782400 x	#meow http://t.co/h0mUWuELXE
117909186_396059778457145344 x	kids where are you?! I have tons of candy & dressed like a kitty cat! Why wouldn't you want to come to my house!?!
117909186_396052006537670656 x	cheetah girls ? http://t.co/hRhqGRIh6S
117909186_396017579174543360 x	going for that #AngelinaJolie look. http://t.co/pgCKswXH1v
117909186_396016333726298112 x	RT @TheGoonShowPSU: Goon as the bashful lion... tweet us your  Halloween pictures! http://t.co/8IzxGWt2QE
117909186_395975349366181888 x	RT @LouPrato: I'll be on The Goon Show podcast today (5-7 pm) talking about my book, We Are Penn State: The Remarkable Journey of the 2012 ?
117909186_395975015654359040 x	hey! @RealRocket22 do you have an email address that i can get in touch with you?
117909186_395967501085204480 x	RT @bflip33: His quote was YOLO? RT @mathmeetsfball: Is this picture for real? A young Bill O'Brien, courtesy of @badnewsiguanas http://t.c?
117909186_395916023020277760 x	this blows my mind...no wonder why girls hate the way they look all the time...  @JohnKaminski can you transform me? http://t.co/o2wXi5nBjm
117909186_395967379999440896 x	@JohnKaminski we will.. no worries. you will make me famous.
117909186_395964551763877888 x	RT @ChrisDuPrau: Get ready for week 10 in the #Pac12, #SEC #AAC w/ @Dux4Ever23 & @thedupesnet http://t.co/L3oF2bGiPP
117909186_395964211173416960 x	#Giants halloween shirt. It was cool when I was 6 & it glowed in the dark. http://t.co/AsLZkC1d6C
117909186_395962373447491584 x	mom bought candy for me to hand out tonight.realistically im going to turn the light off, sit on the couch,eat it all &watch Lifetime movies
117909186_395961671266889728 x	RT @FantasyFocusedd: Check out our #NFL Insider @ChrisDuPrau as he previews #Week9 http://t.co/KNsH379dZu
117909186_395961642867228672 x	RT @FantasyFocusedd: @ChrisDuPrau and I sadly picked the #RedSox to win in 6....did you? #TheDupes #MLB http://t.co/GuHrkuqSJ3
117909186_395952445517352960 x	Hey #Giants fans, how fabulous is this!?!  http://t.co/XT1ToiUwvO thanks for making my day on sunday @LicensePlateGuy
117909186_395951104669675521 x	this is awesome... #pennstaters http://t.co/R2cG1PtbhW
117909186_395941544563204098 x	RT @ChrisLaw: Only 104 days until Pitchers and Catchers report
117909186_395941515316301824 x	RT @JShankerESPN: A dreamy Kliff Kingsbury. Bill Snyder close to undead status. Sharks with laser beams. Nicely done @max_olson. http://t.c?
117909186_395938851350257665 x	Did you ever think I'd be a #PSU cheerleader? ?@TheGoonShowPSU: Happy Halloween! Tweet us your costumes!? http://t.co/666tluJaVz
117909186_395941251779805185 x	@VexPith I am not lol
117909186_395935128293478401 x	RT @TheGoonShowPSU: Tonight's show! Lou Prato @ 530 @aqshipley @ 6 Juice Williams @ 6:30 http://t.co/Rm4IKah4gJ Former illini starting qb, ?
117909186_395934966850523137 x	RT @darrenrovell: How Does This Happen: Penn State, member of the ACC? http://t.co/7CgWiERp4k (via @nycjorge)
117909186_395920125846913025 x	RT @E_Lipsman: I want to thank everyone so much for voting for CHASE. He won both MiLBY Awards. He was one of a kind. #MissHim. http://t.co?
117909186_395920043621355520 x	@KendraWilkinson congrats! i love your little family!! xo
117909186_395918931183284224 x	RT @CuteEmergency: happy halloween! http://t.co/4ke5v61QYj
117909186_395918900560293888 x	guys.... there is a puppy cam... you'll be addicted! http://t.co/NrfjYrvKeO
117909186_395918526877167616 x	my aunt & uncle's puppy wearing a #PennState jersey for Halloween #socute #hadtoshare #14 http://t.co/EHauSY2Ocq
117909186_395916498268475392 x	@redlog13 stop it right meow. <3 http://t.co/NrfjYrvKeO
117909186_395915269362974720 x	RT @TweetLikeAGirI: never forget http://t.co/eXrcUbmWUn
117909186_395914694877540352 x	RT @Duces31: @magic_of_macy 's Heat lost to the Sixers last night! #reallifequestionmark
117909186_395914625977315329 x	totally passed out last night & missed the end of the game.Congrats to the @RedSox & @davidortiz
117909186_395913464104755200 x	new fall update on http://t.co/XgSQLfAfft !
117909186_395903374681317376 x	@JennFredFOX29 makes a better @MileyCyrus than miley herself... (except for jenn looks cute, & is not a train wreck)
117909186_395897993611579392 x	Makes for a good start! http://t.co/1taoOtVXfc
117909186_395736819448692737 x	@psdegeorge  ? RT ?@Earth_Pics: Naps http://t.co/NXSkZxt6ee?
117909186_395733800891588608 x	RT @bigpapiyo: #BOOTYHADMELIKE http://t.co/jXAODYzeZl
117909186_395724428299874304 x	shut.the.front.door.
117909186_395724789047771136 x	RT @Kembo_Slice: @magic_of_macy mad as shit. #215
117909186_395722836758654976 x	covered in vanilla ice cream. im not allowed to eat ice cream cones.
117909186_395713490339364864 x	you're welcome RT ?@ryanschlaepfer: S/O to the 8th grader who soaped my car windows?
117909186_395704583147642880 x	yup, just took a mirror pic in the bathroom at @BWWings #3peat #wade #heat http://t.co/lhhYVhzeWo
117909186_395701173212045312 x	hoping the sox pull out a big win tonight.
117909186_395698795578544128 x	I'm beyond terrified of mischief night. always have been. always will.
117909186_395694676629782528 x	RT @ABCFpll: RT if you?ve got your red coat ready for tomorrow! #PLLhAlloween
117909186_395693313665146880 x	my mom is watching her first NBA game. first guy she sees, #birdman well that went well.
117909186_395690005974118400 x	leggoooo http://t.co/LUxlEj8Qiy
117909186_395687958415548416 x	Iverson: "I'm happy with my decision" <--- why because you don't have to practice anymore?
117909186_395686974754783233 x	heat vs sixers.
117909186_395660941653979137 x	throwing a football while kicking a soccer ball. https://t.co/xB5U2cfU5F
117909186_395661667444346881 x	coach of the year. RT ?@joepapsu1: @magic_of_macy i think you need to reevaluate your coaching drills?
117909186_395626774060470272 x	? literally ma face. http://t.co/XuTfHCY12A
117909186_395625203805351936 x	these were not the right shorts to do squats in. #whoops
117909186_395563241986068480 x	RT @QuotetheDay: You can do anything, but not everything.
117909186_395554883513765889 x	im more excited for a $3 salad from @ChipotleTweets rather than the candy&all the shabang that goes with halloween.
117909186_395550312540692481 x	done. RT ?@TrizzTaylor: @magic_of_macy vote for me please http://t.co/vqMDfefdj3 RT RT RT!?
117909186_395548944836481026 x	maroon 5 radio type of day.
117909186_395544485091745792 x	still trying to find #heat / #sixers tix for tonight that arent a billion dollars.
117909186_395539605547532288 x	@KacieFOX29 put in a good word for me with wade... xo still trying to get tix
117909186_395432047495233536 x	@ESPN 's stat... the heat have won their past 3 season openers. WELL DUH. It's the heat.
117909186_395425280983973888 x	RT @CuteEmergency: my attitude right now http://t.co/W4OkYrobKX
117909186_395425249757380608 x	took NyQuil last night, knocked me out. Took it again tonight& I'm wide awake. #gottalovesinusheadaches
117909186_394505106613633024 x	she's my type of girl @KacieFOX29 http://t.co/ik3SHbgF7G
117909186_395388650596630528 x	@pdiehm thanks :)
117909186_395382469312413696 x	If @MSchulerMusic goes to #TeamAdam , DJ better hook a girl up.
117909186_395369891492282368 x	on Halloween they say you can be whatever you want. I tried to be Van Gogh. #pumpkincarving http://t.co/kJPRhkUn5o
117909186_395326741314818048 x	I need more followers so I can follow more people! I don't want to unfollow any of you great people that entertain me every day!
117909186_395337202697515008 x	@PSUJeremyReeder :)
117909186_395354226479890433 x	@VexPith aw thank you :)
117909186_395341532947288064 x	RT @JactionJ: #LETSGOHEAT
117909186_395339765295616000 x	struggling! help! ? http://t.co/PThryzTVQg
117909186_395337359522549760 x	I need a man with big arms and strong muscles. I'm too weak to cut this pumpkin! ??
117909186_395336313169530880 x	RT @NotKeithMasser: .@magic_of_macy It would be really wrong to make a Mark Emmert head with an axe in its noggin.
