16787100_395754030125027328 x	@MikeLata that makes the fact that this wasn't the O's in the series less painful.  :)
16787100_395588717986865152 x	I listened to your "sermon" on the podcast, here in Charleston SC...I may borrow your Psalms, you are a natural.  @BlakeBlackman3
16787100_395586868252647424 x	@wendyplump your mama bought a few copies of your books yesterday.  Hope you are rocking some sales.  #Vow #proudmama
16787100_395578541338669057 x	reading Mad about the Boy by Helen Fielding makes me realize I don't take my tweeting quite serious enough #BridgetJonesInspiration
16787100_395578095060537344 x	One day I will be watching you in the 6th game of the World Series #futurehusband #futureworldseriespitcher #loveyou @theaculprit
16787100_395294073151430656 x	@SimplyAJ10 sipping a glass of champagne for you and your future Mrs.  #meandmrjonesgotathinggoingon
16787100_392767860960788480 x	Scrappy Van Funk is the cutest little puppy #puppylove
16787100_379965954567860224 x	Me and Mr. Jones got a thing going on.  Go O's @SimplyAJ10 #stayhungry
16787100_347491889026580480 x	RT @chaptersindigo: "Whatever it is, accept each other's differences and help prop each other up." RIP Vince Flynn, bestselling thriller au?
16787100_345616254314377217 x	@theaculprit sad you didn't make it down to Kiawah.
16787100_345558747403386880 x	@simonvanbooy The Illusion of Seperateness was awe-inspiring.  You work never ceases to move me.
16787100_345546229465362432 x	@baltimoresun It's sad when fans boo their players.  We love him when he's "on."  A little encouragement and respect go a long way.
16787100_345200930691633152 x	@rainbowrowell There is one in Baltimore MD that is fabulous!
16787100_344952432670941184 x	RT @SimplyAJ10: Didn't get the sweep but we got the series. Would've been nice but it's never easy. Thats why I love this game. Bring it ma?
16787100_337963678836068355 x	50 Shades! The Musical Tour Bus Dance: http://t.co/vwlGSVuE9o via @youtube
16787100_337945368639725568 x	Keith Richards faces ?3,000 fine for overdue library books http://t.co/aUZlZzTJHa  via @3am  #ilovekeithrichards
16787100_334514676245360640 x	God be with the family of Tim Bosma today and always.  #heartbreakingday
16787100_334505366396211200 x	RT @_rallycap: Last night wasn't heartbreaking. Today is. RIP Tim Bosma.
16787100_334350795204067329 x	@_rallycap Well said.
16787100_332678283080634369 x	RT @aldila_chas: The F.D.A. recommends 2 servings of fruits a day. This counts, right? http://t.co/7IxyIp2fxn
16787100_329695894674997248 x	RT @SimplyAJ10: Lets have a hugging contest also. I don't really know what that means it how u could be a winner. I just want some hugs ????
16787100_329695656459501568 x	RT @amygrant: God gives you grace and you can't earn it Don't think that you're not worth it Because you are ::: Don?t Try So Hard :::
16787100_329693209104097281 x	@michaelwsmith Beautiful little one.  What a blessing.
16787100_329689829854035968 x	RT @baltimoresun: "He was one of a kind, man. There was no one else like him in Baltimore." Mick Kipp obituary: http://t.co/QsnZ4qgRpT
16787100_326774509438902277 x	RT @PenguinUKBooks: RT and enter details by 9pm for chance to win our @PenguinPodcast bundle: http://t.co/Fm3CZA4o7M http://t.co/2ZW8ueV7ev?
16787100_323987305289351168 x	@christianpiatt nothing funny about it.  #seriously #prayforboston
16787100_323961110409654272 x	@TamekaRaymond @CNN I heard it was a man wearing black.
16787100_323958152624222208 x	RT @Baltimore_Alive: Positive energy, hope, prayers and love from Baltimore to Boston
16787100_323957990069788672 x	RT @BarackObama: "All Americans stand with the people of Boston." ?President Obama
16787100_323957919790022656 x	@konradng #prayforBoston #prayforAmerica #prayforObama  A terrible day.
16787100_323957049161555968 x	RT @BostonGlobe: Note to our readers: All http://t.co/UFVRh8Aiqt stories are open and free to everyone. http://t.co/ACJ5QSHFl9
16787100_323956851895062528 x	RT @TeamFlacco: Thoughts and prayers are with everyone affected by the explosions at the Boston Marathon today.
16787100_323916170220666881 x	#prayingforBoston
16787100_323106744102420481 x	RT @BarackObama: Why President Obama is not giving the weekly address today: http://t.co/n4SjqvVYZ3
16787100_323105759091109891 x	I love you @SimplyAJ10   My favorite Oriole ever!  #StayHungry
