439971614_400030981991571456 x	@donovanjmcnabb Dorsey must be crazy!
439971614_400010712510373888 x	RT @TommyBeer: Michael Carter-Williams is leading all NBA rookies in points, assists, rebounds, steals & 3-pointers
439971614_399900836043554816 x	@WIPMorningShow van full of pies heading down 95!!!  Great idea Angelo! #pecanpie#piepiper http://t.co/EZyd5CUrGx
439971614_399715031837081601 x	@AdamReigner I'm confused about what you're trying to communicate bud?
439971614_399716141708636161 x	@AdamReigner fans don't win rings.  We boo when it's necessary like Not scoring an offensive TD in 2 games and not winning At home in 10.
439971614_399714160181002240 x	@AdamReigner what he say?
439971614_399705560603705344 x	@RyantDolan @BillSimmons and what do you deserve Keith?!?
439971614_399679787939405824 x	@MikeMiss975 @FrankWibble215  dude is #14 on the top 100, plus he put that dope out of business down the dial.  Respect opinions.
439971614_399168777931489280 x	@MikeMiss975 the "king" is on Saturdays now.  Man you ended that dudes career.  He's so hard to listen to,
439971614_398976032768020480 x	@RyantDolan @tmoore76ers money he's making is louder than all them boos!
439971614_398943059209367552 x	@RyantDolan @MikeRosanova @KDolan02 heard it, Andrews is a bitch!
439971614_398945891832565760 x	@RyantDolan @MikeRosanova @KDolan02 #hazing#growup#no.1pick#1strdbust#shutupandblock
439971614_398940029139320832 x	@dis06 y?
439971614_398177462183792640 x	@RyantDolan @KDolan02 @MikeRosanova @MrMcMillionaire @jb_yall hate BYNUM! #bowling#strike
439971614_397925034767155200 x	@CrossingBroad he hasn't done anything right this year.  You get the "C" and turn into a giant pussy on this team anymore!
439971614_397888552765513729 x	@RyantDolan @KDolan02 @MikeRosanova had it DVR'd a week ago!  Got the Jerome and Reggie one too kid!
439971614_397757585098412032 x	@ryandonnelly02 @MikeandIke94WIP @SportsRadioWIP @NFoles8 I miss you Dons.
439971614_397755727978065921 x	@ryandonnelly02 @MikeandIke94WIP @SportsRadioWIP @NFoles8 he goes through his pre snap reads, identifies coverage, goes through progressions
439971614_397755447119052800 x	@ryandonnelly02 @MikeandIke94WIP @SportsRadioWIP @NFoles8 how do you tear him down after 1 though?  1st bad game this year.
439971614_397746814788460544 x	@RoobCSN you think Nmandi just got old fast or just disguised in Raiders D?  Can't remember a guy that fell off that fast after being elite.
439971614_397745227349245952 x	@ryandonnelly02 @MikeandIke94WIP @SportsRadioWIP @NFoles8 yo Dons, just enjoy the ride, would ya?!?#timesnotyours
439971614_397734268312379392 x	@WIPMorningShow "I have hell on line 1!!" Classic!!! @rheahughes best line of the day.
439971614_397467389714915328 x	RT @SportsCenter: THIS JUST IN: 49ers are waiving CB Nnamdi Asomugha. (via @mortreport)
439971614_397466574803574785 x	@BroadStBull when is he due to arrive image Wells Fargo!?!
439971614_397145556046188547 x	@MikeMiss975 Only Markinson knows the truth though!
439971614_397145414501015553 x	@MikeMiss975 he'll start the rest of the season, it will be competitive football vs mop up duty last year.  Make assessment at end of year.
439971614_397126672723345408 x	@RossTuckerNFL sarcasm?!?
439971614_396824238445051904 x	@IamAreck @robellis94 might have 1 in MCW.  It's fun to watch...when other teams are disappointing us, these guys play with grit and effort!
439971614_396816578500919296 x	Can anyone explain what's going on with the Sixers.....try, I dare ya!?! #upsidedown
439971614_396630284705087488 x	@RyantDolan @EKonop83 @KizzyK20 @laueref7 @CJandEcks The Gold jackets yours, @cmcinerney10 is gonna choke! #frankensteinsfoot
439971614_396580079951560704 x	@daillone215 Flyers blow....Sixers 2-0....not sure what's wrong with Philly sports!
439971614_396390928702656512 x	@daillone215 @RyantDolan @jb_yall @BigcatJRaft what other games were there?!? Been awhile!
439971614_396344493638578176 x	@ViolationsGreg @RealGlenMacnow @AnthonyLGargano Vio?buying a jersey that you share last name with? Ex. In my case...mike Schmidt jersey?
439971614_395296855950897152 x	?@darrenrovell: Hey Ohio Staters: Best place to watch Game 6 of the World Series tomorrow night? I?m in Columbus.?@JZOSU
439971614_394989110869639168 x	@MikeMiss975 "the team that goes to Boston with a 3-2 games lead will have the advantage". Love McCarver!  Thank god it's his last year!
439971614_394555972548431873 x	RT @TonyBrunoShow: Hey Giants fans. 5 fgs and you slap dicks think your team is good at 2-6. Put down the crack pipe strappers!  #youstills?
439971614_394531730449002496 x	@KDolan02 @MikeMiss975 coach could have ran the ball from the 2yd line.
439971614_394530465119764480 x	@CrossingBroad  the Linc is a joke http://t.co/hlVEb8q43y
439971614_394056487934238720 x	@RyantDolan Meghan Hardin from the Big Break Mexico.....whoa! http://t.co/9GwtKg2Gd5
439971614_393790685515890688 x	@MCarbo10 @SeanBrace975 @JonandSeanShow bike
439971614_393790645141532672 x	@MCarbo10 @SeanBrace975 @JonandSeanShow excite bije
439971614_393781978388238336 x	@JonandSeanShow RBI baseball!
439971614_393141903522562048 x	@jb_yall I got the Sox.  Victorino still has Phils blood.  Hate the cards.
439971614_392650084548378625 x	@WIPMorningShow another awful bit by joe Conklin.  Does anyone listen to these bitstream before they air!?!  Brutal.
439971614_390601216755253248 x	@ViolationsGreg the wave demonstrated during the playoffs should get your team eliminated.  #Dodgersfans #violation
439971614_390494576081129472 x	@CSNPhilly  reliving the past again.  Maybe we can retire bob clarkes # again.
439971614_390176107032739840 x	RT @daillone215: "All I really want is you niggas to be original and start spittin some lyrical shit that I can listen to"-Canibus.. Creati?
439971614_390100790947618816 x	RT @PrestonSteve933: You can't help but feel bad for this news anchor....and then soon after just start laughing. #DrunkAnchor  http://t.co?
439971614_389929395886227457 x	RT @ShannonSharpe: The NFL tried to solve a long term problem with the high hits, but created a more immediate problem with the low hits. #?
439971614_389860395147878400 x	@jb_yall onions baby onions!
439971614_389568704956350464 x	@HARRYMAYES975 relax collinsworth
439971614_387400811518496768 x	@KNegandhiESPN hate to hear this....need to bring back Mike so she can keep her mind off things!
439971614_386690033149050880 x	@LycoFootball @WarriorsFBall good win men!
439971614_386530756400783360 x	@richeisen Meet Mean Joe Black?
439971614_385892013666992128 x	RT @MichelleDBeadle: 7-0?!?!  Seinfeld rerun in 12 minutes.
439971614_385857372130136065 x	@AdamReigner @JasonLaCanfora well he got Kevin kolb and AJ feeley paid somehow.
439971614_385815246994436096 x	@brendanburns12 how you doing buddy?
439971614_385195737409396736 x	@Ike58Reese lived there for a few years downtown...Phils fan for life but Redlegs a distant 2nd.
439971614_385191056444493824 x	@jb_yall this format will go away in a year
439971614_385016818219245568 x	@JasonDufner Help!!! I'm hitting all my clubs 115 yds sky high!  What the hell am I doing wrong!?!?!
439971614_384781453856616448 x	@cmcinerney10 bahahaha
439971614_384066150445092864 x	@WarriorsFBall what's with this rivalry and FG's!  Wow!  Great win men!
439971614_384065940830572544 x	RT @WarriorsFBall: Great job today, got a 16-14 over the 24th ranked widener pride. We now focus on the aggies of dv!
439971614_383918336301887488 x	@TheRock no way you put all that down!  #knowyourrole
439971614_383630817962229760 x	@SportsCenter @ScoutOhioState wow!  Breaking news......
439971614_383580992117936128 x	@BigDaddyGraham Marisa tomei
439971614_383580424850898944 x	@BigDaddyGraham Jessica Biel
439971614_383580327656296449 x	@BigDaddyGraham Elizabeth berkkey
439971614_383322856089993216 x	@MikeMiss975 what is I so with Arian foster!
439971614_383178117038092288 x	@pgammo Falmouth is in the middle of nowhere!
439971614_383167734626127872 x	@nufced I hate the 13.1/26.2 bumper sticker!
439971614_382603942087364608 x	RT @lesage_kevin: ?@HarryDunne_: First pic on set for Dumb and Dumber sequel. http://t.co/cfd7NfELaz? @HarryDunne_ CAN'T WAIT.. And totally?
439971614_382472232293130240 x	@SportsRadioWIP another awful bit by Conklin.
439971614_381926183153451008 x	The entire NFC looks so weak with the exception of NO/Sea.
439971614_381925477528928257 x	@cmcinerney10 I'm with you there.
439971614_381925132174106624 x	RT @cmcinerney10: I said it day one, Kaepernick overrated. Went to Sin City University for a reason.
439971614_381644133393514496 x	@RonnieLottHOF modeled my game after you.  No plays off.  And intimidate every chance you get on the field. #nopain
439971614_381104171912822785 x	@LisaHillaryTV F-150!  Truck girl?#builtfordtough
439971614_380753362826039296 x	@AdamReigner I think that's every iPhone.
439971614_380027718022467584 x	@ryandonnelly02 @jmac_18 @KacieFOX29 unreal.....
439971614_380026539125272576 x	@jmac_18 it's gotta be brutal watching the offense and imagining the possibilities with @jmac_18  on the field.  Best of luck on recovery!
439971614_379340307139395584 x	@frano3707 @ryandonnelly02 @RyantDolan @KDolan02 @DaveOmlor that's a fraud if I ever heard of one.  Can't even offer to his boys! #violation
439971614_379341828468002816 x	@KDolan02 @frano3707 @ryandonnelly02 @RyantDolan @DaveOmlor #giveupyourtixtoyourboys#4monthold
439971614_379340799135453184 x	@ryandonnelly02 @CrossingBroad everyone keeps whining about the TO's.  chargers had 2.  They would have ran the clock down anyway.
439971614_379338068924563456 x	@JohnKincade it wouldn't have mattered either way.
439971614_379314962751320064 x	@ryandonnelly02 @KacieFOX29 damn bro that's cold!  What's up with that!
439971614_379314551239741440 x	@frano3707 @RyantDolan @KDolan02 whoa seriously?!?
