990180313_396469367854346240 x	@Highway_30 you should still be on the sixers #BeWell
990180313_395755044123193344 x	RT @alleniverson: I'm a Sixer for life!!! Appreciate the sixers and the fans for a amazing day!!!
990180313_395605932153245697 x	RT @alleniverson: Philly I'm back!!! #FromAIWithLove ... #TheAnswer http://t.co/KrN1axDp7w
990180313_395165582246825984 x	RT @gfcgolf: To celebrate my victory & for surpassing 10k followers, I will raffle this signed flag. To participate RT & follow http://t.co?
990180313_393774369077727232 x	RT @bencranegolf: 14 yrs ago today we lost a role model and a legend. You made the world a better place, Payne. http://t.co/LmqJ5t7VfM
990180313_393225397976186880 x	RT @Matty93Cord: http://t.co/gLQ62pPVlo
990180313_393224839211024384 x	RT @JimmyRollins11: We will get back to October......doesn't get better http://t.co/2QAZlV2mCC
990180313_393100839315079168 x	@KacieFOX29 if those were my chances of getting a date with you I'd be thrilled #soyoursayingtheresachance
990180313_391193944480305152 x	RT @realDonaldTrump: I build beautiful websites with very smart and imaginative people for almost NOTHING. OUR GOVERNMENT SPENT ALMOST $535?
990180313_387922779120889856 x	RT @RealRocket22: Berube telling a reporter to get lost reminds me of when I would go to wake him up for practice when he lived with me
990180313_381476297639079938 x	We were 1-0 when this was taken http://t.co/FnwbKu1ebP
990180313_378935423638466560 x	RT @IanJamesPoulter: Well I guess I need to rethink. Snedeker, Furyk, Kuchar, have dumped my by 32 shots the first 3 days. These guys are g?
990180313_378901339251953664 x	RT @Keegan_Bradley: 59 today is spooky #furyk
990180313_378901227011973122 x	RT @PaulAzinger: After Furyk shot 59, I went to the garage, looked for my clubs, flipped bag over, dumped everything out! I don't have a 59?
990180313_377830623253381120 x	RT @JimCarrey: GESS HUUZ BAK BICHEZ? http://t.co/CK4VkZy5Ua
990180313_377789972721700864 x	RT @MikeVick: 9/11 United We Stand. #NeverForgotten #USA #LandOfTheFree #1Nation
990180313_377777515101962241 x	#NeverForget #UnitedWeStand
990180313_377530769700585472 x	RT @kobebryant: Great Flow  #Eagles . #keepfocus 1gm doesn't make a season but its a damn good start !
990180313_377262811594108928 x	RT @BrianDawkins: One up... One down. Very impressive debut by the Chip Kelly / Billy Davis eagles!!
990180313_377091067881197568 x	RT @Eagles: Monday is a little more bearable knowing #Eagles football is waiting for us at the end of the day. #FlyEaglesFly
990180313_377037718393745408 x	RT @aaronpaul_8: Heart will speed up. Breathing will slow down. You will want to look away but won't be strong enough. The worst is yet to ?
990180313_377036141385752576 x	RT @36westbrook: Game Day!! I can't sleep http://t.co/A3AEITvwQu
990180313_376788029790519296 x	RT @aaronpaul_8: Happy Breaking Bad day Bitches!! ????????? Lets watch the madness together. http://t.co/eumg76lt9c
990180313_376722611570753536 x	RT @Eagles: .@Eagles are headed to the nation?s capital for #PHIvsWAS! RT for a chance to win a $250 @USAirways gift card for your next tri?
990180313_376186717365354496 x	RT @NASA_Wallops: 90 seconds to launch: @NASALADEE is under the complete control of the launch computer. Are you watching? http://t.co/dedX?
