1645343628_395795720734638080 x	G'night all.
1645343628_395795673129308160 x	I'm gonna try this thing called sleeping. I heard it works wonders.
1645343628_395795475162345472 x	Insomnia sucks ass. It's two in the f'ing AM. I can't stop laughing at stupid shit or I end up crying over songs. Goddamnit.
1645343628_395794708296769536 x	RT @DrunkenAccident: The new thing is to get your idol to follow, unfollow, and tweet you
1645343628_395794689309167616 x	RT @DrunkenAccident: Getting followed by your idol is nothing you must be lovely enough to get unfollowed by them as well
1645343628_395779060741058560 x	RT @ellieisgoulden: halcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyonhalcyon?
1645343628_395779046367195136 x	RT @ellieisgoulden: Who am I kidding Halcyon is always relevant as fuck
1645343628_395779010505879554 x	@burgeroise Who would want to play with "Lego"? Sounds like you're giving a person only one Lego. Legos for life!
1645343628_395778371491094528 x	@rainnwilson Guy is really just a dude controlled by Betty Crocker, who is really a sea troll.  #letmetellyouabouthomestuck #homestuck
1645343628_395769999131832320 x	RT @electradaydream: can u imagine marina going through accts, clicking one after the next, looking at your bio, icon & header and then rea?
1645343628_395769026049085440 x	I hate it when I like someone. I feel like my heart is going to explode and my guts are being smashed. It sucks so bloody much.
1645343628_395768637904023553 x	RT @NathanFillion: This tweet is merely a test- and you passed.
1645343628_395768025170718721 x	RT @UnderTale: Need a quick Halloween costume? Easy! Just make a hat out of your own tears.
1645343628_395766093681152002 x	RT @_AlexHirsch: Writing is like a trust fall with your own brain
1645343628_395765879851339776 x	RT @ellieisgoulden: all diamonds are high strung rn do NOT look!!!!!!!!!
1645343628_395761117034582016 x	RT @agrondiamandis: when marina come home drunk and follows hte diamonds
1645343628_395761030032134145 x	Man, if only the Fatm got some crazy excitement like that.
1645343628_395759991971278848 x	RT @marinaswhiskey: some fandoms want follows from their faves... we want drunken follows and immediate unfollows and apology tweets
1645343628_395759500973457408 x	@teenidling Love it. You should put it every where, like when people print out a famous persons face to put in random spots.
1645343628_395758196200976385 x	@teenidling Do it. Get it professional framed in pure gold.
1645343628_395757850581954560 x	Flo fans: *crickets* Ellie fans: *slight whispers* Marina fans: *sHOUTING OMFG MARINA DID A THING*
1645343628_395757114741628928 x	RT @agrondiamandis: on a scale of 1 to @MarinasDiamonds how drunk are you
1645343628_395757023398092800 x	Witnessed history today. Marina of Marina and the Diamonds followed/unfollowed a fan while drunk. God is real. If only Flo would do that...
1645343628_395756293488513024 x	RT @vampediamond: LIFE GOALS http://t.co/lR8vm4UKpF
1645343628_395754338288558080 x	@teenidling Your exciting event some how ended up on my dash. So I just wanted to say I'm really happy you got Marina to follow/unfollow.
1645343628_395755730621321216 x	@teenidling No prob! Anyone would be lucky to have one of their fav musicians do that.
1645343628_395754987772317698 x	RT @teenidling: @Oli_Oxen_Free thank u so much
1645343628_395754655642185728 x	RT @vampediamond: senior quote http://t.co/gUQXYuTJgm
