22099513_377214699328520192 x	How does that feel Washington bitches! #Eagles!!!!!
22099513_210612681869238272 x	My first hug in Vegas. WHEEL OF FORTUNE! http://t.co/PRTZbGUN
22099513_348879273723064321 x	In an effort to make this game competitive, Matt Harvey will pitch the final 4 innings underhanded.  #NoShot
22099513_300637217930481666 x	I kept my promise and avoided twitter for 7 days.  What did I miss?
22099513_392670709996339200 x	@Ken_J_Ab yes, being logical, passionate, articulate and smart are things you obviously don't expect around this area.
22099513_392479795830722560 x	This game is so bad, I almost would rather be at Pearl Jam and I hate Eddie Vedder! #MNF
22099513_372808388306296832 x	I said this morning A & M should suspend Manziel for the Rice game.Now the NCAA looks even more stupid than usual for 30 min ban. #Joke
22099513_345036622628270081 x	This game is so amazing I can't wait till hear Mike and Mike spend 4 minutes breaking it down all morning. #StanleyCup
22099513_345034743848505346 x	Joel Quennville hasn't been this baffled since he couldn't solve a case on Monk #TripleOT #StanleyCup
22099513_345022004350570497 x	Let me repeat for the 40th straight year:  nothing is better than Overtime playoff hockey. Nothing!  #stanleycup
22099513_343909603790168065 x	So, based on the promos, if the Heat win, does the White House blow up? #ConfusedNBAFan
22099513_343913246119575552 x	@WgDrewski they keep promoting this awful looking movie called "white House Down"..HELLO!
22099513_343915149721231360 x	@WgDrewski what else did you say? I only saw that tweet
22099513_337761804887412737 x	Why the NHL playoffs are great? The best team and top seed Chicago Blackhawks are now down 3-1 to the upstart 7th... http://t.co/rrt5IasEk7
22099513_394554176967299072 x	Ed Rendell, who paid fans to throw snow balls at the Vet, rips fans for booing this shit show? #wow
22099513_392016236768690176 x	Who will give Romo the first post game kiss: Aikman, Brenneman or Pam Oliver?
22099513_392035741263749120 x	@jasonemge Troy knows Romos 27k yards mean nothing when you have rings like he does.
22099513_380850791537721344 x	Just right! Eagles video board thank you and fans standing O as Andy Reid walked to midfield. #classy
22099513_379022269277683712 x	Will #JohnnyFootball drink excessively to drown his sorrows for the loss or celebrate covering the 8 pt spread?  #BAMAvsTAMU
22099513_377233615341760512 x	Would it be premature to start building my Shrine to Chip Kelly ? #FlyEaglesFly
22099513_362601521654923266 x	UhOh.....Looks like I might be packing it up soon! Good thing I kept all my boxes. http://t.co/CjlhFos11y
22099513_347918869639340033 x	I'm not into conspiracy theories, but it looks like Manu took the Heat and laid the 6 pts. #Dude
22099513_347905653949476865 x	Congrats #AbbyWambach on a historic night in North Jersey... http://t.co/3nYJjH0KpI
22099513_347906288971309057 x	@HARRYMAYES975 greatest goal scorer in international soccer history. You know, the world's most popular sport?
22099513_347142256848949249 x	Does this look like baseball weather?  View from Dockside. http://t.co/wM8JBBxGzW
22099513_344646509758906369 x	I have no comments on tonight's NBA game 3 in San Antonio. Good night all! #SaintAnthony
22099513_344278965080444929 x	Not shamed to admit that I'm crying like a baby watching #TheDoctor. What memories, what a one of a kind legend.
22099513_323077586773237760 x	Just gave myself a 2 stroke penalty for getting up at 10 am in nyc,  but I intentionally broke the rules #masters
22099513_394959481358258176 x	Mr Monday Night selected the St Louis Rams getting 13 pts at home Seattle is much better, but that's too many pts... http://t.co/l9cXNeEKhH
22099513_388367836772831232 x	Heading to Vegas baby, Vegas! Talk to ya'll tomorrow from Wynn Hotel Casino. We've got legit gambling action yo!
22099513_362759212029313025 x	@JeffBruder Phil Sheridan column a total joke and I'll say it on the air too. http://t.co/jeHWcM3tKQ
22099513_362759736027918336 x	@JeffBruder not defending Cooper in any way. He was stupid and the team fined him. Calling for his dismissal is moronic.
22099513_323524495782584320 x	Don't remember the last time a weekend series against an inferior team has been so excruciating to watch  #PhilliesTalk
22099513_323529991147114497 x	@chriswberry I never said, Utley or Howard sucked. I'm actually patient and didn't write off Halladay either. Check the tape.
22099513_323531574933073920 x	@chriswberry I hear ya. I saw Mike Schmidt go thru the same scrutiny. Home Run hitters who strike out always have more heat than anyone else
22099513_188364978926010368 x	Thanks for all of the love. Surgery went well and mom is back is the room,  dazed and confusef,  but alive and well.  God bless you all!
22099513_188275710211788800 x	Please keep my mom in your thoughts today. Surgery on a broken femur today and it's hard to think about anything else. Love you mom!
22099513_174155875320205312 x	Moral of the Oscars: NO ONE wants to hear what actors have to say in Movies OR POLITICS!
22099513_147127142642229248 x	Kickin it old school at Nicks roast beef -the original in South Philly yo.
22099513_146358785198399488 x	Nothing worse than watching your mother in pain in a hospital bed.
22099513_395726354810798081 x	I normally don't root for Syracuse players, but I'm ready to make an exception for #MCW  #BEASTMODE
22099513_386907286117310464 x	Hey Brian Billick, did you coach in this year skippy? #clueless
22099513_392075439620886528 x	Well, at least no one will be saying Matt Barkley should be starting versus the Giants next Sunday. #WhosYourQB
22099513_356111304613822467 x	@SheenaParveen @VaiSikahema @prestonelliot @HARRYMAYES975  thanks for the invite!
22099513_395004061545545728 x	@pushpin523 Where did I mention Chip Kelly? Mike Belloti was the coach moron.
22099513_320304252385914880 x	2 words.  HORST Manure!  #philliesbullpen
22099513_387541365279559680 x	Let me be among the first to thank Atlanta for participating in this year's MLB and NFL seasons. #Hawks pre-season is underway at least.
22099513_381870146220228608 x	Looks like I a good week to stay away from the NY Giants on my picks. #BiblicalBeatDown
22099513_358220993577238532 x	Case C.L.O.S.E.D. Proof positive of my innocence. My people say I should sue for damages......what say you? http://t.co/VZNlO7wzkr
22099513_319607617196552192 x	@alleghenybol I would have paid 40-to sit out of the rain in the dugout
22099513_319522700919980032 x	@alleghenybol tht should really hurt attendance tonight at the Ted.
22099513_319523879146123264 x	@alleghenybol for 75, you could sit IN the Braves dugout.
22099513_319177319401009152 x	@alleghenybol Well, they did win won with those "dynasty" teams that reeled off 11 straight division titles.
22099513_316731997991088128 x	Flyers so snake-bitten this year, they can even get a break in their own building with their own clock!  #Wow
22099513_392366890632220672 x	All of you incompetent bastards in the IRS can kiss my ass! "heavy workload" can't resolve my inquiry, yet I have to pay int and penalties?
22099513_392376592120299520 x	@swoody729 that's why I try to avoid pregame shows. Jax stinks on ICE, no matter who plays.
22099513_395721500130418688 x	I don't remember the last time I have been this jacked watching a Sixers game. MCW is going OFF!!!!!  #SixersTalk
22099513_395287758593200128 x	The Philadelphia Eagles are the ONLY team to trade a player before the deadline. #RosemansAGenius?
22099513_395289867736711168 x	@conshydane I like the deal. Issac had nothing left.
22099513_378989586430435329 x	Phillies were eliminated when Cincy won this afternoon. Didn't that happen in August? #DriveSafely
22099513_186575721920069634 x	Wicked Tuna or game of Thrones?
22099513_145011938596892672 x	Congrats to David Stern for blocking the CP3 trade to Lakers. At least he's pretending to be caring about a... http://t.co/puilcWNM
22099513_360816463617081344 x	After the first 8 passes by Foles and Vick combined, Foles should be named the Eagles starting QB! #PractiveOverReaction #Wow
22099513_342400928953020416 x	I'm proud to announce my engagement to be married to Gloria C Mackenzie. Finally found the woman I've been waiting for!  #yuuuuuuup
22099513_392007610276540417 x	Well at least Michael Vicks hamstring will be fully healed this  coming. #QBQuandry
22099513_167075792143138816 x	Phila/Isles, NY/NJ..2 games 1 goal. shoulda watched the Bachelor to see scoring.
22099513_119972533490548736 x	My last night in LA.  11 memorable years. Heading back to Philly in the am.  Thanks to all of my wonderful friends on the left coast.
22099513_394915210219110400 x	@MarcusBarkleyQB @MattBarkley no, I'm saying you're not his brother.
22099513_390095648022077440 x	Just saw this great fan letter written to Brian Cranston by another pretty damn good actor, Anthony Hopkins. He... http://t.co/fdB4cVKyTa
22099513_367711208855859200 x	Sources suggest Sixers will give season ticket holders autographed Martin Brodeur bobbleheads. #CreativeMarkettingIdeas
22099513_387300397565485056 x	Okay, who on here is going to Vegas Thursday, Fri and Saturday nights? #VegasBaby
22099513_386949433600274432 x	at least Eli has mastered intentional grounding. #babysteps
22099513_383841957262667776 x	Lots of fun at the Pool after Dark @harrahsresorts in AC with my old buddy @MrBelding and @MissRobinAustin . #UpAllNightToGetLucky
22099513_383284451985592320 x	If you want to add at least 35-thousand followers, add me and retweet to 35 thousand followers. #TwitterScamGame
22099513_382594902439505920 x	#DrOz show cheap bastards. Chicks guesses all 4 med prices correctly and wins 2 one-hundred dollar bills and 2 dr oz dollars? #lame
22099513_381969429925736448 x	Open to Public Breaking Bad Final Party Sun29th 8pm @ChickiesnPetes #SPhilly Come watch it with us & dress as ur fav Bad character!
22099513_381945804199845888 x	NBC should apologize for having this  Steelers-Bears game on #SNF @BreakingBad_AMC , here I come!
22099513_380895328826040320 x	Remember when Andy Reid couldn't run out the clock?
22099513_380888727364444160 x	Don't forget to set your clocks to 8am 2mrw morning. I'll be coming to you live for 4 hrs. How many?
22099513_380454202335428608 x	Time to unfollow some deadbeats. If you're not following me and I'm following you, you're outta here! #GetOut
