1697906821_386610222887731200 x	@RunToTheFinish No, but I should!
1697906821_399855097359785984 x	Good morning, athletes! http://t.co/D4sYQM8aCq
1697906821_399550715200163840 x	http://t.co/1KGleSQXPe
1697906821_399204806645919745 x	It's not too late to sign up for some races this weekend -- www,http://t.co/EmhWp8Nea6 http://t.co/3vjnBGIGJe
1697906821_398402769037430784 x	You know you're a runner when... http://t.co/HiyrFyvyoB
1697906821_398040947641942016 x	Some people think... http://t.co/HIsLXMhwlm
1697906821_397676483994345472 x	You know you're a runner when... http://t.co/i78PcJj1VL
1697906821_397515563565453312 x	This guy is out there getting it done... http://t.co/x1xbw2Qoa3
1697906821_397318163114647552 x	A run has never returned me exactly the same... http://t.co/LWJ19azM0V
1697906821_397186251121778689 x	RT @PlanetPrinceton: The Princeton Half Marathon in photos: http://t.co/6cbaIZrdiQ  Alex Ackerman, 13, of Princeton and his dad, Brad... ht?
1697906821_397186052190130177 x	RT @monmouth_news: Heart Walk in Manalapan draws survivors, supporters in fight against heart disease: MANALAPAN ? Before her... http://t.c?
1697906821_397183372382191616 x	RT @BattleshipNJ: The Battleship will be open for walk-up tours on Saturdays and Sundays in November and special weekdays: Nov. 5, 7, 8, 11?
1697906821_397004103902957568 x	Running is a big question mark... http://t.co/GKKCFYwBF7
1697906821_396787435163508736 x	You know you're a runner when... http://t.co/z1c4cikyaO
1697906821_396627213123985408 x	http://t.co/i7FwK56Dpa
1697906821_396277163394990080 x	A mind that is stretched by a new experience can never go back to its old dimensions... http://t.co/6FvxYJDKOw http://t.co/BBXjC5S8Oz
1697906821_396052687940091904 x	Wanna' burn off some of that Halloween candy? Visit our site to find events that'll turn that sugar into fuel: http://t.co/6FvxYJDKOw
1697906821_395902238549233665 x	http://t.co/LDhNi2Ic7G
1697906821_395896988811554816 x	Happy Halloween!
1697906821_395694825522987008 x	What every runner should know:  http://t.co/y5jtDkAlUp
1697906821_395652638542688256 x	RT @CNBNEWSNET: Register Now for the Cpl. Marc T. Ryan Memorial /MCLEF 5k Run/Walk, Saturday, Nov. 16 http://t.co/Zf3NOoeqA9
1697906821_395514576352997376 x	In the spirit of Halloween http://t.co/6FvxYJDKOw http://t.co/nVcGyEJNZP
1697906821_395377758513016832 x	12 Rules for Injury-Free Running http://t.co/0zxr7zD16l
1697906821_395319570954612736 x	What Every Runner Should Know About Stretching  http://t.co/P6GpEJkicF via @sharethis
1697906821_395317813214064640 x	Mental toughness is when you can find fuel in an empty tank http://t.co/6FvxYJDKOw http://t.co/cjWS2RyYH4
1697906821_395238816031993856 x	RT @WomensRunning: With Halloween only 2 days away, tell us- have you ever dressed in costume during a Halloween themed race?
1697906821_395184332828315648 x	RT @FFHoboken: Why Runners and Cyclists Should Hit The Gym | Men's Health News http://t.co/hsr6ab4B0K via @menshealthmag #running
1697906821_395184238703939584 x	RT @WomensRunning: Build the perfect, nutritious smoothie for breakfast, pre-run, or post-run! http://t.co/oGbf0uwWHP
1697906821_395131539635187712 x	The Curse Of  http://t.co/pg54tXxlP5 via @runjunkiesuk
1697906821_394623791310979073 x	http://t.co/jO8b4E2GGh
1697906821_394509815474434048 x	Only those who will risk going too far can possibly find out how far one can go  http://t.co/6FvxYJDKOw http://t.co/SyarfmFpsP
1697906821_394456103297490944 x	RT @Joe_D_EssexExec: Getting ready for American Heart Association Heart Walk @ ADP complex in Roseland.
1697906821_394456008653041664 x	RT @TeamRunner4Life: Tough times don't last, tough people do.
1697906821_394455186506145792 x	@ACPressAtlantic Poor Titan!
1697906821_394453027848855553 x	Strong is what happens when you run out of weak!' http://t.co/6FvxYJDKOw http://t.co/NdewV0x2bN
1697906821_394290184596242433 x	RT @starledger: Jogger finds burning body in Hamilton Township park: http://t.co/TDr3f4SrD9
1697906821_394290018782830592 x	RT @runnersworld: On race day, don't go out too fast?or too slow. Here's how: http://t.co/B9f0a41n9C #runningtips
1697906821_394270514883358720 x	RT @runnersworld: Injuries stink. But the lessons you learn while sidelined can make you a better athlete: http://t.co/36HMiORDrS
1697906821_394239904244592640 x	RT @AsburyParkPress: SHARE: Going to the Toms River Halloween Parade? Share your photos with us! Can't make it? See live video on http://t.?
1697906821_394239359097901056 x	@kevinolearytv Hope not!
1697906821_394219990393450496 x	25 Things Non-Runners Don?t Get About Runners http://t.co/DNrxzeC54s  via @buzzfeeders
1697906821_394089902842736641 x	Good luck at the races today!  www,http://t.co/EmhWp8Nea6
1697906821_394089428974858240 x	RT @FFHoboken: Attention Fall #Marathon runners! Stop by and receive a #free pair of Fleet Feet Marathon Gloves with your purchase!? http:/?
1697906821_393874990900068353 x	Every great story on the planet happened because someone decided not to give up  http://t.co/6FvxYJDKOw http://t.co/2fz0BmrmmB
1697906821_393871749558714368 x	Why I Continue to Run in Minimal Shoes | Runblogger http://t.co/pHCuFTp4NK via @po_st
1697906821_393464217132863488 x	RT @AlexandersRun: Thinking about running a 5K this weekend? We'd love to see you at Alexander's Run.  Online registration is open... http:?
1697906821_393416646821703680 x	RT @runnersworld: How exercise helps (and hurts) sleep: http://t.co/gfRR3Tsw3A Zzzzzzz...
1697906821_393356246746529792 x	Don't miss the 5K Thin Mint Sprint & Samoa Stroll on November 3rd in Pt. Pleasant!  https://t.co/vbsNjAfFwW
1697906821_392988680698073088 x	Exercise is the most potent and underutilized antidepressant.  ...and it's free http://t.co/ui59iP6mxJ
1697906821_392813110790070272 x	Are you ready for the Hashathon? http://t.co/yXugxRwhQ4
1697906821_392771751920562176 x	RT @RunnerSpace_com: #runchat  RT @klocke1: Any runners in New Jersey to take @weskorir on an off road run?
1697906821_392632374048985088 x	Good habits are just as addictive as the bad ones! http://t.co/K4SmvOgdLx
1697906821_392629678001106944 x	RT @ajc: As if running a marathon wasn't enough, man finishes with a knitting record and 12-ft scarf. http://t.co/eE2UI9LIoP http://t.co/ug?
1697906821_392423518953959424 x	Run! Play! Drink! Eat! Party! That's the schedule for the Oktober Beerfest 5K this Saturday in Rahway! http://t.co/Oq4Bs7LoTK
1697906821_392268442872463361 x	Running is like mouthwash: if you can feel the burn it's working! http://t.co/EiyYa59Bo6
1697906821_391932258812063744 x	The task ahead of you is never greater than the strength within you! http://t.co/9byODFMkbW
1697906821_391549108034355202 x	@KacieFOX29 the kitchen
1697906821_391546478272860160 x	A good laugh and a long run are the two best cures for anything... http://t.co/alAi2DIknU
1697906821_391277003527032832 x	Do you listen to music while running? This article says you shouldn't:  http://t.co/VnWeTflVeC!
1697906821_391245329502199808 x	Has anyone tried either of these? http://t.co/b9GFasp8v9
1697906821_391191795104632832 x	Are Tough Mudders too tough? Check out this article and let us know what you think. http://t.co/V7Z3aC00dx
1697906821_391184725269704706 x	What's harder than steel? The last six miles! http://t.co/z33syhi3C2
1697906821_390877675696312320 x	Every pound you lose translates into 4 pounds less pressure on your knees. If you lose 10 lbs, you'll take 40 lbs of pressure off your knees
1697906821_390874054090973184 x	Do you run to lose weight? It doesn't always work well as a weight loss strategy.  Learn more from this article:   http://t.co/7BojnyJkSc!
1697906821_390800816207958016 x	Fitness is like a marriage, you can't cheat and expect it to work... http://t.co/QHLqteJqPP
1697906821_390475069136179200 x	Some helpful swimming tips for triathlon rookies:  http://t.co/DSsUmwktNW
1697906821_390463918943895552 x	Do you pound the pavement by heel or toe? Check out this article about the effects of both:  http://t.co/1Re5D27Gcf
1697906821_390461580917227520 x	Over 40 races, walks, and rides this weekend to get your legs and heart pumping!  http://t.co/6FvxYJDKOw http://t.co/GLxDEegmA2
1697906821_390454699888893952 x	Hey Mudrunners, there's still to sign up for the MudmanX Mudspooktacular for this Saturday!  http://t.co/rsKouEu0p3 http://t.co/J0pTmmFS3o
