1858193941_380085462494244864 x	@yesnicksearcy @DempseyJBrett @georgia_grub Congratulations on your Emmy Nom..oh wait. My bad.
1858193941_380086236381065216 x	@yesnicksearcy @DempseyJBrett @georgia_grub Of course only record of your Peabody Award is your self proclamation that you won one.
1858193941_380087558509572096 x	@yesnicksearcy @DempseyJBrett @georgia_grub Those are some nice man boobs you have in that video.  Workout isn't working clearly.
1858193941_380088080956276736 x	@yesnicksearcy @DempseyJBrett @georgia_grub Man boobs. LOL.
1858193941_380088869858713600 x	@yesnicksearcy @DempseyJBrett @georgia_grub Why do you hate America so much, Nick? Mad that people don't know who you are?
1858193941_380089176021950464 x	@yesnicksearcy @DempseyJBrett @georgia_grub You haven't earned a fortune, Nick. Again, the truth escapes you.
1858193941_380089755792191489 x	@yesnicksearcy @DempseyJBrett @georgia_grub Cable TV pays a ton to below the line actors. You've got me.
1858193941_380085345485725696 x	@yesnicksearcy @DempseyJBrett @georgia_grub "I can't wait to see that new Nick Searcy movie..." said no one ever.
1858193941_380086691580502017 x	@yesnicksearcy @DempseyJBrett @georgia_grub The tract home on Pass Ave. LOL. Keep trying.
1858193941_380088311005466624 x	@yesnicksearcy @DempseyJBrett @georgia_grub Again, more fallacies.
1858193941_380090532195622912 x	@yesnicksearcy @DempseyJBrett @georgia_grub Now we've reached full desperation mode. 1998 Hollywood Film Festival. LOL.
1858193941_380089035764416512 x	@yesnicksearcy @DempseyJBrett @georgia_grub Again, more lies from the right.  Seriously can't be truthful about anything, can you?
1858193941_380089548065079296 x	@yesnicksearcy @DempseyJBrett @georgia_grub Thank god you have writers, Nick.  Maybe get them to write your Twitter feed too?
1858193941_380087247631966209 x	@yesnicksearcy @DempseyJBrett @georgia_grub You RWNjs sure stretch the truth, don't you. I guess you're an Emmy winner too.
