91243226_376831742843555840 x	@MattBarkley Same here.
91243226_393929668245880834 x	@rachhhrivera Go Cats! Love those streamers.
91243226_387179893408403456 x	@KacieFOX29 Sounds like a good excuse to me.
91243226_387179672561532929 x	@Espngreeny Wayne Gretzky when he was in his prime in Edmonton.
91243226_373446567115890688 x	@criscarter80 Well said.
91243226_372692724522438656 x	@DickieV Well said Dick.
91243226_8126073746 x	@VUhoopsCats showed great poise when the Redmen went up on them in first half.
91243226_387903710581764096 x	@matt_odonnell Hopefully they will get things turned around.
91243226_399575882919993345 x	@NeilHartmanCSN Happy birthday Neil.
91243226_399575459228180480 x	@VUhoops @novawbasketball Lets hope the Cats win this game today and keep this season going strong.
91243226_399575187038822400 x	@JackjFrost @VUhoops Nice to see the Lady Cats pull out the win in the last second.
91243226_399574228480966656 x	@FOX29philly @KBarrettFox29 @CaitlinFox29 @IainPageFox29 Nice photo there.
91243226_399573467869106178 x	@CSNPhilly @tpanotchCSN Great to see Fred Shero was finally inducted after all of those years being left out.
91243226_399572992503447552 x	@NHL @28CGiroux Nice to see Claude break his scoring drought. Hope he is able to get back his scoring touch.
91243226_399572628257521666 x	@CoconnellFox29 I like that shot there.
91243226_399572476948008960 x	@TonyDungy @OfficialSoop92 @steelers That is surprising to me.
91243226_399572275579457536 x	@Jeff_McLane Certainly alot of history and tradition there.
91243226_397767421635092480 x	@FoxNews Because he knows it could bring.down his administration. His lack of action in saving those Americans was inexcusable.
91243226_397765153267392512 x	@Espngreeny This situation in Miami with the Dolphins is getting uglier by the moment.
91243226_397764741940379649 x	@KyleFox29 I love watching them as well.
91243226_397714053952708608 x	@JennFredFOX29 I will second that Jenn.
91243226_397713682391916544 x	@HoyasAD Good luck over in Korea.
91243226_397713348114272256 x	@JennFredFOX29 Looks good to me Jenn.
91243226_397712806956781568 x	@PhilaHoops I like his predictions there.
91243226_397712308107247616 x	@NovaCat91 Totally agree.
91243226_397366448701853696 x	@PhillyDailyNews An A + for sure
91243226_397366041879523329 x	@LesleyCBS3 I would say both
91243226_396080342794502144 x	@SportsCenter That is ludicrous.
91243226_396079662486401024 x	@ShaneVictorino As a Phillies fan I was glad to see you got another ring. We miss you here.
91243226_396079006291722240 x	@Cindy610 Beautiful photos there.
91243226_396078485326032896 x	@Aaron_Bracy Same here. I cannot wait for the season to start.
91243226_396078193582809088 x	@FOX29philly I like it.
91243226_395556234893721600 x	@Phillies Was at Great American Pub in Wayne watching the game.
91243226_10071343530 x	@acevu Got that right. Absolutely pathetic.
91243226_395554427236782080 x	@CSNPhilly The whole 2000-2001 season where he put the team on his back and got the Sixers to the NBA finals.
91243226_395520222796738560 x	@nufced I must say that I enjoy listening to Marc Zumoff announce the Sixers games.Very colorful.
91243226_395519691869155329 x	@FOX29philly I went out trick or treating up until the age of 13. After that I stopped.
91243226_395338415698640896 x	@BroadStBull A great charity that has done so much for a good cause.
91243226_395337625890205696 x	@PatGallen_975 I love listening to Sir Charles Barkley because he says what is on his mind.
91243226_395336799381651456 x	@NovaAthletics Rakim was great tonight.
91243226_395334851286798336 x	@Cindy610 Seems like yesterday that the Phillies were World Series Champs.
91243226_395172764644286464 x	@DanWetzel You can bet Penn State will remember that beatdown from Ohio State next year when Ohio State has to come to Happy Valley.
91243226_394987324289056768 x	@Hartsy19 This city is great.
91243226_394831162306478080 x	@FOX29philly You should definitely not put paper towels or feminine products in toilet. Not good at all.
91243226_394233190673821697 x	@imPULSEivity I was impressed with Jason Hart too.
91243226_394605874284888064 x	@novanation11 Sorry about that. I guess I got his name mixed up with the one who played at Syracuse back in the late 90's.
91243226_394234768499699713 x	@DTimmeneyFox29 I love the Good Day show in the morning Dawn.
91243226_394232236624867328 x	@TheSeanDon Love it.
91243226_393931882666405888 x	@VUhoops I like it that Raf has his own show. Should be fun.
91243226_393931516814049280 x	@GeorgetownHoops Great shot of Markel there.
91243226_393931132255092736 x	@KacieFOX29 Nice to see Maalik in the house tonight. Cats are going to rock this season.
91243226_393930644193288192 x	@Aaron_Bracy Cats will be tough this year.
91243226_393930198078734336 x	@FOXSports1 Raf is the man.
91243226_393929931149029376 x	@FOXSports1 Got it.
91243226_393928967457341441 x	@NovaMBasketball Nova Nation rules.
91243226_393731202651521024 x	@NOVA_NATION610 Go Cats.
91243226_393730669576462337 x	@bigeastconf Excited for the season to start.
91243226_393730301836668929 x	@jmakoid Very well said.
91243226_393730075612692480 x	@VUCoachJWright Cannot wait for the Cats to get started. Should be a great year.
91243226_393729464330625024 x	@jmakoid I will second that. Villanova Football is a fun product to watch right now.
91243226_393554269947052032 x	@KennethMoton People sure are getting into the Christmas season earlier.
91243226_393553518696873984 x	@NHLFlyers They needed this one. Nice that it was the Rangers.
91243226_393553221962432512 x	@AdamZagoria They are behind the times.
91243226_393552960229494784 x	@FOX29philly Finally!
91243226_393552813760204800 x	@975TheFanatic About time.
91243226_391664774079348736 x	@BFinn86 You did good today Brian.
91243226_391664607594807296 x	@NovaFootball Cats.have to put this loss behind them and be ready for Maine next Saturday.
91243226_391663169535754240 x	@Eagles Beat those Cowboys!
91243226_390267307966332928 x	@NHLFlyers I am with you Angelo.
91243226_390267002839138304 x	@acevu I like the move Ace.
91243226_390266490517463041 x	@SpikeEskin Wow. Andrew Bynum is actually going to play a game. I can't believe it.
91243226_390266113105620992 x	@VUCoachJWright Sounds like it was a great event there Jay.
91243226_390265703028490240 x	@AshleyHoward17 I'll second that.
91243226_390265002466480128 x	@phillysport Always good thoughts from Bernie.
91243226_389405265759440896 x	@Coach_Talley @acevu Nice job by the Cats Coach Talley.
91243226_387956263679963136 x	@FoxNews Insane.That mother needs to be locked up for a long time.
91243226_387955760279597056 x	@975TheFanatic Against with Mike Golic. Mike Vick needs to do what he does best for Eagles to win.
91243226_387955087420964864 x	@DickieV You have to give the Red Sox credit for the way they bounced back from last year's bad season. They are playing well.
91243226_387903355328413696 x	@Bernieparent Great thoughts there Bernie.
91243226_387903135119077377 x	@KeeleyFox29 Such a sad reflection on the way our society has is today.
91243226_387179217030754304 x	@6abc Very sad.
91243226_387179043692761088 x	@KeithJones Cats were clutch at the end. Need to play well next week at Towson.
91243226_384690671162257408 x	@36westbrook Very true Brian.
91243226_384690084320395265 x	@phillysport @magelb Not surprising at all. There will probably be some more changes as well considering the way the season ended.
91243226_381839329687257088 x	@Yankees You are a class act Mo.
91243226_381838993102733312 x	@TheSeanDon Hope you are enjoying your day there Sean.
91243226_381838653829681152 x	@PhillyPhillies I like the move by the Phillies in keeping Ryne Sandberg as manager.
91243226_380696311961780224 x	@CasualHoya I agree. Good to see the new Big East schools do well recruiting wise.
91243226_380695672095518720 x	@VUhoops Cats need to come up big on Saturday.
91243226_380695249250947072 x	@SenJohnMcCain United States needs to stay out of Syria. Very bad situation.
