86737025_399693052220293120 x	RT @PrestonSteve933: One week from today - http://t.co/HjI6TjWJgW
86737025_399692415247712256 x	Well off to work I go. Gotta make that paper boo boo.
86737025_399690953675374592 x	@MrsDigger @Sarah_Clayton81 @stephenkruiser http://t.co/9I6fyKbILA
86737025_399682994731892737 x	PSA for Women everywhere... http://t.co/3o5Gc56h66
86737025_399672807920922625 x	Is it wrong that I'm a huge Flyers fan and a huge Phillies fan but I could care less for the Eagles?
86737025_399671777032691713 x	RT @Vandiekins22: Children & families are in need of immediate aid in the Philippines Please donate. Answer their urgent cries for help htt?
86737025_399631193269731328 x	@Sarah_Clayton81 I see I'm not the only one who is a lil OCD on how money is handed back to me either lol.
86737025_399633722934173696 x	@Sarah_Clayton81 Exactly. That's just asking you to drop it everywhere. Maybe you should start a class and educate folks! ;-)
86737025_399631978070564864 x	RT @KatiePavlich: Brace yourselves: Washington D.C. Spends $133,573,928 to Enroll Five, FIVE, People in Obamacare Exchanges $ http://t.co/P?
86737025_399631900907937793 x	RT @mor100: Happy 238th Birthday to the Marines! You make us proud!  http://t.co/fm2lbOIp0p
86737025_399319166466797568 x	Here you go Sunshine, only because I know you are dying to see Ben in the new Batman movie. @hauntedsunshine http://t.co/QPnC9MCT8U
86737025_399318751130451969 x	RT @oectagovernor: Canadian wages suffering due to US style right-to-work laws: CIBC http://t.co/zh0xwDMUKs #cdnpoIi #onpoli
86737025_399289399407431680 x	New Family Member at my brothers. Does not bark, does not whine, just loves to follow you around and cuddle. :) http://t.co/1a7E6W1TOR
86737025_398532937769312256 x	RT @wilw: I wish Chris Farley were still alive for a lot of reasons, but today it is so he could do a Rob Ford sketch this weekend on SNL.
86737025_398440407006478336 x	RT @KacieFOX29: Oorah! 7 1st class passengers give up seats so a group of Marines returning home from Afghanistan could sit together http:/?
86737025_398397822443089920 x	Oh Brad Paisley and Carrie Underwood... hit the nail on the head last night about #Obamacare. FUNNY! http://t.co/JC3KbP8Kh5
86737025_398392893456412672 x	@gonzotrucker This is why I switched back to doing local. No more having to find a place to park. I go home everyday now.
86737025_398394849507827712 x	@gonzotrucker Aww man that sucks! I start and end at my depot everyday thankfully. The only drop and hook I do is in the depot yard.
86737025_398395181801566208 x	@gonzotrucker I honestly only lost about $100 a week switching 2 local but I get to sleep in my bed every night and be with family. Worth it
86737025_398395893914689537 x	@gonzotrucker My problem is my area I live in. But I still make good money so no complaints. I can take the cut for the extra benefits.
86737025_398397056357629952 x	@gonzotrucker And this is why they can't get or keep good drivers. Because none of the big companies are paying drivers what they should be
86737025_398396170315116545 x	Delaware has had its #Obamacare exchange up for a month... only 4 people took it so far! #fail   http://t.co/2ekpYDS1Kx
86737025_398393571075559424 x	@KarenFox29 @FOX29philly @MikeFOX29 @SheinelleFox29 @ChrisFox29 Banana Cream Pie. Don't forget the Cool Whip!
86737025_398268808583864320 x	Libs believe taking away guns is the answer. I can't go into a store and by Meth but that doesn't mean I can't get it does it? #LiberalLogic
86737025_398268591520620544 x	RT @ConanOBrien: Is it wrong to drive out to a farm 3 weeks early just to taunt your Thanksgiving turkey?
86737025_398267952559972353 x	We should do what we can 2 keep guns away from criminals & unstable people. Going after LAW ABIDING gun owners is whats holding up progress
86737025_398243986743500800 x	@Sarah_Clayton81 Not to steal form George Takei but Ohh Myyy! ;)
