1063112904_367371037958492160 x	RT @AL_Cash_: Go Buckeyes!!!!!
1063112904_366992184924311552 x	@AngryAlBundy good luck tonight
1063112904_337211564698509312 x	SB
1063112904_395250345150263296 x	@MikeMiss975 @975TheFanatic I really do hope that we can get Hundley from UCLA
1063112904_392352524159553536 x	@MikeMiss975 @975TheFanatic u are spot on this afternoon.  Seriously...On all aspects. #WhinerOfTheWeek
1063112904_391253148058128385 x	@SeanBrace975 @JonandSeanShow bears losing to texans
1063112904_391258692538343424 x	@SeanBrace975 no worries.  Quality show. Go Birds and #DallasSUCKS
1063112904_390896861756026880 x	RT @CrazyEagleFan: Remember when James Willis ran back a interception (lateral) 100+ yards to beat Dallas? #TheEaglesWinTheEaglesWinTheEagl?
1063112904_390853771318022144 x	@TonyBrunoShow @HARRYMAYES975 that poem was AMAZING.  #GOBIRDS
1063112904_390628815887958016 x	@Mr_Reco06 @kobebryant fam...it's all good.  More motivation for Bean. #mamba
1063112904_390641973230841856 x	@ProFRESHCuts @CrazyEagleFan  @Mr_Reco06 btw Fresh...two words...DALLAS SUCKS!
1063112904_390641766866894848 x	@ProFRESHCuts @Mr_Reco06 Fresh...let the grown folks talk here.  Besides.this is Dallas week.  We could careless as to what your thoughts r.
1063112904_390641193555857408 x	@Mr_Reco06 @kobebryant fam..philly was represented in Raymond James.
1063112904_390583398823378944 x	@CrazyEagleFan #epic
1063112904_390583370700566528 x	RT @CrazyEagleFan: "They give it to Smith, and they stop him again! They stop him again! It's groundhog day!!" #DallasSucks
1063112904_390551246920114176 x	@Bonfire_ATL @DRESthaBEATnik the #birds jacket is quality
1063112904_390535223211220993 x	@JonandSeanShow I would have never known Barry Switzer would have been that hilarious. Great show as usual gents
1063112904_390116604610379776 x	RT @975TheFanatic: We want to know why you hate the Cowboys...call up 610-617-4860, listen to @TonyBrunoShow rant and rave and then leave y?
1063112904_389870123043287040 x	@DeseanJackson10 before u took Revis the first time. #BleedGreen http://t.co/By7IN1oJfF
1063112904_389868961124208640 x	@975TheFanatic @TonyBrunoShow Before DeSeans first TD.  We were well represented.  #eagles http://t.co/aDO4GQJJ65
1063112904_389867825415729152 x	@CrazyEagleFan touch? bredren
