69030447_379648009770127360 x	#asipowersummit http://t.co/sY2BYJvmZg
69030447_379647804869603328 x	#asipowersummit http://t.co/NnuICtmqmj
69030447_369821246491353088 x	How Not to Stay on Top http://t.co/oSs8cQS7SC
69030447_379643578290425856 x	Listening explained with innovative exercise at #asipowersummit
69030447_397782575243988992 x	College students think our industry is cool!Thnx to special education initiative between #ASI and #Babson http://t.co/slBfMkBOT7
69030447_397756234767429633 x	How many of you outsource mundane tasks like cleaning, cooking or organizing your CDs to get more work done? http://t.co/5AXXlwy2Bo
69030447_396010047269904384 x	#Halloween at #ASI 2013. Adorable or what? http://t.co/etnnxlKpW1
69030447_395295267936686080 x	Want to be tops in your field? Follow the lead of SGR?s 2013 Supplier Sales Rep of the Year, Kari Rehder http://t.co/eYDrJGWDBO
69030447_395209239632674816 x	#ASI?s Jen Vishnevsky on #Wheel of Fortune 2night. 1 million audition, but just 600 selected to play a year http://t.co/pL1ujZfmcj
69030447_395192649851748353 x	The humanoid robots are here. How long till they become mainstream? 5 years?: http://t.co/kKPloZILQK
69030447_393770452436262912 x	RT @ASI_AndyCohen: What a brilliant branding idea. http://t.co/ZwOAtggwIF
69030447_393381117597732864 x	Co's w/ the most women board directors earned a 26% higher return on invested capital than co's w/ the least women: http://t.co/9KKbnnZ7Jo
69030447_392309832184639488 x	Simple fact: happy employees work harder. Discover co?s doing it best as #ASI?s #counselortour winds down http://t.co/WkHYzPnKzk
69030447_392292246852096000 x	Robot facilitated online happy hours: biz idea whose time has come, or still too "Jetsons" for your office? http://t.co/9ldxafQNOo
69030447_391243884530913280 x	#ASI?s rockin? #counselortour continues w/ cool way St. Louis co. makes employees feel special http://t.co/cT3avoLZB2
69030447_391242240435437568 x	RT @ASI_AndyCohen: Forrest and Kelly from Safeguard in Dallas celebrate a sunny day at their company. #counselortour http://t.co/0fZ2fTf2Iy
69030447_391234564024049664 x	"Eff Cancer" tee raising $$ for student?s cancer treatment, in #ASI?s Wearables mag http://t.co/9K3nSZwBKV http://t.co/5tkRdKuVtc
69030447_391230695500046337 x	Inspiring story in #ASI?s Wearables mag about #Haley Bellows and a Tshirt helping save her life: http://t.co/9K3nSZwBKV
69030447_390886737268203521 x	Ping pong in Pittsburgh? Goblins and yoga in Ohio? It?s business as usual on the 2013 #counselortour http://t.co/xO8Ic8GXgs
69030447_390517731469967360 x	Is your workplace fun or funereal?Learn 2 shake it up   u could win $100 giftcard 4 tweeting about #ASI's BestPlaces?http://t.co/xN8WNktOqv
69030447_390486631083687937 x	RT @EntMagazine: Women: Are We to Blame for the Glass Ceiling? http://t.co/wMwTZvktGE by @Occupreneur
69030447_390486090005504000 x	How many push-ups could you do before breakfast? Ck Joe?s count in #Pittsburgh on Day 2 of the #counselortour:http://t.co/WkHYzPnKzk
69030447_390142088433504258 x	Tweet about #ASI?s Best Places to Work road trip via #counselortour and enter to win $100 gift card http://t.co/LGxtTFjcj4
69030447_390125108083167232 x	A great #NYT story about art, aging and the Sun-Dried Kid http://t.co/g40axrSMBx
69030447_388038878944169984 x	Among consumers, a company?s reputation counts, esp. w/ millennials. Give big and give locally, says a new study: http://t.co/JDARmvpwBq
69030447_387969996824924160 x	CNBC ranks 2013?s top states for business. Who?s moving to South Dakota? http://t.co/MsEjiet5X7
69030447_385052257848291330 x	Spent Sunday with VP Biden at his home in Delaware. Obviously my advice wasn't the best! http://t.co/mJfIq4Q5jI
69030447_382538109457412096 x	Video-tastic tips from Jake Krolick?s interview with soc media ace #devinsupertramp in Utah: http://t.co/kaSKOmdMnS
69030447_382512668914888704 x	How many global biz travelers have stayed at hostels lately? http://t.co/etllNOxWT9
69030447_381860883221061632 x	Enjoying pre-game festivities in the owners box #nyjets http://t.co/lGSVTRRZUU
69030447_380379915104702464 x	Impt take-away from ?green marketing? survey: 71% say brands should do more to explain what jargon means  http://t.co/WSnC2WSkcD
69030447_380050587166855169 x	#promo products kick butt world-wide. #ASI?s newest video tells you why:  http://t.co/XgLlv3DmS1
69030447_380046515374272513 x	#ASI unveils powerful proof of enduring, low-cost effectiveness of #promo products in global ad study: http://t.co/Rr05QwtDkd
69030447_380045275777101825 x	RT @VagnoniASI: Seriously, hire @devinsupertramp before you can't afford him. #asipowersummit
69030447_380014143215902720 x	Devin Graham rocks #asipowersummit. Check his videos on YouTube!!!
69030447_379988200933974017 x	Which leaders in the #promo products industry hit Counselor?s prestigious Power 50 list? Which ones dropped off? http://t.co/uQpNtT3r5P
69030447_379983935804932097 x	86% of recipients of promos recall brand/advertiser name #asipowersummit
