333194352_392083123938537472 x	RT @PhelpsUpdate: No word on Michael Phelps comeback http://t.co/kmNQLbe4hX
333194352_387685559243902977 x	SVCC #15 http://t.co/miAvaotIrO
333194352_387606965889040384 x	Tournament at Saucon Valley today #SoPure
333194352_394657346078920704 x	RT @ZachJArsenault: I can't wait for the NBA season to start
333194352_396450287680229376 x	@KTee_Zee height 18 lol
333194352_396448807212552193 x	#TogetherWeBuild #Sixers #Undefeated
333194352_396376484568645632 x	Gotta get to work. http://t.co/pXeiyXyUyw
333194352_396350462737543168 x	You know you've had an unproductive day when you've seen the SC not top 10 five times already.
333194352_395976283668369408 x	RT @BCHoopNews: The Eagles got 5 votes in the preseason AP Poll released today http://t.co/eeRGS8CSKj
333194352_395946336513581056 x	My Halloween candy rankings 1-Reese's 2-Butterfinger 3-Snickers 4-Twix 5-Skittles 6-PeanutM&M 7-MilkyWay 8-Hershey 9-Whoppers 1000-CandyCorn
333194352_395935766427082752 x	http://t.co/QruUBbHsij
333194352_395937105777422336 x	@Himes_Ward26 http://t.co/6OWl6YUweD
333194352_395925995414638592 x	5 years ago today we were walking down Broad Street.
333194352_395694809585053696 x	@BobCooney76 Cooney, you dog you.
333194352_395692807836684288 x	RT @Winless4Wiggins: WHAT IS HAPPENING
333194352_395690778921799680 x	In the words of Marc Zumoff, "ARE YOU KIDDING ME!?" #TogetherWeBuild
333194352_395616323646263297 x	RT @tallmaurice: Chip Kelly & Howie need to sign Iverson at quarterback immediately following this presser.
333194352_395615151841636353 x	Tears in my eyes watching Allen Iverson right now. #TheFinalAnswer
333194352_395600912166969344 x	RT @Hartsy19: Sad day. New look. Looks like a poodle got a hair cut http://t.co/z0uirjqjrv
333194352_395592878728417280 x	RT @alleniverson: Philly I'm back!!! #FromAIWithLove ... #TheAnswer http://t.co/KrN1axDp7w
333194352_395558444813787136 x	Burns just said in class that he would support a social darwinist political candidate in today's United States. I'm done.
333194352_395537907945320448 x	RT @Bernieparent: Always start the day with a positive thought. Yesterday is gone today Is a new beginning and a opportunity for great thin?
333194352_395388669651349504 x	@emmafranklinnn accept my follow request on instagram now! I need to see these videos of Michael.
333194352_395382934557163520 x	"@F1abraham: Life has it's moments :)" Like that time you did that porno!?
333194352_395370003836702720 x	Great interview of @billmaher tonight from my favorite Brit @piersmorgan
333194352_395367676719403008 x	"@natalie_gulbis: Halloween at the Boys and Girls Club. How cute is mini Mario!! http://t.co/qnsHjC1AaV" how cute are you Nat!?
333194352_395358822883426304 x	It looks like the Bulls are tanking for Wiggins already...
333194352_395345615586349057 x	See you later Donahue bottles. http://t.co/nLdqWe4sHS
333194352_395358175001870336 x	@j0m05 only the finest
333194352_395314831571836928 x	Hopefully the 76ers are the 6-76ers this year.
333194352_395226699706957824 x	RT @CherryHillSun: Head to the polls next Tuesday to elect your leaders http://t.co/AgX8XDnK85
333194352_395210993279987713 x	RT @ZachJArsenault: I'll be a Philadelphia sports fan till the day I die ??
333194352_395210324351406080 x	RT @billclinton: At #Sandy1Year anniversary, there's still more we can do. Thinking of those who lost loved ones and homes last year.
333194352_395025633777963008 x	At Least 9,900 People Have Died From Guns In The U.S. Since The Newtown Shooting @MMFlint @BarackObama @SenTedCruz @marcorubio @SenatorReid
333194352_394952616356352000 x	Lebron just said "Allen Iverson is pound for pound the greatest player ever." I can die a happy man now.
333194352_394890482566037504 x	RT @SimplyMJ42: Tim Tebow sighting in Philly
333194352_394890044764585984 x	RT @amoultrie: I swear you philly N!$$@$ need to learn how to drive...
333194352_394854849348919296 x	Happy 21st birthday to the beautiful @Kimmy_Hendrix !!
333194352_394825660507914240 x	RT @darrenrovell: For those scoring at home, Danica Patrick has won once in 224 career races.
333194352_394813287252385793 x	RT @RoobCSN: From 2006 through 2011, Trent Cole was third in the NFL with 63 sacks. In 2012 and 2013, he's 161st in the NFL with 3 sacks.
333194352_394671404467355648 x	@LindSayWhaaatt goodnight babe!
333194352_394665103628701696 x	RT @BroadStBull: Away from hockey: Calvin Johnson had 329 receiving yds. today. The NFL record is 336 by South Jersey's Willie "Flipper" An?
333194352_394633449849368577 x	@happiness_lovee @Himes_Ward26 See Josh? I win.
333194352_394634317495668738 x	@happiness_lovee @Himes_Ward26 He literally just admitted his legs are too long for it. Lol.
333194352_394614085796769793 x	RT @FakeWIPCaller: I love Dez Bryant's passion. Why did no Eagles today care enough to throw a sideline tantrum?
333194352_394524656532983808 x	Andy Reid is 7-0 and up 13-0 this week. And we're stuck here with Chip Kelly running this no huddle bullshit for 27 total yards.
333194352_394522608383053824 x	If you have both snapchat and tinder I might think lesser of you. I'm sorry.
333194352_394514202108645376 x	I miss Veterans stadium. The Linc sucks.
333194352_394475713937424384 x	I don't go to the beach, I go down the shore. No school on Rosh Hashanah or Yom Kippur. I sure as hell don't pump my own gas. #GardenState
333194352_394466666777956352 x	RT @BatMandervelde: This feels like a "Birds Win" kind of weekend if you ask me! Let's get it done! #Eagles
333194352_394198586344624128 x	@AlexJimenez__11 just don't hurt yourself
333194352_394127106957123584 x	RT @bcinterruption: BC scores 3 times in 71 seconds at Minnesota: http://t.co/kN9fro4QBL
333194352_394105063163318272 x	RT @PhillySportPast: 5 years ago today, Joe Blanton went yard, and it became apparent that 2008 was going to be the year (VIDEO) http://t.c?
333194352_393847539155206144 x	@ErNdAwG_54 Probably has to do with your blatant disregard for correct grammar.
333194352_393611452248231936 x	"@Melissa_M_King: Halloween one week early ?????????? http://t.co/MFEPhRcLvR" miss delawareeeeee
333194352_393609607647887360 x	Just gotta remember what mama always taught you and you'll be good in life.
333194352_393608894486175744 x	Damn, I miss summer.
333194352_393551931173785600 x	Great dinner and speech tonight at DeSales with @JonHuntsman Thanks for coming. #NoLabels
333194352_393244364392366080 x	Just witnessed a full out bottle breaking brawl in the tally ho bathroom...this video is priceless
333194352_393017087876427777 x	RT @phillybusiness: Poll: NJ split on an appeal of sports betting ban http://t.co/uZ8j5TJe7W
333194352_393011712951353344 x	This girl is pulling around her bookbag on wheels...
333194352_392711390974464000 x	RT @YeaThanksObama: Obama is a liar!!  Thanks Obama. http://t.co/M0UcvCUYAG
333194352_392664897475317760 x	I wonder what all my professors with doctorates think about me calling them "Doc" all the time.
333194352_392469914600353792 x	Tweet number 9,000! Thank you shout out to all my followers. Stick around for 9,000 more. I apologize in advance.
