40373720_393589655238868992 x	@Taraa_Shumack Kinect?
40373720_395723865508175872 x	Wacha has had a great playoff run, but getting hit around Boston tonight
40373720_396430027543162881 x	I'm not even getting @ovi8 points from this beat down
40373720_396429103768670208 x	Flyers are fuckin terrible
40373720_396363487535841280 x	@MatthewBerryTMR are you serious? What sad sap is watching the Marathon?
40373720_396123251467767808 x	Walk-off safety!!!!
40373720_396106510649925633 x	Wow, not gonna see much better runs than that TD by Giovani Bernard
40373720_396038857042309120 x	Just traded for @CutonDime25 Welcome to my team Shady
40373720_396038747931697152 x	Working my trades today in fantasy #ChampionshipOrBust
40373720_396025737896935424 x	RT @ShaneVictorino: Now what am I suppose to do today... http://t.co/20KqU5En38
40373720_395968225961201664 x	Whyd we trade Talbot?
40373720_395947293318598656 x	@BBBaumgartner Boo-urns
40373720_395773484112293888 x	@David_Boreanaz won't be the same, it'll be better. They need to get Buck out as well
40373720_395765382491160576 x	I love watching the games, but I'm also a big fan of the off season and all the moves. Interested to see how it all plays out
40373720_395764900666281984 x	RT @ESPNLunardi: Totally agree. ?@Sherman_Report: 3 titles since 2004. They won at Fenway. Retire the history stuff.?
40373720_395756246273622016 x	RT @gold___standard: Who's ready for spring training??
40373720_395753955097346048 x	World Series MVP has to be @davidortiz
40373720_395753516050169857 x	The real winners are America, no longer will Tim McCarver be in the booth!
40373720_395752855573131264 x	Congrats Red Sox, especially @ShaneVictorino
40373720_395750579546648576 x	@wingoz youre letting @MatthewBerryTMR troll you so hard. You think he's the dumb one, but he's playing you. Congratulations
40373720_395748788104855552 x	@MatthewBerryTMR @wingoz I'm on your side Berry
40373720_395732406982180864 x	#LethalWeapon6
40373720_395730507058921472 x	RT @ByDavidMurphy: Shane Victorino the rare Philadelphia athlete that not a single person hates
40373720_395728283582865408 x	RT @RoobCSN: Victorino just became first in MLB history with 4 career postseason games with 4 RBIs. Thome, Pujols, Ortiz, Matsui, Garvey & ?
40373720_395727123027349504 x	I love watching @ShaneVictorino succeed, miss you in Philly
40373720_395725487114178560 x	Weren't the 6ers suppose to be tanking this year for a top pick? They're gonna fuck up being bad
40373720_395725095210975233 x	1 win for the 6ers, 16 more to beat the over/under
40373720_395720205894049792 x	I got in a Twitter argument with some random Red Sox fan before the season started. He said Victorino was a bad move #HesWrong #ImRight
40373720_395719237064355840 x	So close! That's my bull @ShaneVictorino with a 3RBI hit
40373720_395718463487873024 x	Victorino grandslam #CallingIt
40373720_395615103095042048 x	How'd it take West Chester 10 extra weeks to open up the P.O.D. They basically just moved South Side...What the point West Chester?
40373720_395592447863955456 x	And when I say "fans" Im not just talking about Giants fans, I mean football fans in general. So many football "fans" know so little
40373720_395592192586047488 x	It blows my mind that people think the Giants are good again. They beat the Vikings and Eagles, neither pretty wins. So many ignorant "fan"
40373720_395380652629303296 x	RT @LarryFitzgerald: Big congrats to my guy @ShaneVictorino on his #GoldGlove! Solid ballplayer and a better dude! #MLB #RedSox
40373720_395380525416071168 x	RT @ItsAGleason: Is it just me or is college easy?
40373720_395362628270559232 x	RT @ZERTZ_86: Just saw a commercial with the guy from khan academy. Can finally put a face to the voice that helped me throughout college #?
40373720_395333099779006464 x	I love Vinny on the Orange and Black
40373720_395331008297701376 x	"@RoobCSN: It's 4th and 26 for Freddie Mitchell's legal hopes as he's sentenced to 37 months in prison."
40373720_395278000238772224 x	No more @ItsAGleason !!! I can't believe they let a freshman live on South Campus so long
40373720_395273351868211200 x	FredEx is going to jail for 3 years, he always seemed like a real straight shooter
40373720_395271755063103488 x	@36westbrook are there ever any trades at the deadline?
40373720_395240140177956865 x	RT @mstairs12: 5 years ago today World Series Champs, feels  like yesterday. Moment I will never forget. Thanks Philly.
40373720_395180420268306432 x	@RoobCSN @NOTOllie38 we should also trade Foles and Coleman for the Bucks first pick. If we play it right we can have the top 10 picks
40373720_394871998154694656 x	@AdamSchefter wonder which QB they'll be drafting with their first pick
40373720_394696198277591040 x	When the fuck did we get ice cream?
40373720_394642331527577601 x	That's a win!!! Thank you @AdrianPeterson
40373720_394611082427236352 x	AP, 11 points please. I put all my eggs in one basket, don't make me regret it
40373720_394608783034699776 x	Broncos kinda took this game over
40373720_394543746874093568 x	Can't wait til ESPN is talking about how the Giants are turning things around. No, they beat two shit team
40373720_394535984903503872 x	@TheRealDGunnCSN Alex Henry can't kick over 45 yards
40373720_394533499530518528 x	Eagles need to sign Tebow to rescue my fantasy team
40373720_394529070987632640 x	Next QB
40373720_394527016542035968 x	Looks like this will be 2 weeks in a row where my QB is gonna end with negative points
40373720_394525547445096448 x	@BBBaumgartner because Puig celebrates wiping his ass
40373720_394517455214620672 x	James Casey is on the team?
40373720_394484565198532608 x	@MatthewBerryTMR Hillis, Miller or Ellington? #FFNow
40373720_394484362802368512 x	RT @Trouty20: #FlyEaglesFly
40373720_394362659120107520 x	@pat_sheetz Team projections: Geno-14.6 Lynch-22.7 Helu-4.6 Welker-18.2 Gordon-7.2 Reed-3.9 Shorts-11.3 Moore-6.2 PatsD-6 Crosby-12
40373720_394332114973642752 x	Philly road trip #TULO
40373720_394313918338064384 x	Don't see that ever
40373720_394308633967984640 x	RT @MLB: This game ...
40373720_394280199904567296 x	@MatthewBerryTMR you should come to West Chester U tomorrow to watch the games
40373720_394271716685643777 x	Hat trick for Vinny!
40373720_394044151001395200 x	You can't tell me "Inkling's E-Books Put the Consumer in Charge" is seriously trending on Twitter. That's bullshit, trends are madeup
40373720_394043127763193856 x	Ultimate troll team just dicked it in League of Legends #BootsForBots
40373720_394004992186523648 x	color blind tests are ballin http://t.co/7eV6hsmydW
40373720_394002929868226560 x	@iliza #Excuse him
40373720_393999022697873409 x	RIP Marcia Wallace aka Mrs Krabapple http://t.co/GvXMXsL81F
40373720_393991295813042176 x	@rainnwilson I wonder how many tweets @TraceySproul is getting for calling you a dick? Lol
40373720_393990440355393537 x	@rainnwilson @TraceySproul lol, who are you? Rainn you're the man!
40373720_393983434303242240 x	RT @espn: Michael Wacha's postseason stats:  4 games started. 4 wins. 1.00 ERA. 28 strikeouts.   Holy smokes.
40373720_393794169254449152 x	@MatthewBerryTMR Bell or Hillis?
40373720_393776661457821696 x	@pat_sheetz on waiver Wednesday
40373720_393776567895457792 x	@pat_sheetz I was just thinking that
40373720_393765679385436160 x	@MatthewBerryTMR start him if Bush is out?
40373720_393592333297807360 x	@Taraa_Shumack so yes or no?
40373720_393591942501916672 x	@Taraa_Shumack I'm assuming the only reason you haven't responded is because you're on your way here
40373720_393592057824309248 x	@Taraa_Shumack but that's not the case because you tweet and drive
40373720_393557500315721728 x	By far one of my favorite baseball players to watch, especially in the postseason
40373720_393545216273035264 x	Im surprised FOX doesnt just show the whole game in slow-mo
40373720_393542359629066240 x	What a god awful powerplay the Flyers have this year
40373720_393536846472286208 x	@geoffschwartz most of the thursday match ups have been bad
