28263610_395336983662571520 x	@da_king_son18 congrats on starting - time to shine!
28263610_395334797377429505 x	RT @sydneyleroux: And WE CAN'T STOP @alexmorgan13. #halloweenisback https://t.co/BjZoIhAb4r
28263610_393172033347268608 x	RT @RonTheAnchorman: More sad news from the music industry, Justin Bieber was found alive in his apartment earlier today.
28263610_393161306930679808 x	@CFMoe6 @KacieFOX29 There is a bar on the bus as well, Patron anyone?
28263610_393158867070513152 x	@LVhanley love your humps thanks
28263610_390613819070111744 x	RT @RonTheAnchorman: I was sexually active at 10.  Its now 10:23 and my wrist's sore.
28263610_387353362301468672 x	@ESPNMondayNight #DDFieldPass No, but the Eagles will!
28263610_387351906655698944 x	RT @Eagles: #Eagles are 21-5 in the regular season when @DeseanJackson10 catches a touchdown pass. #FlyEaglesFly
28263610_387351391817453568 x	RT @AdamSchefter: All together, Seahawks and Raiders paid QB Matt Flynn a combined $14.5 million the past two seasons for one start.
28263610_387351296501882880 x	RT @KateUpton: . @DavidKirsch just kicked my butt like he was the Eagles and I was the Giants
28263610_383700301150420992 x	@SheilKapadia @Tim_McManus let him get the experience!
28263610_382268014177320961 x	RT @AdamSchefter: Last time CINCY, CLEV, DET all won on same day was Nov. 13, 1994, the day Barry Sanders rushed for 237 yards vs TB.
28263610_381523957004115968 x	RT @LateNightJimmy: Okay, @KateUpton is just a Flip Cup Pro! - http://t.co/xaa1WPjMbP #LNJF
28263610_379017463029309440 x	RT @LoganLevkoff: Is this a good name for a carnival ride? http://t.co/2G7uiH2E
28263610_378319641460109312 x	RT @fcoxx_91: What lucky fan will win 2 tickets to the @Eagles home opener ?
28263610_378319446252982272 x	RT @MattBarkley: Hahaha fantastic ?@rdeitrich: Chip Kelly NFL Einstein http://t.co/IumnD8Q76O @MattBarkley  Can you RT n help me get this o?
28263610_372512898494783488 x	@MikeVick @EAMaddenNFL Any way just your average Eagles fan can get one of these VIP kits?
28263610_366652496942338051 x	@GJKinne I was at practice today and noticed you doing work with special teams - do you do that often?
