732061052_377230183432208384 x	Looks like everyone's back here http://t.co/i5WBGjtecd
732061052_368953142081101824 x	@BeastMode15432 @trixiekline http://t.co/H9Z4Sxibvx
732061052_368952740090609665 x	@BeastMode15432 @trixiekline yes
732061052_368946310704934912 x	@trixiekline and @BeastMode15432 sitting next to each other in English after dating for 2 weeks #LetsMakeItAwkward #lenapememories
732061052_363196706378096641 x	@BeastMode15432 @cookiesandpaley hi guys it's will I already got mine craft so I don't know the dilemma. So when are you guys gonna fight?
732061052_363198611183513600 x	@BeastMode15432 @cookiesandpaley can we end this
732061052_363197127704727552 x	@cookiesandpaley @BeastMode15432 I'm still confused on the whole mine craft thing and the sully thing
732061052_351015719107964928 x	IM BACK
732061052_346046693650857984 x	Tim Duncan jerseys in! 100% stitch! I can sell you one just as nice. So sick! http://t.co/9Ham06ojlY
732061052_346076426732199936 x	@erichho32 it's nicer than your shitty ray Allen jersey
732061052_346076930757521409 x	@erichho32 just saying the truth
732061052_346077373034283010 x	@erichho32 again, yours is shit
732061052_346077917329108992 x	@erichho32 I love how your trying to start a twitter fight over your shit jersey it's pretty amusing
732061052_341743228531388416 x	The @NBA is gonna start losing fans like myself if all this flopping keeps up #unbareable
732061052_339554544621060098 x	@jpa10597 you're joking right
732061052_330898769145126912 x	@jpa10597 @BeastMode15432 @matthewdouple I thought you were going to sleep mrs Abelson? #holdup
732061052_330899081767575552 x	@BeastMode15432 @jpa10597 @matthewdouple my bad
732061052_330890511974014979 x	I think prank calling can be funny #truth
732061052_330897145420992512 x	@matthewdouple @BeastMode15432 considering I'm 3 times your size and older than you, I wouldn't be talkinh
732061052_330897373343666178 x	@BeastMode15432 @matthewdouple my b I thought my old pal spellcheck would take care of that one
732061052_317831164268269568 x	@jpa10597 @mikereick24 @beastmode15432 @trixiekline it's a long story jordan
732061052_317831761306460160 x	@BeastMode15432 @jpa10597 @mikereick24 @trixiekline See Sean, Michael is referring to the time you dated Ms. Taryn Kline.
732061052_317832035005759489 x	@BeastMode15432 @jpa10597 @mikereick24 @trixiekline it's quite alright my friend
732061052_317820943596650496 x	@MikeReick24 what happened to St. Mary's? @BeastMode15432
732061052_317823292708888576 x	@BeastMode15432 @mikereick24 #Bandwagon?
732061052_317823487068741634 x	@BeastMode15432 @mikereick24 gulf*
732061052_278320511803600896 x	@matthewdouple @kelseybutton Matt I'm still beating you
732061052_278321048867442689 x	@matthewdouple Me and Sean are making pretty good ones about you
732061052_278317823678365696 x	@BeastMode15432 @matthewdouple @trixiekline @carolyn_maio1 might be the best one yet
