233604842_397142685552635904 x	@Eagles #FlyEaglesFly #NFL http://t.co/XebVFLDztS
233604842_397140139450703872 x	RT @johnclarknbc10: Raiders fans. Where every game is Halloween
233604842_397143409569177600 x	@RaulSports Pats 1624 Market st
233604842_399340641156472832 x	RT @KirkYuhnke: Amazon shot! RT @AstroKarenN: Typhoon Haiyan. November 9. http://t.co/YrWpdWBrTn
233604842_399246275767312384 x	Police received report of suspect dressed all in black with gun knocked on home in the area. Black Forest.Police searching .
233604842_399245177383968768 x	RT @KRDONC13: El Paso County is investigating another burglary on Burrows Rd in Black Forest. Unknown if it's related to Timberlane Ct Burg?
233604842_399241347837603841 x	Unconfirmed: 6600 block of Burrows in Black Forrest 2nd Home invasion. Reports 2nd person with gun shot to face. @KDVR
233604842_399240219997663233 x	El Paso S.O. in the area of Burgess and Burrows. Re: home invasions w/possible victims.
233604842_399239856431177728 x	Reports of 2 home invasions in Black Forest. Possible victims from shooting . Police searching area. @KDVR
233604842_399085057630932992 x	@wimpykd the for the follow my other brother Daryl lol
233604842_398912155287683072 x	RT @NFPA: Latest firefighter injury report shows that nearly 70,000 injuries occurred in the line of duty in 2012 http://t.co/N9tMHE69sn
233604842_398911940535144448 x	RT @FoxNews: New York's top court to rule on Fox journalist's bid to protect sources http://t.co/oXpAlTrSO6 via @perrych
233604842_398911885581361153 x	RT @sharichampagne: @MargaretOrr , Beautiful Blue Skis with little breeze ... It's a Great Day In West Houma .... Happy Friday :) http://t.?
233604842_398911772037378048 x	RT @markpmeredith: The photog/reporter relationship means never a dull moment. Including things like this http://t.co/BAqsC1ntiM
233604842_398911506303049728 x	RT @ColoSecofState: Thanks @alekapowell for being our 2,500th follower!
233604842_398908421149184001 x	RT @RoobCSN: Nick Foles has been named FedEx Air Player of the Week for second time in four weeks.
233604842_398908181755097088 x	RT @DenverPolice: BREAKING: DPD looking for a missing 3 1/2 year old white female from 2800 Lafayette st.
233604842_398549950276968448 x	@MayanGosling it was corrected
233604842_398549795343593474 x	Corrected:The City of Aurora will be conducting an audible warning siren test on Tuesday, November 12, 2013 @ 11:30 am.? @KDVR @NewsAuroraCO
233604842_398282075037380608 x	Denver Fashion Weekend Fall 2013 http://t.co/7C5zhCtIS2
233604842_397951315831054336 x	Douglas County election office says the reason for the glitch tonight because they have never had so many hits on the web site before. @KDVR
233604842_397830886550290432 x	RT @chris_tomer: Don't get hit with a milkshake today, Daryl!  @WxTrackerDaryl http://t.co/9mTo6xtdHA
233604842_397671697228124160 x	@Dougherty7NEWS James do they have a plug for microwaved breakfast lol jk
233604842_397673575315808256 x	@Dougherty7NEWS if it was I would be inline already lol
233604842_397671517275713536 x	RT @FoxNews: UPDATE: 2 in custody after reports of armed men entering empty Denver school, police say http://t.co/pgGon2euvh
233604842_397671166568968193 x	RT @CJose: BREAKING: Denver Police have two men in custody. They're doing a precautionary sweep of the school #NoelMS
233604842_397670703001911296 x	RT @CNNNewsource: JUST IN: Denver Police tell CNN they arrested 2 people who were seen in a middle school overnight, prompting a standoff. ?
233604842_397592799085752320 x	@JeremyHubbard ready for tonights "gimme a break"? Police were called on us as suspicious vehicle.Guess the FOX 31 letters went big enough.
233604842_397576019294425088 x	@MissAmyTweets doesn't that clearly say they will no longer health coverage to anyone per Aetnas company decision ? Or did I misread ?
233604842_397578830841249793 x	@MissAmyTweets seems like they can't afford to offer health insurance. Colorado only offers 3 or4 companies if you have to get coverage.
233604842_397581825574334464 x	@MissAmyTweets problem is the people of this country aren't doing anything to stop it. We are letting them do whatever they want to us.
233604842_397584858001584128 x	@MissAmyTweets one note. I have ins through employer..its much lower than what the aca site offers. Rates did however go up for 2014.
233604842_397584544569622528 x	@MissAmyTweets lol yeah I understood it. Gotta love 140 characters..
233604842_397579571597287424 x	@MissAmyTweets exactly. Kaiser is one of those companies offered. I looked at Colorado rates and it would cost me about 625 a month..ugh
233604842_397581161662148608 x	@MissAmyTweets the only one could keep their plan is through their employer or if the ins comp didn't drop out of health coverage. Shady.
233604842_397579096877584384 x	RT @MyFoxNY: #GSPshooting Mayor:  mall still on lockdown... many patrons still inside http://t.co/sX4EIJ6EzG
233604842_397579087234863104 x	RT @MyFoxNY: #GSPshooting:  Police believe shooter has left the mall.  Only one shot confirmed http://t.co/sX4EIJ6EzG
233604842_397579058784919556 x	RT @MyFoxNY: The mayor of Paramus says that "everyone is safe" http://t.co/sX4EIJ6EzG
233604842_397576690517307392 x	NJ mall shooting :Slideshow http://t.co/o1CexPAcwE
233604842_397576135640231936 x	RT @JeremyHubbard: RIGHT NOW on @KDVR at 9: new information on the #BREAKING news out of #NewJersey - shots fired tonight inside a Peramus ?
233604842_397539545731694592 x	Colorado Elk goes for a bounce on trampoline. http://t.co/DshB03DrLn
233604842_397526454516215808 x	RT @DaveFraserWX: #cowx #snow possible tonight #Denver amounts look light new data with updated #snow totals in your neighborhood @Pinpoint?
233604842_397446550122528768 x	Tonight on Fox 31 at 9pm, Heidi Hemmat investigates heater repair companies that you can trust or can you ? https://t.co/ReYM2eOzZM @KDVR
233604842_397270446652936192 x	Snow Denver. Later Monday into Tuesday. I'm going with 1-3"metro with 2-4" east of Denver. 4-6" for high foothills. Models show less. #cowx
233604842_397172482345402368 x	RT @JeremyHubbard: From the viewer mailbag, GIVE ME A FLIPPIN' BREAK edition: http://t.co/SOoH3Zgb8F
233604842_397143951678791680 x	RT @AP: BREAKING: Terminal evacuated at Birmingham, Ala., airport because of threat.
233604842_397143091754176512 x	@RaulSports @KDVR You should hear this place its insaine and loud !!
233604842_397142950234173441 x	RT @RaulSports: Nick Foles just threw his 7th TD pass of the game.That ties #NFL record for most TD passes in a game.Remember Manning did i?
233604842_397139881886904321 x	RT @WillBrinson: Nick Foles has more touchdown passes (6) than he does incompletions (5) today.
233604842_397139707223482368 x	Someone call RPS (Raider Protective Services) cause the Eagles are giving the Raiders a nasty Spankin ! #FlyEaglesFly
233604842_397103768602300416 x	@denverapple1 but ya have to admire Andy Reid coming from Philadelphia and making that team who they are for 2013.
233604842_397104601398124544 x	@denverapple1 gotcha.. as an Eagles Fan were playing your other hated team in a few mins... Hope every Colorado native routes for Eagles lol
233604842_397103408139620352 x	@EliStokols dude ! What is up with N.O. ?? As I kick the TV and shake head in disgust at the Jets... #NFL
233604842_396817366253727744 x	RT @johnclarknbc10: Wow! Sixers 3-0 first time in 7 years. STUNNED
233604842_396444000074211328 x	Daylight savings ends this weekend..Sunday at 2am roll those clocks back 1 hour. @kdvr perhaps you may get an extra hour to party or sleep
233604842_396411662711791616 x	Enjoy the warm weather this weekend cuz big changes in store for the start of the week. Details now on Fox 31 @KDVR @DaveFraserWX
233604842_396157818006282240 x	@NWSBoulder is the transmitter down for wx radio in Denver ?
233604842_396344484436271105 x	@NWSBoulder thx for the info. Many are asking.
233604842_396344329737748480 x	Mt NOAA wx radio"@NWSBoulder: @WxTrackerDaryl We are currently having some connection issues. We apologize for the inconvenience."
233604842_396344174489788416 x	RT @DENAirport: DIA operations are normal. Passengers from DEN to LAX should check flight status w/airlines
233604842_396344142466252800 x	RT @KDVR: Photo of shooting scene at LAX Terminal 3 from @TJD19083 http://t.co/FyDCxy3CsS More info: http://t.co/RadAfv1QPz
233604842_396344085000122368 x	RT @FlyFrontier: All flights in/out of LAX for today have been suspended. To rebooked contact 800.432.1359. Updates to follow http://t.co/X?
233604842_396344059817500674 x	RT @KDVR: The airlines that use LAX Terminal 3 are AirTran, Alaska, Horizon, JetBlue, Virgin Australia and Virgin America. http://t.co/RadA?
233604842_396344040708259841 x	RT @KDVR: @LATimes reports 1 TSA officer shot and killed at LAX. Other TSA workers injured. http://t.co/RadAfv1QPz
233604842_396190137572265984 x	RT @CNNNewsource: A magnitude 6.7 earthquake rattles Taiwan. IN-04FR
233604842_396065802111049728 x	Dont miss this frightening display tonight at 9 on @kdvr Fox 31 live from 3822 S. Quemoy Wy in Aurora. #halloween2013 http://t.co/UV2XPTNdq3
233604842_396065216162590721 x	Tonight at 7 on KWGN ch 2 we'll be live from 3822 S. QUEMOY WAY in Aurora with this scarey display... @kdvr @kwgn http://t.co/kGmCwwz5Aa
233604842_396017328460034048 x	RT @Theorossi: We are officially in Texas. #LoneStarRally #SOAFX @KimFCoates http://t.co/Ae1jOnSyuZ
233604842_395712766834520066 x	Westbound I 70 now open at copper mtn from earlier accident on Vail Pass @KDVR http://t.co/7RkMat5GjQ
233604842_395711504835559424 x	RT @wunderground: Tornado Warning for Newton County in TX until 8:00 PM CDT http://t.co/sfUezbAycM
233604842_395708969731096576 x	@ColoradoDOT any update at Vail Pass..quite a few drivers asking me here if any estimate for reopening of wb 70..
233604842_395696729988661248 x	Colorado State Patrol continue to keep I 70 WB at Copper Mtn exit195 closed do to accidents on Vail pass @KDVR #COWX http://t.co/wbPNVUYAnd
233604842_395696278467665920 x	Line of trucks on I 70 await Vail Pass opening @KDVR http://t.co/NC7mgUi6ie
233604842_395694578226839552 x	Copper Mtn : snow and ice causing accidents on I 70 closing vail pass @kdvr #cowx http://t.co/yTm4INvDXL
