338091722_391804598824226816 x	@TonyBella33 #handcuff double visions
338091722_390560470828318720 x	RT @NBCPhiladelphia: Former sportscaster Don Tollefson under investigation for charity complaints: http://t.co/yuqnpbiZxV
338091722_386926641102221313 x	RT @TimesHeraldPA: Former sportscaster Don Tollefson takes heat for canceling trips to Eagles  games  http://t.co/zM66u8ly6F
338091722_368433394637484032 x	@TonyBrunoShow http://t.co/E3SRpbFTC7
338091722_367651283022663680 x	@mattbmerin now you can park in the lot and not in the street.
338091722_351696708150898688 x	@PrestonSteve933 good old #wildwood days.. Nothing like walking thru a landfill on the beach, #restoretheshore http://t.co/5rANQ1qJOX
338091722_351683095918952449 x	RT @BryceBrown_34: Does this look like a fighting dog to you? Having cake on her third birthday... Educate yourselves people. http://t.co/E?
338091722_350385713923096578 x	RT @FanSince09: .@donovanjmcnabb If you ever tried to shoot someone you'd aim at their head and shoot them in the toe.
338091722_349610757245239297 x	@donovanjmcnabb I didn't know you spoke French..?
338091722_321952359460794368 x	@TonyBrunoShow ## #travelnightmare #fuckusairways... Buddy had a slightly torn passport and would not let them on plane for my wedding
338091722_301479377118588929 x	#bellletstalk
338091722_297506936100892672 x	RT @Hartsy19: RRRRRIIIIIIIINNNNNNNOOOOOOOO!!!!!!  Atta stick up for simma!!!!!  #flyers #flyereduprightnow
338091722_294160290268975104 x	@TonyBrunoShow I never saw the photo of the skinny chick with size 40 waist #largesthipsintheworld...
338091722_290493898088910848 x	RT @dooda1414: Got to love those flyers fans . Good luck finding a parking spot :) http://t.co/fYVlOet7
338091722_114514582168539137 x	Tom mccarthy jinx cliff lee....guy can't shut the f*ck up!!
338091722_114049894607622144 x	@mattbmerin I need my cash so I can pay my bills..they will take my kids away from me!!!!
338091722_108361032375869441 x	@danieltosh rediculousnes is ridiculously copying your sh*t
338091722_108360676426256385 x	Rediculousnes is such a pose on tosh.o
