39079593_391722079886012417 x	Drake gay for dat shit. Lol
39079593_249352244535910400 x	I'm Having a Sleepover wit Two BITCHES. LOL. They Bet Not Get Naked In my Bed tho. I aint About Dat LIFE.
39079593_222564693091418112 x	Listen, I'm not an alcoholic, alcoholics go to meetings. I'm a drunk, we go to parties
39079593_220651297282600960 x	Just Made the Ciroc Punch...They don't even Dig It
39079593_220676245334134785 x	@Bossladytweet Coconut&Peach & Regular Ciroc...Wit Orange Pineapple Juice & Apple Cranberry juice. Sooo Good!!!!!!!
39079593_220680220838072320 x	@Bossladytweet HAAAAAAAAAAA. But She know I'm Yall Real sister!!!!!!!  Lmaooooooo
39079593_211498634221596673 x	Both Kids Bout to Roll wit my oldest son Dad...C YA Fags...
39079593_211162311904337920 x	My sister Happy as shit she aint gotta go back to that Halfway house. She need to calm her Hype ass down for she be back up Muncy. LMAO
39079593_206621879082041345 x	YESSSSS TWEETY!!!!!!!!  He did That!!!! RT @Bossladytweet: http://t.co/IzIG7CHY
39079593_206622864529555456 x	@Bossladytweet YESSSSS. Tot just told my mom she need a Maybach tho...Hahaha. She see this she gone die!!!!  LMAO
39079593_206624681783078912 x	@Bossladytweet Yeah next year. Imma tell my mom. That's wassup. He really look nice. Where the date. Lol
39079593_182661768076730369 x	Awwwwwww Poor Kim....
39079593_182662814916292609 x	@Bossladytweet Yessssss. & Hang It Up!!!!  Lmao
39079593_154012969972416512 x	They got Somaya Big Ass Right outta here I see...Somebody @ her & ask her wassup..She blocked Me so I can't. LMAO
39079593_154023149841817601 x	@Bossladytweet I tweeted her this pic of her when she was small & asked to to Explain the weight gain...lmao
