920947867_382514124024201216 x	RT @DoctorWoWFacts: An ugly personality destroys a pretty face..
920947867_396403509777928192 x	RT @SarcasmMachine_: Once you hate someone, everything they do is annoying. ?Look at this bitch, sitting there breathing like she owns the ?
920947867_382513175738212352 x	RT @SarcasmMachine_: Girls only want one thing... your hoodies.
920947867_396064198041829376 x	@jmac_18 @ESPNNFL  LMAO
920947867_396064077052919808 x	RT @jmac_18: #classic RT @ESPNNFL: One more time for good measure:  Baby Andy Reid and Baby Coach Ditka win #Halloween --> http://t.co/xsso?
920947867_395249197605486592 x	Becoming to be one of those days where U just want to start slapping people that make little to no sense.
920947867_394848904350814208 x	@BleedingGreen Why have a 3rd Quarterback if U won't give him the practice time and then expect him to perform like a 1st string QB?
920947867_394848313625051136 x	@BleedingGreen Give Bartley the chance he should have had in practice last week, the turn out of yesterday's game may have been different.
920947867_393753904732975104 x	1/2 a day sounding like a good dam idea right about now.
920947867_393752293516263424 x	RT @DoctorWoWFacts: Marijuana smoking (illegal): 1 Pain Reliever & Anti-Depressant in the world. Cigarette smoking (legal): 1 cause of deat?
920947867_393752099282243584 x	?@SarcasmMachine_: That urge you get to write "No one gives a shit" on someone's status.?Nice, very nice.
920947867_392689186089996288 x	Why have a 3rd Quarterback and not use him? I'm no Football Wizard but if I was the Coach I'd wanna see what my number Quarterback can do.
920947867_392688493325197312 x	Report: Eagles' Vick to start Sunday Mistake, big mistake.  http://t.co/paC8to6992
920947867_392319740901068801 x	12 down, 4 to go, been a long one and doesn't want to come to an end.
920947867_391568831443140608 x	?@SarcasmMachine_: I wish my grades smoked weed. They'd get higher.?  Most defiantly, high as the sky.
920947867_391286309794627584 x	?@36westbrook: ?@Trevor_Pryce: 3 mile run. Just finished. Now what should I do??  Popeyes?yeah Boy, Booyah
920947867_391286082387845120 x	?@SarcasmMachine_: Miley isn't Hannah anymore. Demi isn't Sonny anymore. Selena isn't Alex anymore. Disney isn't Disney anymore.?LMAO
920947867_391021450175324160 x	http://t.co/tSvRrEYgby
920947867_391010260946661377 x	Representing CCDOC for falling Brother of Bridgeton PD Sgt. Blackburn. http://t.co/o7M4c753A9
920947867_391006331295244288 x	?@SarcasmMachine_: So bored of being bored because being bored is boring..?Hell Yeah
920947867_390627941404930048 x	Babies Scared of Farts Compilation 2013 [NEW HD] http://t.co/uIloQU4rLm
920947867_390617529661800449 x	?@SarcasmMachine_: I really make myself laugh. I should date me.?Makes sense, no nagging or arguing, just makes sense.
920947867_390385644658511872 x	?@fluffyguy: It's one of those nights where fans r making strange request. #FluffyTakesRequest http://t.co/8NR0ATlJjZ?LMAO
920947867_389472906264469505 x	Move the ball, eat the clock, move the ball, eat the clock. Defense needs rest. Let's go Birds.
920947867_389452968959164416 x	Patience, just let it happen #Eagles
920947867_389452717158322177 x	BIRDS PLAYING GOOD, FOLES SHOWING HIS ASS, GO BIRDS GO BABY.
920947867_389382722202136576 x	RT @SarcasmMachine_: Life is fucking short, enjoy that shit.
