243502199_365448439145840642 x	Rise and shine
243502199_365331851470049283 x	RT @Dub_Sleezy: #chel
243502199_336611368205692929 x	Beauty day in the #eugene
243502199_395695438608596993 x	My hair may have stopped growing #whatthefack
243502199_395354697562734592 x	#NoMoreMidterms!!!
243502199_394339666356236289 x	They need to emphasize the standing in standing room only #cantstandanymore
243502199_394333143110414336 x	RT @sirmilfpoacher: Oregon Hockey team photo 2013-2014 http://t.co/60fVLmv1TM
243502199_393672195248910336 x	Too many trees in Oregon!
243502199_393078950584266752 x	RT @sirmilfpoacher: @patricktaylor37 keep the flow
243502199_391525359356608512 x	Casual
243502199_390728509670580224 x	RT @IsaacMRosenthal: COCKRIEL SAYS NO SIR.
243502199_390303842648084481 x	Avs look too good. #snips
243502199_388528699525459969 x	Corona is the same price as rolling rock. Best thing about the barcade
243502199_387424295762145281 x	RT @RICERONI_2015: If you're done watching football tune into "The Man with the 132 Pound Scrotum" on TLC
243502199_386999859154145280 x	Let's go donkeys!
243502199_386750543684587520 x	RT @IsaacMRosenthal: We've played 37 minutes of hockey and I haven't said "penalty on Justin Lacasse" even once.
243502199_385675429769519104 x	http://t.co/yQeJhkCWJF? classic Roy. Nothing has changed. @KRAdamson @sirmilfpoacher @matthewbdolan
243502199_384297407514562560 x	Worst heart burn #intheleague
243502199_380128951550492673 x	RT @wheelingprobs: Flows out, Hoes out.
243502199_379441312614735872 x	Elk for dinner
243502199_379364364882411520 x	This is the first phone I've had That hasn't broke within a year
243502199_379133291397267457 x	RT @Sweens17: Mayweather got paid $41.5 million before he even threw a punch #ThrowSomeMyWay #Ridiculous
243502199_378724801348521984 x	RT @6ErikJohnson: So this dude is dead serious. #BoiseState #PickleJuice http://t.co/JvUnYTjPBP
243502199_378308223465304065 x	@Dub_Sleezy swagg
243502199_377901733332406272 x	RT @TtheKing0920: @Dcock1 yeah buddy. Chicks love no tan lines
243502199_377901446836281344 x	@TtheKing0920 maybe we should go
243502199_377207724456415232 x	Middle school I was gettin head on the ten speed.... #nice
243502199_377142838774886400 x	Imma get a #frog
