15741110_393086395712950272 x	@bennyheis gracias for the plug!!
15741110_395371421301370880 x	@heathermkline a caller just thought I was you #youarenotforgotten #missyouheather!!!!
15741110_395377658269143040 x	@heathermkline Greg in Vegas!
15741110_395357180909457411 x	Me to caller: what do you want to talk about? Caller: baseball Me: *blank stare*  #callscreeningwillkillme
15741110_395235170682281984 x	@MikeFerrinSXM it's #NationalCatDay -- somewhere Cat Burrell is waiting for me to adopt him. #dextermeowler #daisukeCatsuzaka
15741110_395023535510675456 x	RT @brooksbaseball: Baseball is too long and on too late to be popular. Time to switch over to football, which still has an hour to go.
15741110_394965671403999232 x	RT @ChrisVito: One cool note locally: Former @TempleUniv standout Dionte Christmas (@Dchristmas22) has made the Phoenix Suns' opening-night?
15741110_394912019616251904 x	Think it's important to note that http://t.co/CXcMFSZxYZ says I'm "friendly and conventional". I'm friendly, dammit: http://t.co/oyj5OdyRqX
15741110_394898822939148288 x	I may or may not have written this. Okay I did. Thanks to @JillHolbrook for giving me an outlet to share this story: http://t.co/EHagX2Nuw1
15741110_394878139676897280 x	"You're overwhelming like a ray of sunshine...like a blinding rainbow" - @JillHolbrook . This is going on the business cards I don't have.
15741110_394644216988450818 x	I really appreciate Mike Matheny's sassy faces.
15741110_394614430689804288 x	"Nice peacoats and dress outfits." Thanks, Joe Kelly, that pretty much sums up the pregame coverage.
15741110_394486336410763264 x	RT @AnswerDave: ICYMI: Meet the Cards beer man who donated tips from World Series G3 to aid family of St. Louis boy killed in fire http://t?
15741110_394480256691630080 x	RT @DJGalloESPN: Wait, so only Boston fans and degenerate gamblers think it was bad? Wow. That might have been the best call EVER. http://t?
15741110_394461072767594497 x	@CJNitkowski there are zero positive angles on FaceTime.
15741110_394442129617199104 x	#MarineCorpsMarathon gooooooo @akdewolf!!!! So so proud!! http://t.co/uuCsfqMme1
15741110_394329527071293440 x	The unsung hero of the postseason is @zamwi who studio produced both champ series clinches and likely screening DOZENS of dumb calls tonight
15741110_394331594779295744 x	@TJZuppe The other day I had a guy tell me "you can take your pregame show and shove it". He was dead serious. And really angry.
15741110_394130624329445376 x	@pshuck RAWR
15741110_393832271557296128 x	@craigcalcaterra stop trolling me, please. Matheny will remain most handsome no matter what.
15741110_393820756238274560 x	@M_OMalley Not a mom, but I am an aunt. I would say the blankets...and I made my niece monogrammed onesies that turned out super cute!
15741110_393825646834507776 x	@M_OMalley I've seen a lot of cute DIY baby stuff on pinterest that requires sewing, felt toys and stuff. I used iron on decals on my stuff
15741110_393820959846592512 x	RT @Duke_MBB: Basketball & Beyond with Coach K debuts tonight - 6pm SiriusXM Channel 91. Guests - MLB Hall of Famer Joe Morgan and journali?
15741110_393580128099250176 x	RT @JHamrahi: Now I really am sending Carlos Beltran a @baseballpro #rig T-shirt
15741110_393578528718860288 x	Trevor Rosenthal has very nice teeth #analysis
15741110_393575936664166400 x	@dwcash159 It's from a couple years ago but figured I should dig it out for the Series! I *want* the Cards to win, but think Sox will win
15741110_393574306703110144 x	I think Adam Wainwright is my spirit animal.
15741110_393572540053864448 x	@zacharylevine I stopped reading after the second word. then I just kept re-reading the first two words. And I was happy.
15741110_393270395635507200 x	RT @rickbozich: Thanking Mike Krzyzewski for the brownies -- 38 years later -- on @SiriusXMCollege while talking Kentuckiana CBB. http://t.?
15741110_393236284103467008 x	Sitting down to write my first #BasketballandBeyond blog at my parents, look up at the book shelf and what do I see? http://t.co/IFPemypCXD
15741110_393168312919547904 x	@MikeFerrinSXM so @JillHolbrook tried to get me to go to Duffy's tonight. I thought for sure it was a prank because we're part of Mean Girls
15741110_393188389350285312 x	@JillHolbrook @MikeFerrinSXM sadly I cannot. Heading to Philly to try on bridesmaids dresses in the morning. Also quality Big Sal time
15741110_393159583633375234 x	RT @SiriusXMSports: What are Todd Hollandsworth (@hollytime28), @KevinKennedyMLB, & Mike Stanton's keys to the #WorldSeries> >> http://t.co?
15741110_393139450714144768 x	How @StevensKittner describes each of our guestbooking styles:  "You're creepy, I'm awkward and unlikable." Basically spot on #analysis.
