306907001_371649461598322688 x	@ThisWeekABC so nice to see Jonathan Karl as non-biased host. Great job.
306907001_173784864120782849 x	What happened to the Sunday Funnies? We finally had Christiane bring them back and now they are gone.
306907001_168165094184845312 x	http://t.co/pYxiOnFo
306907001_399898448004403200 x	@HasselbeckE lose the IPad. U look like  stupid. It's like u need a crutch. U r allowed to make a mistake. Relax.
306907001_399895639796224000 x	@kilmeade bought ur bk. Can't wait to read it. Elizabeth can't read the TelePrompTer. Just let her do interviews. She needs to lose the IPad
306907001_399234613932863488 x	@ANHQDC ask them why their CEO gets $350,000 a year?
306907001_393718806092054528 x	@kilmeade why does Elizabeth always have her IPad on her lap? Security blanket?
306907001_393170591307403264 x	@realSHEPsmith why did u dis my Phillies today? We don't need reminding about Carter. I never dissed Ole Miss. Lol. Go easy on us.
306907001_389373861717766144 x	@ClaytonMorris Anna has a high opinion of herself. At least Barbie doesn't talk. Maybe she needs to shut her mouth.
306907001_388796183528751105 x	@JimAvilaABC why didn't you interview a Democrat too on the closing of NIH to new patients? Biased reporting once again from ABC.
306907001_387393815046152192 x	@megynkelly great show as always. Good to have u back but what's up with ur hair? It was so nice when u left on maternity leave.
306907001_385101444686176256 x	@GretchenCarlson remember that u r reporting hard news now. Lose the chatty Kathy act. And lose the earrings from yesterday. Trashy.
306907001_379267078978801664 x	Love seeing u on Fox. Always enjoyed ur show on CNN. Welcome to the big leagues.
306907001_358047700681367552 x	@gretawire why does the media including Fox continue to show those pictures of Trayvon when he was a little boy? He was 17 not 12.
306907001_354791603044483074 x	@gretawire Bernie was out of line tonight and owes those of us who defend GZ an apology. We are not racists.
306907001_352623671032025088 x	#AndreaTantaros great job on Greta tonight. But please get rid of that dress. Didn't do u justice.
306907001_350279969592717312 x	@HLNTV I think the tape shows she said "that ain't no Trayvon". She's twisting the truth to help the state. She needs to be impeached.
306907001_350279221802831874 x	@jvelezmitchell judge is definitely partial to state. Reprimands West like he's a school boy.
