227704307_377522859671048192 x	@Pogue was there any talk about OSX Mavericks today?
227704307_357687052097167361 x	@D_LEED I wish they would do the same thing with petroangelo
227704307_357596280723636224 x	RT @strikingmatches: Got a few big show announcements coming up this afternoon! Stay tuned!
227704307_357297130035101697 x	McCarver is a jackass, clearly he needs to learn how to read a map #ASG
227704307_357278028889456640 x	RT @SarahKSilverman: I am BLOWN AWAY by this boy. Please watch! http://t.co/qO28dDQHXJ
227704307_350734881170522112 x	RT @JonandSeanShow: Retweet to support Dutch #RightOnFightOn
227704307_349360631817846784 x	RT @ICole23: As stunned as I was watching "the Red Wedding" episode of GoT, I am 10 times more stunned right now...
227704307_341759047105658880 x	RT @KNegandhiESPN: In a few years, I imagine this will be part of the opening montage from Behind the Music: Broke at 30 http://t.co/gQebNP?
227704307_341758057266683904 x	RT @KariVanHorn: Mayweather bet $5.9 mil on the Heat tonight. He's about to win $23,566,000! #MoneyTeam
227704307_338488005595639808 x	RT @SludgeNation: #TJGrant will fight #BensonHenderson for the UFC LW title after knocking out #GrayMaynard.  #UFC160
227704307_336184716661227520 x	@LMPongia are you ready for #gameofthrones tonight
227704307_329226407358103552 x	RT @MPSPORTSWEAR: #GIVEAWAY #retweet all we need is 1000 more followers by Friday and 2 lucky winners will win a bundle package off http://?
227704307_329000405990256642 x	@DNFlyers i agree yandle is the guy, who would you give up for him, and do you think they get him??
227704307_328678401701466112 x	#gameofthrones with @Pongia45 @SamanthaPongia @Tod98
227704307_327583833690087425 x	RT @SportsCenter: With the 4th pick in the NFL Draft, @Eagles select Lane Johnson, OT, Oklahoma.  Three of 1st four picks are offensive tac?
227704307_319117776352604162 x	RT @JonandSeanShow: Follow & Retweet for chance to win tickets to @BellatorMMA and an overnight stay @RevelResorts this Thursday. We ...
227704307_316723008280596480 x	RT @ESPNStatsInfo: Delaware women have reached the Sweet 16 for the first time in school history.
227704307_312010336129662976 x	@billmeltzer I'm not a fan of bryz but do you think with terry Murray as coach his defensive system would help him have more success
227704307_312007061493919744 x	@NickKayal975  flyers season is over time to fire homer and lavy
227704307_311997129365282817 x	@RandyJMiller at some point homer has to be held responsible for putting together this underachieving and underwhelming roster
227704307_311905591637442560 x	New pope! #whitesmoke
227704307_302969295720312832 x	Just saw #warnbodies love #zombie movies
227704307_301698777172021251 x	RT @DNFlyers: Cechmanek? RT @TravisSBN: Minnesota HS goalie scores on himself, flips off his own team, leaves the ice mid-game. http://t ...
227704307_301536231894941697 x	Big road win for #Flyers
227704307_300765200129347585 x	@glenmazzara  can't wait for tonight #WalkingDead
227704307_300343995320647680 x	Big win by #Flyers 7 of 8 points on the home stand
227704307_300338259941277696 x	@tpanotchCSN what are these refs looking at? That's the third phantom call today
227704307_288463826549104640 x	#RollTide
227704307_287259367366082561 x	RT @MarkSimoneNY: Obama hated Mass. Millionaire Romney for only paying %17 taxes, now he appoints Mass. Millionaire Kerry who only paid  ...
227704307_219505318110044161 x	@tpanotchCSN any new news on Nash talks??
227704307_218524787339837443 x	@charliesheen Awesome premiere: loved #AngerManagement
227704307_181547189657550848 x	#walkingdead. Time!!
227704307_179388005474246656 x	@HARRYMAYES975 i loved the singing of the national anthem by the fans, it was awesome
227704307_179375694827098113 x	@Buccigross as peter laviolette said best typical Montreal"
227704307_176501749014740993 x	Goodbye dale.  #walking dead
227704307_175414595094196227 x	@JVReemer21 hope you have a fast recovery with no set backs
227704307_173163486900260864 x	@Jonnybones could you call a radio station for me so i can win a trip to flordia for phillies spring training?
227704307_172508871242424321 x	RT @Jonnybones: Now RT if you've gone nowhere near a gym
227704307_172451242642116609 x	@SamanthaPongia i called you, call me again
227704307_171814352016515072 x	@tpanotchCSN who would the Avs' be interested in moving for him, Johnson? duchene? doesn't seem likely
227704307_171701367348531200 x	@davegisaac i know it sounds like its dead, but wouldd u want to see nash in flyers uni? and at what price
227704307_170299506796142592 x	i like grossman, but i think maybe gave up to much to get him, your thoughts?
227704307_170295762134122496 x	@tpanotchCSN  i thought grossman would be a nice pick up, but i think they overpaid,  your thoughts?
227704307_167424838447804418 x	@NickKayal975 thats why woman should' t be allowed to ref, its the PMS FACTOR
227704307_167424248426663936 x	@HARRYMAYES975  in my opinion refs should be held acceptable, she made that call she should be docked tonights pay, cause that is a disgrace
227704307_167077734210732032 x	@TonyBrunoShow watching post game thats a disgrace to reporting by some broad asking brier if at some point a goalie has to win you a game
227704307_167077001809756160 x	@JayA_975 I'm more pissed at Voracek, he does so many good things, but man he could not hit the net to save his life
227704307_167074975084314624 x	@tpanotchCSN  i LOVE Wayne, but really, on a shoot out????
