296812621_203508019139584003 x	Feeling #inspired by our 55 5-year cancer survivors!! Wonderful to #celebratelife!
296812621_354979035270492160 x	RT @CancerCenter: Miss the opening of the Stem Cell Unit at #CTCAPA?  The Philly Biz Journal's got you covered with this nice recap. http:/?
296812621_271320887372967937 x	I guess @target never had any other honest shoppers before. This shouldn't be my mistake to have to fix. #noholidaycheer
296812621_271320499714408448 x	Frustrated with @target! Disconnected twice fixing a registry mistake - then given other shopper's email to work it out. How is that right?
296812621_268017641581596672 x	You will rock it @jesslaw! Wish I was running with you. Next year :)
296812621_266885861583511552 x	RT @RiceUniversity: Cancer Treatment Centers of America will test Rice-developed nanotherapy on lung cancer http://t.co/NqmLBCr9 #medical
296812621_256822663861899264 x	Sad we missed this in Sept @WaltDisneyWorld FIRST LOOK: Check out the inside of Gaston's Tavern in #NewFantasyland! http://t.co/OhgaJkO9
296812621_256523592651640833 x	WMGK Docs That Rock! I know our CTCA physicians are rockstars and this proves it! @CancerCenter docs know their music.
296812621_238676483147694080 x	@jesslaw umm yes. you had a look of pure terror. I didn't think you were going to make it through the meeting.
296812621_215764034698477568 x	@ESPngreeny the pressure on Andy Reid is crazy!
296812621_215086822253006849 x	@jesslaw any suggestions for nice nail salons in Bensalem? Looking to do a girls' day on Sunday. How about a nice place for lunch/dinner?
296812621_212274585071128577 x	@TSOLO1 with a mascot named Hooter what do you expect? @MeganToth1 what is this? RT @xb7:Temple basketball player arrested hiring prostitute
296812621_211459596999606273 x	RT @Ashley_Walters: Great quote: If marketing owns the brand, public relations own the reputation. #PRSARally
296812621_208334998665830401 x	It is seriously on now! http://t.co/hl2LYiwy
296812621_207860556143661056 x	@TheTothinator ohhh lord. i guess this means you'lll be tweeting more often now?
296812621_207814059712720896 x	Is it wrong to want to listen Christmas music right now? It's my favorite #Pandora station and I need a pick me up.
296812621_207842857472622593 x	@KarlRibas fine. I'm sticking with @mattnathanson. He's my fav (unless we're talking xmas).
296812621_207835131464007680 x	RT @CancerCenter: Some valuable info about #Melanoma from Dr.Quan, Chief of Medical Oncology at CTCA http://t.co/9ml1uwr8
296812621_207597158197768193 x	?@MarkRaganCEO: What makes a good PR pro: A degree or a journalism background? http://t.co/Ro4MAb5j #PR #journalism? definitely journalism!
296812621_207596264718729216 x	RT @GiulianaRancic: New Amazeballs episode of Giuliana & Bill tonight!!!!  Style network at 8/9c. Retweet to win a piece from my clo ...
296812621_205715685270224896 x	So no kiwilime stuffed french toast sunday?RT @CDCObesity Plan your holiday weekend with healthy eating choices in mind http://t.co/wYfwyLbo
296812621_205396889548496896 x	RT @WomensHealthMag: Perseverance is not a long race; it is many short races one after the other. -Walter Elliot
296812621_205382247501672448 x	RT @ASCO: What is the recommended timing for discussion of fertility preservation with female pts. with cancer? Case discussion: http:// ...
296812621_205360370670518272 x	So high heels could be behind my ITB issues? I need more flats! RT @NPRHealth Happy Feet: Tips For Healthier Running http://t.co/Y7ZibAV0
296812621_205267772404535296 x	So excited for our Greek feast tonight @jesslaw! It will be an awesome end to what's sure to be another busy day. #needthis3dayweekend
296812621_204632041034227712 x	Awesome! ?@TheEllenShow: What do you get when you cross poison ivy with a 4-leaf clover? A rash of good luck. #ClassicJokeMonday?
296812621_203514921747611649 x	RT @CancerCenter: Stephenson:Now is the time for the cancer community to band together and change the face of cancer care #celebratelife
296812621_203507292103118848 x	RT @CancerCenter: John McNeil, President and CEO of CTCA in Philly welcomes Celebrants to #celebratelife
296812621_203505640046465024 x	RT @CancerCenter: Watch #celebratelife LIVE!  It is amazing!  http://t.co/HUdozqzA
296812621_203502249027178497 x	So happy to be with our celebrants at #celebratelife!!
296812621_202908553592307712 x	Trying to plan our Alaska vacation stops while watching the #sixers. Nice Wednesday night if you ask me.
296812621_203091046312325120 x	@TSOLO1 next year? Long weekend over the 4th of July? Somewhere all inclusive? Think about it... it could be awesome!
296812621_192731152161832960 x	RT @TLouden3: 10, 9, 8, 12, 7, 6, 2, 1....Dick Clark countdown circa 2010. RIP. (Too soon?)
296812621_192723823303458816 x	RT @KomenMA: A special Chef of the Day is featured today. Learn more about guest chef Larry Kessel & @CancerCenter http://t.co/WjPvYax0  ...
296812621_192244525748596736 x	@jesslaw in chi-town for PA team meeting at corporate. Wish you were here! Loving the social media tweets though.
296812621_183220626931187712 x	Heading out to lunch on this beautiful Friday with the PA team :)
296812621_180460363979034624 x	@ESPNgreeny Wichita's Stutz looks like a taller version of you. #marchmadness
296812621_172065852194168832 x	RT @CancerCenter: CTCA, Philly celebrated #FatTuesday complete with appropriate cuisine and  the Mummer?s band strutting the halls. http ...
296812621_168503761004797952 x	@CNN are you telling me this is the only Whitney Houston video you have?? Stop the loop!
296812621_167278132779425793 x	At the airport and I hear an odd noise. I finally realize it is my iPhone blaring @mattnathanson in my bag. #embarassingandawesome
296812621_167276946877714433 x	RT @DietCokeUS: For each RT of this tweet today, we'll donate $1 to @TheHeartTruth. Ready?GO! #HeartTruth ?http://t.co/GnSmBaiT
296812621_166255559576784897 x	Just finished an 11 mile run! If you know me... 4 months ago you never thought this was a possibility. Did I mention it was under 2 hours??
296812621_165139235416965121 x	Just enjoyed lunch with one of our powerful and inspirational cancer fighters... by far the best part of my job! #kickingcancersbutt
296812621_165084744915222528 x	@MarkRaganCEO I go in with the hope that I will be able to help one more person find the care they need at a place I believe in. #healthcare
296812621_164704864826433536 x	RT @StatsMikeMike: Not saying it will happen, but can you imagine #Peyton in Philly's offense?? DeSean, Maclin, McCoy...Wow. #MaddenWhen ...
296812621_164520055206445056 x	RT @CancerCenter: As January comes to a close we want to pause and recognize all the women who are currently or who have fought cervical ...
296812621_164373700035096577 x	On my way to DC for an appearance on WUSA, lugging around a cooler full of food for the demo. Here we go!!
296812621_164061201687523329 x	I am now an official PR pro - just signed up for @PRSA, joined the health academy and the Philadelphia chapter.
296812621_162633596547510272 x	My dad's pathology report just came back clear! Take that melanoma. #kickingcancersbutt
296812621_162639771989053441 x	@LeeMags1 Thanks, Lee! I miss you guys a lot, too. It's weird how long I've been gone.
296812621_161998309567897600 x	@jesslaw whoa you have an iPhone now? *sigh* so much has changed.
296812621_162008221064769537 x	@jesslaw you've found my weakness. Terrible emailer! I'll reply tomorrow :)
296812621_161140606847029248 x	Off to run 9 miles. Longest run to date. Wish us luck!! #disneyhalfmarathon
296812621_161178671258931200 x	@TSOLO1 did the 9 miles on top of snow and ice. Disney has got nothing on me. Bring on Cinderella! #disneyhalfmarathon
296812621_160358956609441793 x	Good thing I'm always in a good mood :) @MarkRaganCEO Can your happiness impact your work in health care? http://t.co/4Y0yqSsA #healthcare
296812621_160347062678994945 x	Finally #Friday! It has really felt like a long week. Trying to be productive this morning and check-off my to do list!
296812621_160143829691940864 x	First piece of my Ariel costume has arrived. I didn't know I could get so excited about green sequins. #disneyhalfmarathon
296812621_160155235900325890 x	@TSOLO1 I'm beyond pumped!!
296812621_159799780271333376 x	@mattnathanson when will your Rachel Ray episode air?! #mustsetmydvr
296812621_158751730237063168 x	@KSchaner @jesslaw @mattnathanson just heard #modernlove live. So good!
296812621_158751499718103041 x	@jesslaw running against the wind! It's the perfect running song
296812621_158751126190174209 x	@mattnathanson was amazing... As usual. Wish he could have played for 2 hours!! #bestperformeroutthere
296812621_158695965497376768 x	Braving a crowd of Kelly clarkson fans to see @mattnathanson! I'll do anything for #modernlove.
296812621_158396919020916736 x	So excited to see @mattnathanson in AC tomorrow! Best present ever. But gotta get through my early morning run first. #6weekstildisney
296812621_157825350846529536 x	Checking out another hospital while waiting for my dad's surgery. I have a feeling this is going to be an educational day. #healthcarepr
296812621_157246963870478336 x	@todayshowhealth I'm training for my first half now. I wanted to challenge myself and see how far I could push my body. I am hooked already.
296812621_156905824617369600 x	My GPS watch says I just hit 100 miles. That feels so good. Less than 7 weeks until #Disney! The final training push is now on. #13.1
296812621_155484298563170304 x	Hey @MaryannVaughn I will be in Chadds Ford tomorrow for dinner. Any restaurant recommendations?
296812621_154909614687784961 x	Looking to book restaurants in #Disney for the #princesshalfmarathon next month. I can't believe it is this close! Recommendations?
296812621_154915099583320064 x	@jesslaw I keep hearing about Ohana - maybe we'll do that as a race night celebration!!
296812621_154913457014185985 x	@tsolo1 I know I shouldn't have... but I felt very torn last night but it has to be #tu through and through!
296812621_150298814035660800 x	Can't believe I am actually off work until after the new year. So excited to enjoy a little downtime. #ilovechristmas
296812621_148602539993088002 x	@jesslaw hey lady! How were your first couple of days? Just an FYI I survived the car ride to Scranton and back. Lol
296812621_148603848049704960 x	@jesslaw I will! I'm pretty sure I have your gmail. I'm glad things are good. I want to hear more about it.
296812621_148601912852357120 x	What a productive Sunday. Shopping: done. Wrapping: done. 8 mile run: done. Now it's time for bed!
296812621_148188398262292480 x	Almost done all my Christmas shopping. Now it's time for some serious wrapping!
296812621_147852064452657152 x	Never knew @Michael_nutter made an appearance in law abiding citizen. Caught me by surprise! After this it's time for a Christmas movie.
296812621_147302387533623296 x	Getting a list of topics to go over with @vaultcomm. Always love our meetings with the team.
296812621_147300993137262593 x	@jesslaw Not trying to make you cry... just letting you know how great of a friend/PR gal you are!! Good luck at your first day :)
296812621_145500640565669889 x	Over the turnpike and through the city to grandmother's house I go. It's cookie baking day! #ilovechristmas
296812621_145505664666574848 x	@jesslaw I hope they turn out okay! I'll bring you one I make
296812621_145360378841415680 x	Reflecting on an amazing thing my colleagues did for a patient today. It's good to work with such wonderful people. Now it's off to bed!
296812621_144963444985180160 x	Able to hold educated sports convos with the hubby. Gotta love @MikeAndMike. Ready for football Friday.
296812621_144964233543696384 x	@PhillyNewsEP oh I'm ready to see Benny the bull shaking it in the stands! Da bulls.
296812621_142767402747310081 x	My husband is the best. He bought me @justinbieber #underthemistletoe for my bday. Yes I'm 27 but he has #swag!! Love it!
296812621_142674575556231168 x	All I've eaten today is 4 mini-cupcakes. I'd call that a good Friday. Waiting to get more dessert at lunch with @jesslaw. #birthdayweekend
296812621_141948077337624577 x	RT @jesslaw: Any PR friends looking for an awesome job in healthcare PR in Philadelphia? DM me for details. Spread the word, please! #pr ...
296812621_141900613515620353 x	Just lit my Christmas decorations in my office! Now it's officially the #holiday season. I think I still need a few more lights.
296812621_138331813784461312 x	Just finished a five mile run. Nothing like the #Phillymarathon but I'm still so proud. #littlevictories
296812621_138331058537119744 x	@sarahw_graham awesome job Sarah!!
296812621_138093950006337536 x	@jesslaw was the company better than the movie? :)
296812621_138043545901727744 x	@angeef9 not #boring... Thrilling. Highlight of your freshman life. Ps your dress is too short. http://t.co/TrcuzIXR
296812621_138042339955441665 x	Hanging out at Solanco High waiting to watch my cousin in The Crucible. Go Tituba go! @angeef9 is here too! http://t.co/ZswclD7v
296812621_137981211321708544 x	Great day shopping for holiday decorations. Now it's off to Lancaster to watch my cousin in her high school play!
296812621_137637353710817281 x	Drinking hot chocolate as I wrap up some loose ends before the weekend. I have a nice little #Friday afternoon planned.
296812621_137620027980517376 x	Have so many media opportunities pending right now - it's really a rush! I guess I'm definitely a #PR gal now.
296812621_137148350041559040 x	Sitting at the train station getting ready to head up to NYC. Of course it needed to be be a cold windy day today.
296812621_136637735460012032 x	@anthonyjhopkins whoa whoa!! #coachk is a legend. Watch it ahop! :)
296812621_136636563235934209 x	#coachk is so awesome. True class.  What an amazing night for an amazing man and program! #903
296812621_136565948546170882 x	@juliekimNYC yes! I broke free 7 months ago and haven't looked back. I didn't know you were in PR too until I found you on twitter.
296812621_136088927911161856 x	RT @MarkRaganCEO: 6 clever ways to use social media at your hospital http://t.co/JSZeijVB #hcsm
296812621_135817729218318336 x	Just finished a 4 mile run! Disney here I come! #halfmarathon #princessintraining
296812621_135740627039170560 x	@TSOLO1 no... I haven't seen my boyfriend in awhile. I get enough cut-offs from the hubby. Just not as many if the home improvement skills.
296812621_135088176015482880 x	I couldn't agree more. ?@Shama: All good things in life should be started with a nap or two.?
296812621_134464903980384256 x	Just watched @mattnathanson rock the #cmaawards!! Amazing performance of an amazing song. Only reason I watched. Love him.
296812621_134062758881800192 x	About to book our trip to Alaska! We are really becoming globe trotters... Just not the Harlem kind. #princesscruise #anniversarytrip
296812621_134063738738327552 x	@jesslaw have fun tonight. I'll be looking for those tweets!
296812621_133703932949176321 x	Sitting in traffic trying to get into the lot. At least we have a parking pass! #mnf #gobirds
296812621_133693787749879809 x	Enjoying dinner in a fine south Philly establishment. It is a sea of green. So pumped. #mnf #gobirds
296812621_133656474424573952 x	@GregoryJToth too afraid to wear your jersey? doesn't sound like a real fan to me. #eaglesrule
