353930296_396469423696912385 x	@KNegandhiESPN yes it's rough to be a philly fan
353930296_396466121919844352 x	@Winless4Wiggins wtf dude they got me so confused as much as I want wiggins it's hard to root against when it's tight in the 4th
353930296_396410675394019328 x	@terilyns68 I can't wait till we can say that in March.....one of these days
353930296_396412662869143552 x	@terilyns68 yeah I think it's coming in a few years
353930296_396412986451324928 x	@terilyns68 yes young players trending upward make losing tolerable if the future looks bright
353930296_396410393616457728 x	@corrado_19 flyers win.....sixers loss
353930296_396403758328197120 x	@Mal_C_Regan your in your prime champ
353930296_396408391184441344 x	@Mal_C_Regan ahhhh that's a great age
353930296_396409186852274176 x	@Mal_C_Regan there ya go!!
353930296_396407934340845568 x	@TheRealDGunnCSN one of many
353930296_396404187325403136 x	@angelayee looking good in them boots
353930296_396362274375360512 x	@BCini unfortunately it happens with age
353930296_395757083620311040 x	@EyeAmKSON I remember when the top 5 were nas jay wu tang dmx  And pun that list is horrible
353930296_395764682575073280 x	@EyeAmKSON I hear ya
353930296_395755161404309504 x	@EyeAmKSON that's sad
353930296_395754443721162752 x	RT @fakelavy: Congrats to BAWSTAN you spoiled mother fuckers.
353930296_395750997668397057 x	@alleniverson great press conference !!
353930296_395734339667107840 x	@chris_baynard but when they usually comeback all their whack fake fans left the arena lol that would NEVER HAPPEN in philly #realfans
353930296_395739628109828096 x	@chris_baynard no question
353930296_395735882474717184 x	RT @RoobCSN: No NBA player in last 25 years has had 22 points, 12 assists, 9 steals and 7 rebounds in any game. MCW did it in his first gam?
353930296_395733153094332416 x	@Winless4Wiggins you see you're trend came true right? http://t.co/a8Trx8wNnR
353930296_395732516495437824 x	@Winless4Wiggins it's trending!! http://t.co/YirocLAnlE
353930296_395725857375158272 x	@did76win haha you are feeling salty about that pre game turnover count tweet the answer is 1.....AND DAMN NEAR A QUAD DOUBLE!!
353930296_395728257376878592 x	@did76win lol big time
353930296_395727733361487872 x	@lemar81m no let's do....sports are brutal in philly right now
