1275492079_369507447381037057 x	Going to the Phillies game with my sis Shion tonight!!!
1275492079_369441203231551489 x	Follow me on Instagram. Search _kayla1237_
1275492079_369243238063808513 x	So bored
1275492079_399573788054278145 x	Follow me and vitamarita 's bucketlist account!!! bucketlistwithgirls http://t.co/gleDdGkREF
1275492079_399524223627956224 x	I #votearianagrande for the 2013 #MTVEMA Artist On The Rise! See who's in the lead and vote: http://t.co/3AkAqmX5pb @ArianaGrande
1275492079_399523592712372224 x	I #votearianagrande for the 2013 #MTVEMA Artist On The Rise! See who's in the lead and vote: http://t.co/3AkAqmX5pb
1275492079_399379670887833601 x	Sleepover with tha mmainn biach vitamarita #love #TagsForLikes #TFLers #tweegram #photooftheday? http://t.co/0si2b0Vs3g
1275492079_399323382216679424 x	@instagram someone on vine said the government shut u down
1275492079_399321438441979904 x	Please let my idol win!!!!! #votearianagrande @ArianaGrande She deserves to win!!!!
1275492079_399297675528781824 x	New Jersey... a state with the most beautiful night skies and nature  #love #TagsForLikes #TFLers? http://t.co/MBJPGBIcYS
1275492079_399269314643378176 x	Hershey's Chocolate Bar Cheesecake #love #TagsForLikes #TFLers #tweegram #photooftheday #20likes? http://t.co/yXsOP77wMi
1275492079_399199636369330177 x	I #votearianagrande for the 2013 #MTVEMA Artist On The Rise! See who's in the lead and vote: http://t.co/3AkAqmX5pb
1275492079_398596998082748416 x	I #votearianagrande for the 2013 #MTVEMA Artist On The Rise! See who's in the lead and vote: http://t.co/3AkAqmX5pb
1275492079_398257343500005376 x	I #votearianagrande for the 2013 #MTVEMA Artist On The Rise! See who's in the lead and vote: http://t.co/3AkAqmX5pb
1275492079_397032089327263744 x	RT @ArianaGrande: One more flight, so sleepy. Can't wait to get to Germany.. What should I make sure I see while I'm there? I'm visiting Fr?
1275492079_396730080275476480 x	Parents be like... https://t.co/z82Hp5og3c
1275492079_396622595019505664 x	Why Asians Shouldn't Be Teachers #comedy #asian  https://t.co/lcKtOUVcAc
1275492079_396622358288809984 x	Jim Carrey Regarding Miley's VMA performance #comedy #vma #miley #funny #STOPBREAKINGTHELAWASSHOLE https://t.co/sZttSXk6mV
