394429838_394881712926490625 x	@KarisGret @MaryMarcinczyk @Cassassieee @Tay_Wolfff @BGallagher22 @JessicaPiperno my room!
394429838_393112453758087168 x	@Cassassieee @Tay_Wolfff too late
394429838_389575256467587072 x	Hall meeting swag http://t.co/7jLqfnm0hL
394429838_388467987768160256 x	@Tay_Wolfff got dem tissues READY!!! ???
394429838_387621071811534848 x	Just saw a boy walk outside with a muscle tee, shorts, flip-flops, and a ski hat.... I think he's a little confused
394429838_386140139522891777 x	@KarisGret @Tay_Wolfff I told you to stay away. And let's remind everyone, I wasn't the first one with this illness.
394429838_386141042900467713 x	@KarisGret @Tay_Wolfff haha it happens. My cleaning people are here so I went to sit outside so I didn't get them infected too #loner
394429838_386141502914953216 x	@KarisGret @Tay_Wolfff haha yes we are. And I had to go to class.
394429838_386142232501571584 x	@Tay_Wolfff @KarisGret all the  classes I has to go to while sick
394429838_386138163187826689 x	@Tay_Wolfff I told you not to drink my Gatorade!!!
394429838_380715434284437504 x	@Tay_Wolfff 'hey Taylor, what song is that?' 'Oh this, it's the sound of my new baby's urine. It's my jam!'
