465156798_391532152078483456 x	today is the dayyyyy
465156798_395711875272679424 x	if the @Sixers would make their lay ups, that'd be grrrreat...??
465156798_388779865375531008 x	@BINKYndTHEbrain you can most definitely say sucks for me lol it been awful!
465156798_395563329479254016 x	"a true friend is who walks in when the rest of the world walks out. a true friend is someone who lets? http://t.co/vts0CrbYzA
465156798_395394267021328384 x	RT @SonsofAnarchy: ?Please let me back in.? #SOAFX
465156798_395054944837173249 x	watching the notebook is actually causing me physical pain right now.
465156798_395025129409105920 x	people that come into a bar after 10 and sit and drink water after having one beer....DIE ?????
465156798_395011556637171713 x	RT @UberFacts: Sleeping on the left side of the bed makes you more positive and cheerful.
465156798_394945824914169856 x	got myself from camden to swedesboro in under 20 minutes. new personal record ??? #movebitchgetoutthaway
465156798_394943631892942848 x	I just love the sky
465156798_394687471013076992 x	I'll have the mahi mahi, but can I just have one mahi..because I'm not very hungry
465156798_394657547225165824 x	I wanna send the middle finger back, upside down ?@dnfearon
465156798_393937935210655744 x	11:11
465156798_393850662498627584 x	on the corner of Broadway & paternity. make sure that shits yours, Camden ? http://t.co/QmSmQW7zNM
465156798_393550917821554689 x	cin/sugar rim on seasonal beers is #necessary??
465156798_393453151489392640 x	when life gives you lemons, just say "fuck the lemons!" and bail.
465156798_393350534801158144 x	RT @disneywords: Curiosity often leads to trouble. ?Alice (Alice in Wonderland)
465156798_393348063659835392 x	boycotting leaving my bed...
465156798_393026958092951552 x	RT @Heart_LessGirl: Merp
465156798_392809439558127616 x	RT @ILLUMlNATI: No matter how long it takes, it will get better.
465156798_392731681511440384 x	?
465156798_392662639975071744 x	@mawgiemawg @davisss_sammm so betches, when we rescheduling for!?
465156798_392658258374434816 x	@demasj26 so what you're saying is you don't want to come visit me at work?
465156798_392634941248638976 x	295N morning traffic just puts me in the best mood! ? #NOT ?
465156798_392492460053909504 x	RT @WorkaholicsQ: Have you guys ever met someone that just gets you on all levels? Makes you feel like your souls are boning each other in ?
465156798_392457735549517824 x	@dnfearon what does it come with?......balls of what? ????
465156798_392425377261707265 x	@dnfearon hands at 10 & 2 ?
465156798_392418450888740864 x	@mawgiemawg I absolutely promise I'll be there! #AC ain't ready for alll disss?????
465156798_392393953020215296 x	@cjmooney31 people in Camden are the truestttt to this ?
465156798_392384608857497600 x	full of the single greatest commodity known to man: promise. promise of a better day, promise of a greater hope, promise of a new tomorrow.
465156798_392304808314822656 x	RT @AllAboutPisces: #Pisces are full of charm and good manners.
465156798_391942533838020608 x	green eggs cafe ????
465156798_391775364655382528 x	RT @MiguelUnlimited: Decided to play a small set w my band tonight in around 30 minutes somewhere here in Philly...
465156798_391774493322252288 x	getting ready for champagnepapi to serenade us all night long ?? #NWTS http://t.co/x54vGVwqzl
465156798_391723667811741696 x	wait, WUUUUUUUT?
465156798_391696466273918976 x	en route to be serenaded by @Drake ??
465156798_391669700218073088 x	RT @dnfearon: DRAKE concert tonight! OMG its reallyy hereeee @Scostigan18 @MissABakerr @iFearNone10 @ryan_neal44
465156798_391404096156336128 x	as long as my brother is living here I can count on pats pizza being here at least 3 times a week #????
465156798_391274809684144128 x	my mom just sent this to me saying "wish you were here" ? so do I Jo, so do I http://t.co/g0rbOHRCdK
465156798_391067081418235904 x	RT @dnfearon: @Scostigan18 shrimpppp ?
465156798_390899553819713536 x	RT @BINKYndTHEbrain: Government reopens, we have a pizza party. Well of course lol @scostigan18 eflecha http://t.co/TeqU679jfL
465156798_390640695461306369 x	?
465156798_390280342332248064 x	my one true love: mike&ikes ?
465156798_390213803607990273 x	@demasj26 lookey lookey what I found on my phone. you're such a cherub ? http://t.co/7HP2sE1t9e
465156798_390102208815333376 x	?
465156798_389788667646345216 x	@SillyWilly_52 happppyyy 21st birfday boiiii ???
465156798_389788426859724800 x	wish us luck america ?? #theamazingrace24 http://t.co/mnihOOFxxH
465156798_389778913557512192 x	@dnfearon @iFearNone10 @ryan_neal44 @Drake 5 days and counting ladies and gents ??
465156798_389758788129292288 x	RT @maria_hannan: hey thanks Christopher ?
465156798_389606432053932032 x	feels like this entire weekend was a blur ? #crossyourfingers #bigthingstocome
465156798_389264280325218304 x	RT @dnfearon: 3rd in line #postedup
465156798_389066334170275841 x	?
465156798_389031533530873856 x	patiently waiting for noon ? @dnfearon #ticktock #TAR24
465156798_388930522258636800 x	is this real life right now?
465156798_388768298521100288 x	a man in the Camden post office mentioned he just got off a space ship ? I'm sure you did my man, I am sure you did....
465156798_388773824264957952 x	@BINKYndTHEbrain been here all week?
465156798_388785649559805952 x	@BINKYndTHEbrain ????
465156798_388714446065262592 x	@demasj26 lets be honest, you're probably not that productive/useful before lunch either...
465156798_388718085123100672 x	@demasj26 jk ? I'm sure your the best accountant in all the landddd
465156798_388714174190485504 x	RT @demasj26: I do zero productive things after lunch on Fridays. Clocked out mentally.
465156798_388707581767974912 x	pink hair selfie ?? thanks @dnfearon ? http://t.co/5cRe5VE2Zi
465156798_388689819624538112 x	now ya talkin my language, now ya talkinn my language
