262742736_394235216489086977 x	RT @Partyprobs: "Trust me, you can dance" - Vodka
262742736_395242324839919616 x	RT @BaruchelNDG: On some "cuddling with cats and eating hungry man meals" shit.
262742736_391055386641727488 x	I bet you are wondering why I gathered you all here today.. #cats #catcity http://t.co/UrEEexMA0Y
262742736_395757112061882368 x	RT @JamesFrancoTV: #Cats - Marilyn and Andy loved cats http://t.co/3lTGmvZPVo
262742736_395755096078045184 x	Red Sox won the World Series? Guess I'll be avoiding Facebook for the rest of the evening.. #blowinupmynewsfeed
262742736_395621161373274112 x	Just what I needed.. A reminder that I'll be another year older in 32 days.. #great http://t.co/1MvGrwifIa
262742736_395400619995189248 x	Carved pumpkins, watched Scream, now enjoying Friday the 13th on #AMCfearfest. Officially in the Halloween spirit.. http://t.co/jpUBueSq1f
262742736_395535579305480193 x	?@EldridgeBilly: @AshTheKid that pumpkin is awesome!? My 8 year old self would have been so proud.
262742736_395530808301461504 x	RT @TheArtotSteal: TRAILER: The Art of the Steal with Kurt Russell, Jay Baruchel, Matt Dillon...  http://t.co/Ycl32PRhea  Coming soon to th?
262742736_395401241666523136 x	Big fan of the new twitter layout.?
262742736_395243917396148224 x	I need a vacation.. I've experienced one too many dreary Tuesday in nepa in a row. #nepa #vacation #ineedabreak
262742736_394200248396288000 x	#beatlejuice on @ABCFamily right meow #13nightsofhalloween
262742736_393552815333056512 x	@AllisonAmelia prepare yourself.. It's really intense #ipeedalittle
262742736_393054099408551936 x	This Video Uses Jelly Beans To Show You How Much You?re Wasting Your Life (Video) http://t.co/KyF3Bc4lzM via @EliteDaily
262742736_390860273277734912 x	RT @kevinpollak: Twitches! My pal @LianeBalaban made this vid w/ Jay Baruchel for a damn terrific cause - Please help share it. http://t.co?
262742736_390716029477093377 x	Oh my #AMCfearfest.. Scream is on right now! #thankyou! #nosleeptill scream is over.
262742736_389564012268355584 x	#TheWalkingDead Rick's #threequestions
262742736_389490549755240448 x	Greatest cookies.. #glutenfree #cookies #sogood ? http://t.co/dnnZtrTr8t
262742736_389043316941418496 x	Good morning New York City!!!!
262742736_388853015597572096 x	@auntjesssays it was a beautiful show.. I didn't want her cuntiness to spoil everything
262742736_388850240046235648 x	Got up to leave after the show and realized I was sitting in the same row as Ann Coulter... No wonder it was so chilly in there..#firstdate
262742736_388814473072746496 x	So excited to see First Date!!! ?#Broadway #fun http://t.co/m7f3tpRyNe
262742736_388658305121681408 x	I love New York in the fall, it makes me want to buy school supplies.. #youvegotmail #NewYork
262742736_388649404053618688 x	RT @Lifeisgood: The way you choose to see the world creates the world that you see. #perspective
262742736_388635888089333760 x	Going to be in #nyc the same weekend as #ComicCon and #TheWalkingDead  cast.. Someone pinch me.
262742736_388513504833310720 x	Perfect night to lay in bed and enjoy #TheWalkingDeadMarathon #AMC
262742736_388499569216335873 x	T-minus 7 hours until my weekend in NYC begins! #NewYorkCity #newyorkstateofmind
262742736_388428505312395264 x	Photo: Well I?ve spent more time on tumblr in the past 24 hours then I have in my whole life. And all I have... http://t.co/SbWiWl0pmB
262742736_387317000676311042 x	Have to say @MileyCyrus killed it on #SNL .. #funniestsnl I've seen in a long time..
262742736_384336896815804416 x	#BreakingBadMarathon leading to the #BreakingBadFinale = #Breakingmyheart!!
262742736_381802225636372480 x	Happy Birthday @AllisonAmelia! It was so much fun spending #birthdayweek with you! Enjoy your day! #loveyou http://t.co/jk0H7HAqGt
262742736_371804400358289409 x	What is happening.. #VMA
262742736_368171772371537920 x	RT @tieks: #TieksSummerBox giveaway ends Thursday! $100 Tieks Gift Card & much more. Have you entered yet? https://t.co/uj1HAPdUOw
262742736_365692175117324288 x	Drinking beers and getting weird
262742736_365348291241717760 x	Today I vow to never again hold something in because of fear of what people will think. #nofilter #youvebeenwarned #imbackbitches
262742736_358794389532848129 x	I make the same mistakes, feels like I'll never learn. Always give way too much for little in return.. #ihaventchangedabit #echofriendly
262742736_356458984724631552 x	And now #Thelittlerascals is on... #happy90skidday
262742736_356409301444726786 x	Hate when I get woken up early when I'm trying to take a coma. Luckily #homealone is on. #christmasinjuly
262742736_354987026631757824 x	Not ashamed to admit it, I'm loving Laguna beach on MTV. #dunzo
262742736_347022028483731456 x	RT @lnsaneTweets: Our kids will probably go to a middle school dance and theme is the 2010?s. They'll wear leggings with ugg boots and twer?
262742736_347021512961835009 x	RT @feministtswift: He opens up my door and / I get into his car / And he says "You drove last time so I figured it was my turn. And you lo?
