94019141_391827118327603200 x	born to run
94019141_392034859407134720 x	RT @sbaickerCSN: Who's gonna start @DidThEaglesWinAtTheLincYet?
94019141_396155843563241472 x	sorry to see Max go loved the way he plays the game and also his character , fuck yeah max talbot good luck with the avs
94019141_395840793728282624 x	also congrats Shane Victorino on 2nd ws good guy, great player much deserved
94019141_395830748701523968 x	so happy about what MCW did tonight, wow, what a debut
94019141_395753990392385536 x	RT @Stephhh2128: One day my flyers will win a championship #StanleyCup
94019141_395743095167647745 x	RT @alleniverson: Philly I'm back!!! #FromAIWithLove ... #TheAnswer http://t.co/KrN1axDp7w
94019141_395724466967564289 x	fuck yeah sixers waita be
94019141_395724110065840128 x	RT @SportsCenter: 76ers SHOCK Heat in Philadelphia, 114-110.  Rookie G Michael Carter-Williams with a HUGE debut: 22 Pts, 12 Ast, 9 Stl, 7 ?
94019141_395722562585776129 x	RT @KNegandhiESPN: MCW putting together one of the best debuts ever in a @Sixers uniform. What a night for the rookie vs. the Heat.
94019141_391734815814582272 x	Shalalalalalalala (definitely one of my favorite vines) https://t.co/0LF6CbCZ1r
94019141_395722478640979968 x	RT @Sixers: Oh, and did we mention that @MCW1 has 20 points, 12 assists, 9 steals, and 7 rebounds tonight? Not bad, rook.
94019141_395701164962246656 x	RT @jmccann0815: I just love the sixers so much
94019141_395685387227906049 x	RT @K_Mac_14: I would have no qualms if Andrew Bynum had a career ending injury tonight
94019141_395647610796933120 x	RT @MBarkannCSN: That's it.  The incomparable Allen Iverson.  Incredible Allen Iverson.
94019141_395647593835147264 x	RT @MBarkannCSN: Don't close that door in your life.  Because people like that do come along.  Owe a lot to him...  Aaron McKie...  Yeah...
94019141_395647087070937092 x	RT @donovanjmcnabb: Huge Congrats to my former Big East  basketball partner, Philly sports star and brother. Well deserved honor for all th?
94019141_395641041191460864 x	miss AI,  he always gave every he had absolutely everything gotta love a player like that also he was 6"0 so small for the NBA
94019141_395640707593289728 x	RT @BleacherReport: LeBron James calls Allen Iverson "pound for pound the greatest player ever" http://t.co/2nM0s88MK4
94019141_395640404420599808 x	I still hate Evan turner and think he's terrible
94019141_395640280747368448 x	Brett Brown great coach I think he's gonna be, also Nerleans  hopefully will work so much potential, MCW too
94019141_395640115533733888 x	Honeslty I'm excited to see how bad the sixers are gonna be but I love the direction of the team...the future looks brighter than before
94019141_395639859358220288 x	RT @indigoblur: Thank you, but I don't need your spiritual guidance. I own the complete Springsteen discography.
94019141_395639779276382210 x	RT @Eagles: From our own 10, 9, 8, 7 to the @Sixers: Good luck this season!  #TogetherWeBuild #FlyEaglesFly #BrotherlyLove http://t.co/RCDm?
94019141_395455794504024064 x	RT @kingcauction: My wigi board don't ever lie to me
94019141_395398687738052608 x	RT @Robert_Gaudio: Noah's my hero http://t.co/CK1tiKunzc
94019141_395375571045474304 x	pumped about the new album or the likely new album
94019141_395375497347346432 x	so pumped about next spring Bruce and just stuff and spring is gonna be sick, right now is sick too but i'm just sayin spring?unreal
94019141_395375324948492288 x	killin it Bruce  Bruce Springsteen - I'm Going Down (Pro-Shot - Hard Rock Calling 2013): http://t.co/pyuFNg0Uwe via @youtube
94019141_395273331681005568 x	he's been terrible ?@AdamSchefter: Sounds like New England close to trading for Eagles DT Isaac Sopoaga.?
94019141_395269334123421696 x	kidding they don't just wanted to make a somewhat politically incorrect joke
94019141_395269065159483392 x	they call me Muhammad Ali cause I shake a lot
94019141_395065007173824512 x	RT @CameronRaee: the sun must set to rise
94019141_395019578331639809 x	PK Subban is the best defenseman ?@kingcauction: Budaj earned that shutout. Only thing missing from that game was a @BrandonPrust8 scrap.?
94019141_394945922708541440 x	sup Burt Wonderstone
94019141_394908352003993600 x	do only Americans and some others have middle names i feel like a lot of people in europe don't have middle names
94019141_394904719225004033 x	sup Trayvon
94019141_394899952906014720 x	who's coming to South Africa with me to see Bruce at the end of january, great thanks for paying as well. it's gonna be unreal
94019141_394750474781753344 x	Bruuucceeee
94019141_394750391478661120 x	RT @GreasyLake: BOOM! Springsteen to play Cape Town (Jan 28-29) and Johannesburg (Feb1) Tickets on sale Friday http://t.co/7fPaTxMWn9
94019141_394654153181777920 x	RT @LesBowen: Eagles fans, tired of stewing over losing to team that didnt score a TD? Ponder how long Iggles'll play w/Matt Barkley backed?
94019141_394571162094944256 x	RT @RoobCSN: Total yards: Calvin Johnson 329, Philadelphia Eagles 201.
94019141_392017411769372672 x	Worst throw ever even though d was offsides worst throw ever
