19521462_395036315940421632 x	RT @STL_Blonde: #Rams played their hearts out with their backup QB.
19521462_387784484302901248 x	RT @greggutfeld: Back on #redeye tonight. I flossed.
19521462_398175254709014528 x	@BrookeBCNN their loss is ur gain!!!
19521462_398175057840979968 x	@BrookeBCNN brooke ur my favorite!!! But Joey Jackson is my favorite analyst. So articulate. Fox News should have kept him on retainer!!
19521462_395565998645854208 x	Ok
19521462_395238056045056000 x	@Ginger_Zee @abcworldnews ur on nightly news all week?
19521462_395036106418552832 x	RT @aprildgregory: Favre would've made that TD pass. #mnf
19521462_394894747380101121 x	@newsjen it's been a year since the open carry law went into effect. What is the impact-positive or negative- that it has had on the state?
19521462_394894237260447744 x	RT @Ginger_Zee: On my way back to the city for @ABCWorldNews - talking storm in Europe, snow out west & YOUR Halloween forecast!
19521462_394594601727574016 x	@Ginger_Zee when is the next #askginger segment?
19521462_394529329293434881 x	@julieroginsky I thought u were more of a Manilow/air supply fan...
19521462_394525594936803328 x	RT @SportsNation: BREAKING: The Jaguars are not very good.
19521462_394524851773272064 x	RT @AZCardsFanClub: We are looking for writers to cover the NFL this season.Click for more details. http://t.co/GySYjnddmS #AZCardinals #nfl
19521462_394521851969277952 x	RT @patrickcarney: R.I.P. Lou Reed.
19521462_394520308628992000 x	@BrittJeffers r u in the anchor chair tonight?
19521462_394520231013384192 x	RT @BrittJeffers: FOX23 is on the scene of a 3 car crash on Hwy 169, northbound lanes. Police say speed played a factor. #FOX23.
19521462_394506330347548672 x	?@HTC_Shannon: @TexansCheer @HTC_Allie @HTC_Sarah @HTC_Madison http://t.co/3UejBg7WqE?---where was this picture taken?
19521462_394506330259468288 x	RT @HTC_Shannon: @TexansCheer @HTC_Allie @HTC_Sarah @HTC_Madison http://t.co/JKnZFBAKg8
19521462_394505540342001664 x	?@HTC_Amelia: ?@alliharvard: it is never cool to act dumb.? Couldn't agree more my friend.---r u in college now?
19521462_394502168541024256 x	@MarlaCarterKJRH shy don't we see u on TV anymore?
19521462_394468775266758657 x	?@Ginger_Zee: Getting a touch up - see you in a bit on @espn @NFLCountdown #footballforecast?---around what time?
19521462_394409642442252288 x	@JonathanHoenig good segment. articulate as ever.
19521462_394292190098120704 x	RT @SportsCenter: TIE BALLGAME! South Carolina drives 63 yards to tie it at 17 vs. No. 5 Mizzou with less than a minute left. #SCvsMIZZ
19521462_394290806380453888 x	RT @Godforshort: Keep fighting boys write your own ticket too the SEC CHAMPIONSHIP....LETS GO #MIZ PROUD MIZZOU ALUM
19521462_394257679570333696 x	RT @STL_Blonde: Touchdown was I guess 96 yards, #Mizzou leads the #Gamecocks 14-0.
19521462_394257322526011393 x	RT @SportsCenter: Perfect no more! No. 10 Texas Tech falls at No. 15 Oklahoma 38-30. Tech falls behind Baylor and Texas in the Big 12 stand?
19521462_394257264497815552 x	RT @Deana_Silk: Now that's a football game!!!! #BoomerSooner #OU_Sooners
19521462_394256696618414080 x	?@HTC_Ashley: Love ? #HTC #Texans #Cheer #Pink #Ending #Pose http://t.co/ABespHFIRa?---pink ur favorite color?
19521462_394252252832997376 x	RT @Mediaite: Limbaugh: Even 'True Believers' Like Kirsten Powers Jumping Ship From Obamacare http://t.co/BO8yLWt7Xm (AUDIO)
19521462_394249025718714368 x	@goodwyne @billhemmer @foxnews meanwhile...fox news ratings have never been higher!
19521462_394248431096459264 x	@BillHemmer @foxnews that means u won't be hosting whatever show u host tonight?
19521462_394248158135345153 x	RT @BillHemmer: Rare sight.  Best game of the day.  #TexasTech and #Oklahoma on @foxnews.
19521462_394247267558764544 x	RT @MikePaterno: @bigsquirrel @STL_Blonde Do you mean "The Coach Who Couldn't Cut It In The NFL"? :P
19521462_394247194766626816 x	RT @BonnieBernstein: I wish World Series games could be put on pause for the weekends. #FootballRules
19521462_394246699872313344 x	RT @shibanijoshi: What an amazing game!! Amazing football being played on @FoxNews right now. @UofOklahoma
19521462_394246588106686464 x	RT @uoklasports: TOUCHDOWN OU!!!!
19521462_394246385274351616 x	RT @NBCNews: Five shot dead, including suspect, at Phoenix apartment complex. Two dogs also found dead http://t.co/2fSlzF7HIO
19521462_394246214687801344 x	@STL_Blonde I believe it's "ole ball coach"
19521462_394245954968104960 x	RT @OU_Athletics: Remember fans, for many of you the game is now on FOX News because of the World Series.
19521462_394245870473842688 x	RT @AndrewGilmanOK: #Sooners have never lost on Fox News.
19521462_394245464775614464 x	RT @RickLeventhal: i can't believe i'm watching texas tech/oklahoma on FNC...  very, very cool
19521462_394245313117949952 x	RT @EricBaileyTW: Sooners take over at own 42. First-and-10, 1333 left.
19521462_394245160814379008 x	@laurenleefox13 dang how many times have u been married?
19521462_394244393722314752 x	RT @MartinaFOX23: Update: At 6:30 local coverage of the OU game will move to MY41. The World Series will air in it's entirety on FOX23
19521462_394244298033463296 x	RT @SarahFortnerWx: It took FSU 13 minutes to cover the spread of 32.5.  Just saying.  via @BergLindWall
19521462_394243806846935040 x	RT @CindyWMorrison: It's a ball game again! We're a trending topic on #twitter!!! Poor FOX stations...having to move to World Series. #Rati?
19521462_394243677360361472 x	RT @SportsCenter: WHAT A PLAY! Lacoltan Bester weaves his way into the #SCtop10 and gives No. 15 Oklahoma a 28-24 lead at No. 10 Texas Tech?
19521462_394243596867497984 x	RT @uoklasports: TOUCHDOWN OKLAHOMA!!!!   Can i get a RT?
19521462_394243577242333184 x	@BrittJeffers except OU is playing so I would be watching the game. Sorry.
19521462_394243079512674304 x	RT @JenniCarlson_OK: Big answer from the #Sooners. OU 28, Tech 24. Shootout, engage.
19521462_394242402434560000 x	@lauren_marie23 when did u start liking Texas tech ? 3 quarters ago?
19521462_394233237137936384 x	RT @CindyWMorrison: ?@OU_Football: Another celebrity #Sooners fan! @carlychaikin- Star of @ABC's Suburgatory- kicking it at Owen Field. htt?
19521462_393844565066911744 x	@LynnBerryTV French maid complete with the feather duster
19521462_393803599861383168 x	@LynnBerryTV @eveningexp it's a shame u don't reply to any of ur tweets.
19521462_393797674844950528 x	@Ginger_Zee please tell us u will be back reporting the weather in the studio tomorrow?
