1564108777_395398728808271872 x	@JoshJanet Well put. Great article
1564108777_395395162802626561 x	I totally forgot MacGyver wears a Calgary Flames hat in some episodes
1564108777_395384476055769088 x	Poor Timonen. His early season decline is eerily familiar to Roy Halliday's this year with the Phils. #Flyers
1564108777_395382024803860480 x	Mason let up 3 goals and still ended the game with a .919 sv%. now .928 on the season. #Flyers
1564108777_395378843105492992 x	@BroadStBull "We didn't move our feet." "Time's yours."
1564108777_395377797482307584 x	This CHI OTT game is wild... 6-5 CHI with 5 mins to go
1564108777_395374949944131584 x	Toews is so good
1564108777_395374345658179584 x	This is making tonight's loss a little better RT @RadicalMeow @bbrbrts http://t.co/oLjbasWhYB
1564108777_395371603778732032 x	@RadicalMeow Hahahaha. More of this please
1564108777_395373587734863872 x	@RadicalMeow Hahaha. This is making tonights loss so much better
1564108777_395367620121473024 x	RT @jsaquella: Perhaps the Flyers wouldn;t run out of gas if their fucking 4th line could play more than 5 minutes?
1564108777_395365124753477632 x	@CoverThePuck On the bright side, Voracek looks to have his legs fully back...
1564108777_395364419791642624 x	I'm still mad the #Flyers don't have Kane
1564108777_395363776045649920 x	What game should I put on? CHI OTT? WPG STL? I guess Chicago
1564108777_395362398519185408 x	RT @DidFlyersWin: If it was a two period game then yes. But it's not, so no.
1564108777_395362186622939136 x	That's hugely disappointing. #Flyers
1564108777_395359667976957952 x	What a difference from 1st period to this. #Flyers
1564108777_395358225543229441 x	#Flyers need another 4th liner who they will at least play some of the 3rd periods
1564108777_395357475928829952 x	RT @DownGoesBrown: Ha... Oilers announcer went into his sad "the other team scored" voice before Kessel even started his deke.
1564108777_395353981784186880 x	#Flyers cannot go into 3rd period uh-oh mode here
1564108777_395350008918474755 x	B Schenn is a bad center. Bad on D zone coverage, bad in face off circle. #Flyers
1564108777_395348555004919808 x	Just flipped to the Tampa New Jersey game... it looks slow motion compared to #Flyers Ducks
1564108777_395348002950610944 x	Mason has a .952 sv% through 2 periods. #Flyers
1564108777_395346945570783232 x	One stupid turnover and all that hard work for a 2 goal lead turns into uh-oh. #Flyers
1564108777_395345932025626624 x	Grossman with a bad play after all those good ones. Hurts. #Flyers
1564108777_395344980908445696 x	Jim Jackson says "save Mason" almost as calmly as Mason makes the saves. #Flyers
1564108777_395344082819899392 x	Is Mason getting even better? It seems like he's getting better. #Flyers
1564108777_395341704037167105 x	RT @NHLAdamK: Continuing from 1st period, Couturier-Read-Simmonds line totally outplaying Perry/Getzlaf at even-strength
1564108777_395341623900778496 x	RT @NHLAdamK: Perry/Getzlaf combined 1 shot in 1st period going against Couturier line on 4 of 5 even-strength shifts
