31038203_303765578475266050 x	http://t.co/BPU9FV7
31038203_342372119780421632 x	I posted a new photo to Facebook http://t.co/uARypsbuwn
31038203_395706625883127808 x	I am heated and hurt; I've done all I can do. Done with the high levels of disrespect!!  Must move past this... http://t.co/ubYKHuFX14
31038203_395705901161926656 x	I am heated and hurt; I've done all I can do. Must move past this drama. I know there's a bigger picture here for... http://t.co/9gg584ZMzL
31038203_394952732014284801 x	I've always supported my son in all his accomplishments; no matter how big or small. I will always ...http://t.co/BaevGp4lxY via @ticketleap
31038203_394878040661979136 x	Looking for sponsors for documentary about a 5 y/o AA little boy unable to verbalize his thoughts. Leaving a family struggling for answers.
31038203_394864350952845312 x	America Wants No Cuts! http://t.co/bDrVehmcjx @moveon
31038203_394586570315280384 x	:) Be blessed
31038203_392765698973663234 x	Feeling blue, trying to shake it :(
31038203_387213240402313217 x	Painting requires serious attention to detail^_~.
31038203_384353616816910336 x	Just got finished painting Princess Jade's room and putting her bed and my bed together.  Next, Master Journey's... http://t.co/dxyGXqCgLi
31038203_383917200748199936 x	Happy 2 birthday to mom moms Jade aka Tooka, aka lil momma. You make mom moms heart smile lil momma :)
31038203_383576626052620289 x	Happy 5th Birthday Journey ^_~.  Mom loves you so much
31038203_382879933904609281 x	These two little people rule my world ^_~.
31038203_381921989125894144 x	Mom would be so very proud of me ^_~.  Missing you a lot right now mom.
31038203_381920837764255744 x	My mom would be so proud of me ^_~.
31038203_381022746861240323 x	Disappointed
31038203_380100322888126464 x	Adult children and parents don't mix, which is why adult children with children of their own need to be on their... http://t.co/5aVnF3ZMR3
31038203_380100012165718016 x	Adult children and parents don't mix, which is why adult children with children of their own need to be on their... http://t.co/rCF0rhpVIz
31038203_380099301747093505 x	Adult children and parents don't mix, which is why adult children with children of their own need to be on their... http://t.co/Zk0eTOwfl2
31038203_377231624313647104 x	FLY EAGLES FLY!!!!!!!
31038203_377128355885117441 x	Home :) Had a wonderful time with family.  Now back to the grind
31038203_376099816742195200 x	Having a blast w/my twin, sister Kym @ " 6 ft Under" along with my grandson JAB who is knocked out.  Great Food!!!
31038203_375036173044813824 x	Got that ATL bbcue itis, calling it a night ^_~
31038203_372020617010089984 x	Saw my baby boy over the weekend.  He's healthy and looks good.  He's ok, I'm ok :)
31038203_366915859802898433 x	Yeaaahh, IN YOUR FACE!!!!!!! LET'S GET IT ON; IT'S EAGLES TIME!!!!!  NO RESPONSE POSTINGS FROM HATERS who are Steeeeeeeeeeeelers fans ^_~
31038203_366915390078599170 x	Yeaaahh, IN YOUR FACE!!!!!!! LET'S GET IT ON; IT'S EAGLES TIME!!!!!  NO POSTINGS FROM HATERS!!!!!!!!!
31038203_366662239740100608 x	Yeaaahh, IN YOUR FACE!!!!!!! LET'S GET IT ON; IT'S TIME!!!!!
31038203_366336276481323009 x	Scandal Saturday on BET. Kerry Washington at her absolute best. Every tv in my home is set to BET Scandal.  Can't... http://t.co/4na5mmrBRS
31038203_364745602292125699 x	Gmom's babies.  They make me smile all the time :)
31038203_364686010715615232 x	My JAB / My Tooka :) http://t.co/bueGbilfM3
31038203_364685485064470528 x	Heeey Tooka http://t.co/pqKcT8MlsT
31038203_364685216738054144 x	I posted a new photo to Facebook http://t.co/1EFoB62fhC
31038203_364685096449622017 x	Cute http://t.co/bf3t7JfUyP
31038203_364684929176571904 x	gmom's babies http://t.co/SwcA2JMAVD
31038203_364684761333116928 x	I posted a new photo to Facebook http://t.co/TFtkKmv5pj
31038203_364684662158794753 x	Omg, How adorable :) http://t.co/2WXYDR5ewk
31038203_364684440213004290 x	I love these babies http://t.co/ux0KMUpUCt
31038203_364684168199811073 x	Took cute http://t.co/bEcUKI6gbZ
31038203_364684042664292356 x	AAAAWWWWEEE http://t.co/eckidRmXJj
31038203_364683817623097344 x	I posted a new photo to Facebook http://t.co/a2AVjOYo9i
31038203_364683466916376577 x	I posted a new photo to Facebook http://t.co/MmXWkVRAxR
31038203_364683363279319040 x	Gmom's two boos http://t.co/PoZfsKXJ9X
31038203_362685598756114433 x	Gmoms Tooka
31038203_362203038607343617 x	There he goes!!!!! http://t.co/kbr1szomin
31038203_362202877210525697 x	Getting ready to go driving. Yeah, his fav. Sport. http://t.co/9csH22MQ8i
31038203_362202494820024321 x	I posted a new photo to Facebook http://t.co/TgVsLnLwJp
31038203_362202378012864514 x	I posted a new photo to Facebook http://t.co/yEKEciftl4
31038203_362202230515961856 x	On the merry go round. He loved that. Gmom was in awe. http://t.co/QGfxGiNC1f
31038203_362201557787353090 x	Darn, I missed the hug http://t.co/ALLa3kmoaQ
31038203_362201214097694721 x	He was afraid of the dinosaur here It kept making noises. http://t.co/Y9XRU1jRQs
31038203_361855859032203264 x	On my way to Dorney Park with my g-son.  He's so excited to have me along, he won't let my hand go.  Looking... http://t.co/nYnAxXkx7e
31038203_361751004468879360 x	He's getting so big too fast http://t.co/PrQLvUTdCD
31038203_361750789120733185 x	Gmom's lil man http://t.co/WuJRdSLYg2
31038203_361750517367582720 x	I posted a new photo to Facebook http://t.co/I9Qy86EyXT
31038203_361750379010076672 x	Gmom's Tooka ( diva ) http://t.co/5qPKdtFxIs
31038203_361749853866426369 x	Tooka being held by cousin Haley http://t.co/fWvwy3yHAv
31038203_358954327878021120 x	So upset with my son right now :(
31038203_358060749584736257 x	Concerned about my dog.  He's old, had him 15 yrs.  I fear its about that time :'(
31038203_357273317889150976 x	Tom Joyner is the man for stepping up and supporting Rachael Jeantel's full scholarship to any HBCU in the... http://t.co/9ek6QiPauK
31038203_357223823847858177 x	Love & Hip Hop Atlanta is stupid crazy!!!!!! Don't do reality shows, this one is addictive.
31038203_356424504873992192 x	Although a major blow to so many in America; found not guilty by a jury only of his peers, GUILTY, by millions.... http://t.co/P6Klr8yIEY
31038203_356242133591662592 x	UNREAL!!!!!!!! That was a JURY of their peers, not for Trayvon :'(   Wow
31038203_356236956931338241 x	UNREAL!!!!!!!!!!
31038203_356079847652597760 x	I smell an appeal on the side of the prosecution.  They were so not ready for this trial and so did not complete... http://t.co/x6IglCIVJL
31038203_355693457978834944 x	It doesn't matter who was on top or bottom. What matters is a 17 y/o young man was shot point blank in the heart... http://t.co/uLOiYAVQPc
31038203_353288766791761923 x	Would you not be screaming help if you had a gun pointed in your face. That was the scream of a young man screaming for his life.
31038203_349190773432020992 x	I am home and feeling much better :)
31038203_348793591851798528 x	Don't know why o am so anxious.  I know I am ready to get out and go home.  Too much to do.  I am grateful for my... http://t.co/M3LofjvITh
31038203_348792650960363520 x	Don't know why o am so anxious.  I know I am ready to get out and go home.  Too much to do.  I am grateful for my... http://t.co/RxslsihgOQ
31038203_348475995604525056 x	Still in Delaware County, no ecoli; out of isolation, still running test for digestive tract infection. Thank you... http://t.co/5clULXu6wh
