390209212_400463722051018752 x	RT @MikeMiss975: @NXML129 Too bad u missed Julius Randle in the first game tonight bro
390209212_400460397238845440 x	First college basketball game Ill ever watch in my life will happen right now to see  Wiggins and parker.. @MikeMiss975 says top 2 players
390209212_400463635140866048 x	@MikeMiss975 saw the highlights..... dudes strong and fast... who was the sixers last good PF?
390209212_400459216848420864 x	RT @KhandymanSports: Congratulations to Steve Mason on his first shutout as a member of the #Flyers!
390209212_400414860670152704 x	RT @RealBradSmith: I am extremely grateful to be joining the @Eagles !! #Eagles #FlyEaglesFly
390209212_400387090107858944 x	Pretty disgusted that @googleglass customer service can't figure out where my glass is... First impressions. ... not good
390209212_400384713212579840 x	Just got a follow by one of the o-linemans the Eagles will ever have @7deucesports
390209212_400385719044440064 x	@7deucesports *best o-linemans
390209212_400319737953263616 x	Eagles go get Reed
390209212_400276577822703618 x	I just entered a contest to win two tickets to every Wells Fargo Center event in the year 2014 http://t.co/dw8z9qyV2G
390209212_400275886630371329 x	Just called @googleglass should be getting my Google glass today or tomorrow #CantWait
390209212_400262407354060801 x	RT @TaoOfPatrick: $VRNG-VRINGO ANNOUNCES UPDATE ON ZTE LITIGATION - Yahoo Finance http://t.co/zkZCB1vMRy via @YahooFinance
390209212_400262365960495104 x	RT @FN_Press: Vringo, Inc.: VRINGO ANNOUNCES UPDATE ON ZTE LITIGATION http://t.co/QPsyqKEqIg
390209212_400255716411572224 x	RT @caplannfl: Brad Smith fits in as a WR, KR, "Wildcat" QB.
390209212_400254921754558464 x	RT @SheilKapadia: Per @JasonLaCanfora, Eagles will sign WR/RS Brad Smith today pending a physical.
390209212_400011843617714176 x	@Jessssica_Leigh equally as crazy!
390209212_400011666131542016 x	RT @Sixers: It's Veterans Appreciation Night pres. by @ShopGovX! Show your military ID at box office to receive 4 free tix http://t.co/xawh?
390209212_400008816525606913 x	Yeah you're crazy.. and nuts.... but I'm crazy in fucking love with you @Jessssica_Leigh  #NODISRESPECTTOBENAFFLECK
390209212_399934888826372096 x	@SportsNation wow this is the dumbest weird tweet ever.....
390209212_399885839570075648 x	@MikeMiss975 I'm not an arguing person but heard Foles say on the 2nd touchdown he put the ball only where Cooper could.. so one underthrown
390209212_399885608963014656 x	RT @Jeff_McLane: Nick Foles said that he purposely underthrew Riley Cooper on first TD. Wanted to throw it where only he could get it.
390209212_399647694312189952 x	RT @Michael_Fabiano: Hail Mary!!! The Bengals just got a miracle. How is A.J. Green THAT open?
390209212_399647502510858240 x	OMG THAT JUST HAPPENED!!!! #AJGREEN
390209212_399644057338904577 x	Fake injury??? Seriously?? Lol soft packers
390209212_399637037852401664 x	RT @KhandymanSports: Oh, Nick Foles is playing well because Aaron Rodgers isn't in the game?! Yeah, makes sense. #haterz #Eagles
390209212_399636743978516480 x	RT @RealGlenMacnow: Viinny Curry - sack machine!
390209212_399636562029604864 x	RT @Jeff_McLane: Vinny Curry leads the #Eagles with 4 sacks and referee hugs.
390209212_399635733251895296 x	RT @TonyBrunoShow: Nick Foles > ANY college QB!  #Future #EaglesTalk
