1014347972_287587728621703171 x	@TheRoyLRumble yes sensei.
1014347972_380685137169907712 x	RT @WhatTheFFacts: There is a beer pipeline in Germany.
1014347972_315665747332440064 x	RT @Jennifer_SwifT: Congrats Kyle Drake your an amazing wrestler hope to see you in MMA soon. #WrestlingIsAlive
1014347972_399912308484620288 x	@MikeFOX29, water opens up your pores and makes the food hotter. You have to drink milk.
1014347972_398578126030393344 x	@mmasarah @zumateam go old school. Goonies.
1014347972_398072682664562688 x	My son showing his support for @RondaRousey. Kendrick loves his new hat. http://t.co/TrOPdlU03Y
1014347972_397182085494231040 x	RT @GoalsMartialArt: Mr. Bob giving the Demo Team a pre competition pep talk. http://t.co/ksbfFmrsrv
1014347972_397182055630778369 x	RT @GoalsMartialArt: Congratulations to GOALS Demo Team who placed 4th in WKKA Tournament this weekend. http://t.co/nYl9nNwilz
1014347972_395982370647867393 x	RT @NHLFlyers: .@S9Downie will wear #9 with the #Flyers. #WelcomeBack
1014347972_395981680894558208 x	RT @PhillyDailyNews: #Flyers trade Max Talbot to Colorado Avalanche for Steve Downie http://t.co/Ii8G7zzyug  @DNFlyers
1014347972_395901671777521665 x	@KacieFOX29 looking good in your @BronBermudez skirt today.
1014347972_395725779142967296 x	RT @SheilKapadia: What a debut for Carter-Williams: 22 pts., 12 rebounds, 7 assists, 9 steals. 4-6 from beyond, 6-8 from the line, 1 turnov?
1014347972_395723708192415744 x	@MCW1 Good job tonight. Keep up the good work kid.
1014347972_395348769190842368 x	RT @ChrisScali_NFL: Rumors have surfaced that Philadelphia may sign Tim Tebow
1014347972_393909452895973376 x	RT @GoalsMartialArt: Halloween Board Breaking at GOALS http://t.co/4OHXDPlM3M
1014347972_393909424622153728 x	RT @GoalsMartialArt: Halloween Board Breaking at GOALS http://t.co/BIkIZhrvIk
1014347972_390938127835336704 x	@LeClair1969 I remember working the front door at Finnigans Wake. Occasionally you would hang out and drink beers after closing.#goodolddays
1014347972_390936737935265792 x	RT @fila_official: Congrats to @USAWrestling, finalist for "Organization of the Year" at the Int'l Peace and Sport Awards. http://t.co/a3Ga?
1014347972_390936525644763136 x	@RealRocket22 I met and bought you a drink at Finnigans wake years ago. You had Gagne, LeClair, and Bill Barber's son with you. #metmyidol
1014347972_390931686663651329 x	@DavidTutera do you ever meet up with a couple and say to the producers, "NO F'N WAY."
1014347972_389075180179709952 x	RT @GoalsMartialArt: Congratulations to every GOALS Student that competed in todays Tournament. http://t.co/RoXC6NgLZP
1014347972_388388504360980480 x	RT @GoalsMartialArt: http://t.co/CEYpoM9nkS http://t.co/bDRLMwcHQq
1014347972_387650664870195200 x	@EricLeGrand52 I am so happy for you. You are a man that many people can learn from. Keep up the good work brother.
1014347972_386214424585183232 x	RT @WhatTheFFacts: Napping improves stamina, boosts creativity, reduces stress, increases productivity, decision making ability, sex life a?
1014347972_385738687797280768 x	@DaneCook, NHL 94 and Tecmo Bowl may have been the greatest games ever made.
1014347972_385738149462573056 x	RT @DaneCook: I?m playing NHL ?94 on Sega Genesis.
1014347972_385562166440787969 x	First goal and first fight of the @NHLFlyers season by @Bschenn_10.
1014347972_385558024209068032 x	Who would have thought @Bschenn_10 would have been the first to drop the gloves. Go @NHLFlyers!
1014347972_385556379492429824 x	Happy to see the season begin. Go @NHLFlyers!
1014347972_385208522801426432 x	RT @TheDolceDiet: I HAD EVERY REASON IMAGINABLE NOT TO TRAIN TODAY and ONLY ONE REASON TO GO. Guess what I did??? Damn straight!!! Progress?
1014347972_385078575738925056 x	RT @DepressedDarth: The Death Star will not be destroying any planets this week, the Empire is shutdown.
1014347972_385027496271704065 x	@realDonaldTrump thank you for the insight. http://t.co/C7U1p0Tto5
1014347972_384619884988346368 x	How much longer before we see @MattBarkley under center?
1014347972_371759356490301440 x	@thegoze windows.
1014347972_384485646804713472 x	Please give the @Eagles and Chip Kelly some time. Once they retain a franchise qb that the players are confident in they wil fly. #byevick
1014347972_384357765000740864 x	RT @AdamSchefter: Bucs QB Josh Freeman is INactive.
1014347972_383052438200389632 x	RT @WhatTheFFacts: 6 hours of sleep or less triples your risk of a car accident.
1014347972_381961017825456128 x	RT @RealMarkGunnels: I'll take Tim Tebow over Chad Henne and Blaine Gabbert any day of the week. #TebowToJacksonville
1014347972_381960474755358720 x	RT @MtAiryPhil975: "Andrew Luck is a sneaky runner" #NFL translation "he's fast as hell for a whiteBoy QB." don't need to thank ME I use #R?
1014347972_381877252021301248 x	RT @WhatTheFFacts: Muscle Milk has arsenic in it.
1014347972_381062402479247360 x	@TheDolceDiet a friend gave me a pair of never used old school strength shoes.Worth it to wear them on morning walks with my newborn son?
1014347972_380684240591282176 x	RT @MetroPhilly: Philly's fire commish will step down: http://t.co/N6LE0PvvbN
1014347972_380337966528610304 x	@AdamSchefter @Edwerderespn Winston Justice?Are they trying to get Peyton killed?Have you seen the game Justice played Eagles vs. Giants?
1014347972_380066250564841472 x	@MtAiryPhil975 @Tali43 and they already know this before they start. SMH....
1014347972_380036904835874816 x	RT @KYWNewsradio: Officials say they believe wiring under #SeasidePark boardwalk was not inspected, bc it was inaccessible: http://t.co/01v?
1014347972_380005846333546496 x	Hanging out at the mall with my son. The sounds of the fountain put him to sleep. http://t.co/4cXk2e6KgI
1014347972_379781435923914753 x	RT @DepressedDarth: Jedi is an official religion in Australia with over 70,000 members. In related news, the Death Star has a new target.
1014347972_379048898792542208 x	RT @RFootball: #HelmetSticker: @EricLeGrand52, 1st player in 144 seasons to have his jersey number retired for #RFootball. @ESPNCFB http://?
