65696545_245663613904355330 x	I just ousted Timothy G. as the mayor of CVS on @foursquare! http://t.co/Ifr5f4cs
65696545_399541464684044288 x	RT @KNegandhiESPN: Happy 238th Birthday to the @USMC. Thank you for your commitment to service and sacrifice for our freedoms.
65696545_398988039563018240 x	Joey Crawford screaming at the ball boy. That Philly finest.#SixersTalk #NBA
65696545_398866140870754304 x	@sbaickerCSN this has to be one of the worst team I have seen in years. #FlyersTalk
65696545_398863056564150272 x	@tpanotchCSN who would the flyers have to give up for Eberle?
65696545_398859061539926016 x	Drinking my Caramel Brulee Latte.@Starbucks #holidaydrinks
65696545_398628071215235072 x	RT @SportsCenter: RT if you think Oregon wins. #UOvsSTAN http://t.co/OltMLXOAF4
65696545_398542710090768384 x	RT @iLikeGirlsDaily: Retweet if you want a $50 giftcard. I'll choose a random re-tweeter in 4hrs. Must be following. http://t.co/eEpRqAIxt2
65696545_398162293567270913 x	RT @JonandSeanShow: Last chance 2day! Have #NovemberBirthday? Want 2 celebrate @CheerleaderPHL (2 hr open bar) RT this tweet *FOLLOW US & @?
65696545_397854311017099264 x	Thanks UPS for not delivering Call of Duty even though your shipment said to be delivered today.@UPS #CallOfDutyGhosts
65696545_397806455040262144 x	RT @iLikeGirlsDaily: Retweet if you want a copy of COD Ghosts I'll choose a random retweeter in and 2 hours http://t.co/mQw0xOqYwM
65696545_397535182955491329 x	RT @iLikeGirlsDaily: Retweet if you want a copy of COD Ghosts I'll choose a random retweeter in and 2 hours http://t.co/N0JfooklkU
65696545_396258331423416320 x	Halloween picture.@SheinelleFox29@MikeFOX29 http://t.co/3oJf5l3cid
65696545_395643082903130112 x	RT @Ciroc: RETWEET if you want to attend the #CirocCinema screening and after party in NYC next week Tuesday 11/5 at 8PM! Follow back for d?
65696545_392353333824208896 x	@ochocinco it's all the fines for hitting too high. Now they are hitting low.
65696545_391994039794667520 x	@RoobCSN don't see tweets regarding Foles performance today. Off his bandwagon already?
65696545_391949610874580992 x	Pick up my Dunkin pumpkin spice k-cup. #mydunkin @DunkinDonuts http://t.co/OeKpWnqaXg
65696545_389742031075307521 x	Picking up my Dunkin coffee and pumpkin donut. #MyDunkin @DunkinDonuts
65696545_389208374979878913 x	Starting my night right. #cirocboyz@Ciroc@iamdiddy http://t.co/AFZYp5DonK
65696545_386576722143240192 x	@UndrgrndDonuts Had your donut today. Best donut ever. French toast donut. #@UndrgrndDonuts http://t.co/ojYLIJboqf
65696545_385829792794574848 x	@MamasBalls do you know where you will be park at on sat for the phoenixville fest? #phoenixville @PHXFoodFestival
65696545_345005235728678912 x	@hgtv homes in this country and the channel would broadcast that comment
65696545_345005069172879360 x	@hgtv to me as a Spanish person I would be a little offended that she wouldn't understand why there are Spanish style
