182410525_365960496555368448 x	Ready to go! Stamps/Riders Fish Taco challenge!
182410525_365560450403930112 x	#joeyschestnut in the House showing Joey's Fish Taco destruction... http://t.co/H4ijnQtxZy
182410525_365492103679193088 x	Fish Taco's Beware, #JoeyChestnut is in Calgary! http://t.co/NM75ulQIGo
182410525_352409454957965314 x	Each day is an opportunity to learn more,do more,grow more.Like Apple always improve their products,you need to always be improving yourself
182410525_186134122333343744 x	Our Franchise show booth http://t.co/SlAsSxu1
182410525_348860012451467267 x	@nenshi @calgary police, encourage Calgarians to open up their RV's and relax bylaws allowing them to park them w/o tow vehicles!
182410525_348850123343806464 x	@nenshi, @calgarypolice, u need to relax by-laws for travel trailers alone on city streets to allow use for displaced people.
182410525_330408802488840192 x	@NHL you suck! Hey a place a clean hit! Period!
182410525_329977607036747777 x	We're growing our franchise family!  We recently welcomed Homes & Land Canada to our portfolio, a real estate publishing franchise,...
182410525_328495818803920899 x	Jodi and Nick from our Surrey and Dave Street MVP locations with Randy from 'Say Yes to the Dress!' http://t.co/zcrnOG5yBW
182410525_327190122078560258 x	Nominate and Vote for us on Best of Kelowna, http://t.co/xBtdlriKod
182410525_326106554795438081 x	2013 Male Fashion Trends with GQ http://t.co/cHDw3cYCEY
182410525_319555955010457600 x	Tremendous respect for @strombone1, forever Lou! We are ALL CANUCKS!
182410525_312388773457571840 x	@bozdoz finally? Had we missed it in the past?
182410525_312395181351636993 x	@bozdoz awesome! Glad you enjoyed it!
182410525_312196077736587264 x	"Greatness comes when someone with the ability to imagine partners with someone with the ability to see." Simon Sinek
182410525_309305864626532352 x	Human capital shouldn't be taken for granted in today's market. Build a culture that attracts highly talented and personable capital.
182410525_308635657302077440 x	Joey's is hiring Managers in Calgary, competitive pay, great environment, and tremendous culture. Message us with resume'
182410525_308582839253880832 x	Just like entrepreneurs always improve their products, you need to always be improving yourself...we do both!
182410525_303979590328672256 x	Kaltire 42nd Calgary, you Rock! @kaltire
182410525_303547073037467648 x	RT @SportsCenter: BREAKING: Jerry Buss, longtime @Lakers owner, has died at 80 ? http://t.co/csBCKrjX
182410525_302642059406356480 x	Do you follow? Or do you lead? You should do both because a leader without a follower is just a lone nut! Lead by example...
182410525_302323908617580544 x	True leaders understand the importance of human capital. They nurture that capital realizing that everyone is NOT expendable .
182410525_301555176022609920 x	Leadership isn't about popularity it's about hope and trust.
182410525_289138092122714113 x	RT @HockeyCanada: Hey guys, help us reach 80k followers before the @NHL season starts by retweeting this post to your own followers!
182410525_287657030351736833 x	RT @RealKyper: Source "tentative deal could be done within 24 hrs or #NHLPA could serve #NHL notice to disclaim early as 2day. Present m ...
182410525_287489442032267264 x	Gooooooaaaal @rnh_93
182410525_287484530967846914 x	Let's go team Canada!  We want a medal again this year @teamcanada #TSN we are up and cheering for you!
182410525_283398258850689024 x	RT @Seahawks: Carroll on his confidence in @DangeRussWilson: "There's nothing we call that I'm concerned about." http://t.co/0IeKbvZ0
182410525_281458715276738561 x	Steel Resolve ? Baron Batch - http://t.co/6rE35CYK http://t.co/k8lyeyu6 What an amazing story!  We can accomplish anything we want!
182410525_279432832433147905 x	Continental Black Ceiling Tile, 2 Feet x 2 Feet Lay-in or Glue up Home Depot Canada http://t.co/gMX8DqEQ
