1038543991_327577984913526785 x	@fucktyler faggot
1038543991_394666021409521664 x	@poo_bear7 #realtalk
1038543991_377250110755065856 x	@psallet15 hahaha you should of came down and played. I needed someone to throw me alley oops
1038543991_377249862091550720 x	RT @psallet15: Watching @drhoops63 run the umass rec  courts #baller
1038543991_375052898876813312 x	RT @SpeakComedy: If women ruled the world there would be no wars.   Just a bunch of jealous countries not talking to each other.
1038543991_374966522416209920 x	RT @Helen_KelIer: Anyone tweeting #ImTiredOfHearing can stfu.
1038543991_368047961764532224 x	RT @Picasso_PMA: Finally @dizzywright is workin with a pro @kirkknight #GoldenAge #Era
1038543991_366589352765165568 x	@CedricGray71 haha Timmins got me hooked on that song, so blame that chink
1038543991_366618331563819008 x	@CedricGray71 you just can't appreciate G.O.O.D. Music #Yeezus
1038543991_366694059240194048 x	@CedricGray71 Lil b is the definition of what is wrong with rap today
1038543991_366722789866078210 x	@CedricGray71 hahaha hold up, lil b live is good. But I've never listened to any of his music after the concert. #basegod
1038543991_366726018414809089 x	@CedricGray71 #understatement
1038543991_366728347163693058 x	@CedricGray71 #shaqtea
1038543991_366624889144213506 x	RT @RudeComedian: Michael Jordan: I once made a free throw with my eyes closed.  Yao Ming: Bitch please, I played my entire career with my ?
1038543991_366624616040497155 x	RT @WolfpackAlan: "I love One Direction!"  Mike eat a snickers. You're gay when you're hungry.
1038543991_366587789845856256 x	RT @CedricGray71: I got "handle my liquor" stuck in my head cus of this ass cheez @drhoops63
1038543991_362739746566443009 x	@poo_bear7 @coolrunnings010 he is?
1038543991_362742144697507840 x	@poo_bear7 @coolrunnings010 word ill let you in
1038543991_356909317196226560 x	@DoctaSmith @TylerHanley1 the hardest egg you'll ever meet haha
1038543991_356909122299494400 x	RT @TylerHanley1: 2 doctors had the same orientation at umass. @DoctaSmith @drhoops63
1038543991_355685186299633664 x	RT @poo_bear7: Sus as fuck! @drhoops63
1038543991_351919851037659138 x	RT @poo_bear7: Fuck you Mondays isn't the same without @coolrunnings010 @drhoops63
1038543991_343224524566839298 x	Gonna milk this appendicitis as much as possible... Do I hear medical marijuana, I think so haha!
1038543991_342783236423946240 x	RT @poo_bear7: Totally missing thirsty Thursday bar runs with my boys! @drhoops63 @jordanbeff @coolrunnings010 #sean #poonslayer #sloots #r?
1038543991_342783213053284353 x	@poo_bear7 @jordanbeff @coolrunnings010 #operation #crouchingtiger #hiddendragon
1038543991_341674972504260611 x	?@TheHistoryBook: "Don't forget anal beads and string cheese when shopping for my Christmas presents" - Lebron James? @CedricGray71
1038543991_341749198531731457 x	@CedricGray71 haha I won't... You think he's getting another this year?
1038543991_341999888520855552 x	@CedricGray71 not the spurs, just your bud tony parker #bestfrenchrapperofalltime
1038543991_341674999003873282 x	RT @TheHistoryBook: "Don't forget anal beads and string cheese when shopping for my Christmas presents" - Lebron James
1038543991_341674822138478592 x	RT @WolfpackAlan: I'm only single, because I'm too sexy for everyone.
1038543991_340110835621957632 x	@poo_bear7 #downwiththefunk
1038543991_337442989318209536 x	.
1038543991_337379470296092672 x	RT @WorkaholicBlake: RT if you're a strong independent black woman who don't need no man.
1038543991_335951477480751104 x	?@RealSkipBayless: Knicks collapsed because they just played a whole lot of dumb basketball.? ??? @KingDarius1015 #uh-oh #skipknowsbest
1038543991_335952172820869120 x	@KingDarius1015 hey they outlasted the celtics haha, and I didn't actually watch the game cause I was out. The pacers are a solid team too
1038543991_335951163956539393 x	RT @cp_baller: Fuck the Knicks and Melo. #byebye
1038543991_335874061223723008 x	RT @LiIStevieWonder: Qpvpwf 1,)?-;wp
1038543991_334896420941340673 x	RT @BradRWallace: I think Shaq and Barkley are having a contest tonight to see who can say the most players names wrong. #nbaontnt #thanksg?
1038543991_334822355002085377 x	Life is good right now, enjoying every minute of it
1038543991_334806074119053313 x	.
1038543991_334328797409210368 x	@slfitzyy we should definitely trade grades because you like me so much
1038543991_334330864936837120 x	@slfitzyy you sure you don't want my shitty calc grade to remember me by?
1038543991_334331213584162816 x	@slfitzyy I'll take it! I dropped that class so right now I don't have anything in there haha
1038543991_334332232930041856 x	@slfitzyy yeah this was definitely a year to forget grade-wise haha.
1038543991_334119150672834560 x	@fucktheworld_af straight up. I blame jagr's stupid gray beard
1038543991_334119865600331776 x	@fucktheworld_af hahaha that would be perfect... and looks like we were both wrong lol
1038543991_334121522023247873 x	@fucktheworld_af I don't mind one bit though lol
1038543991_334120137470906368 x	RT @GenoGaudet: Why don't the Bruins just play 6-5 all the time?
1038543991_334119055852183552 x	RT @fucktheworld_af: Too little too late
1038543991_333450482746028032 x	.
1038543991_333230026524860416 x	RT @TheHistoryBook: "Blow jobs are the best form of contraception." - Confucius
1038543991_333173076483272707 x	.
1038543991_332456841185476608 x	?@poo_bear7: @drhoops63 thinking of you right now...Mr. Steve's alpha male ;) #buttercup #shoulders? @coolrunnings010 @
1038543991_332281466694270978 x	@coolrunnings010 @jordanbeff @poo_bear7  ???? #buttercup #IAmTheAlphaMaleOfStevens3rdFloor
1038543991_332254857551564800 x	@poo_bear7 ?
1038543991_332252687510933506 x	RT @LiIStevieWonder: Apbpflhpu5 al?"?"1.,!;0 q/0%[?
1038543991_332229204575920128 x	@poo_bear7 I got you with the RT son
1038543991_332229141313224704 x	RT @poo_bear7: @unclejeffgreen hey man youre such an inspiration and such a fighter..can i get a RT to push me through finals? #OHWEERRRDDD
1038543991_332154523206426624 x	, http://t.co/96tBLWASTD
1038543991_331916317202456576 x	RT @sean_single: holy end of the year.. where the heck did the time go??
1038543991_331916287787802624 x	?@danieltosh: for those who give a shit, the canadian on tonight's sode is by a mile the craziest person to ever be on tv.? @jordanbeff
1038543991_331654893695815680 x	.
1038543991_331257712971218945 x	Catchphrase jones!!!!!! Fuck yeah #loitersquad
1038543991_331173846084358144 x	@TinaGeeee nope, got that problem now too haha
1038543991_331184438811705344 x	@TinaGeeee 5 days.... Dumbass :p
1038543991_331184885597364224 x	@TinaGeeee haha thanks for the motivation though :)
1038543991_331123760151293954 x	@coolrunnings010 @poo_bear7 @jordanbeff  when you use a do-over and the shot comes out even worse than before #minigolfmatchupprobslems
1038543991_331091725785374722 x	RT @TheHistoryBook: "If he's wearing leather pants, you can't expect me not to grab his ass."- Jerry Sandusky
1038543991_331089392733134848 x	.
1038543991_330829653327618048 x	RT @TheHistoryBook: "If you're not getting black out drunk tonight, you're a pussy"- Joe Biden
1038543991_330796635447758850 x	RT @TheHistoryBook: "When you're Kim Kardashian every friday is black friday"- Samuel L. Jackson
1038543991_329768370666885120 x	Big three by terry #dagger
1038543991_329663352051736576 x	Last 20 minutes of class is dragging on so bad haha
1038543991_329635850864439296 x	RT @WolfpackAlan: Rape is such a strong word. I prefer snuggle struggle.
1038543991_328732362768781312 x	hmmm, so far all Dirty Heads and no homework... #NotSurprisedOneBit
1038543991_328725058510020609 x	missed loiter squad! #fuckthatshit
1038543991_328726480924323840 x	@KingDarius1015 haha too busy celebrating the celtics one and only win of the entire 2013 playoffs?
1038543991_328724659392614401 x	Dirty Heads spotify playlist and some homework #letshopeforthebest
1038543991_328660910799462400 x	?@SammyTellem: People who text back instantly. >>>>? @sheed_15 hmmmmmmmm.......... Hahaha ?
1038543991_328660747024474112 x	RT @WolfpackAlan: That awkward moment when your mom compares you to another kid and she has no idea how much worse they are than you.
1038543991_328341449424916480 x	@poo_bear7 youre bio is good i guess... for a faggot
1038543991_328231427193847810 x	fuck #iatethebones
1038543991_328017156056944641 x	I love adventure time so much haha
1038543991_327799058418761728 x	@ScottyNewms22 I would kill for 1/4 of your focus and enthusiasm haha
1038543991_327653275212070913 x	Pour house can suck dick #douchebags
1038543991_327608682542145536 x	This night was sus as fuck @poo_bear7
1038543991_327564133534945280 x	Houston is ass cheeks regardless of the division... So it's irrelevant #MLBrealignment
1038543991_327493648788893696 x	?@fucktyler: WHY ARE THINGS WITH VAGINAS SO FUCKING DIFFICULT? @poo_bear7 you follow this sus faggot yet?
1038543991_327494046593474560 x	@poo_bear7 @fucktyler you're welcome... To the both of you fags
1038543991_327263323051679746 x	@oliviadurden that's sus as fuck doe. Fine ill do it
1038543991_327260066799579136 x	@oliviadurden so I gotta take the bullet here?
1038543991_327259244023926784 x	@oliviadurden are you thirsty enough to holla at him? #earlybirthdaypresent?
1038543991_327257450334023680 x	@oliviadurden what j rich's status?
1038543991_327228472407781377 x	?@FactsOfSchool: If I don't text back it's because I replied in my mind but was too lazy to physically reply" @sheed_15 #storyofyourlife
1038543991_326840107535572992 x	RT @TheHistoryBook: "We were so high on mushrooms when we started that 2012 bullshit." - The Mayans
1038543991_326813560648892418 x	RT @UberFacts: Jim Cummings (the voice of ?Winnie The Pooh?) calls sick children in the hospital and talks to them in character to make the?
1038543991_326438886098210816 x	RT @jaeeactive: @joeyBADASS_ you're a genius for that album title.
1038543991_326431830893006848 x	RT @WolfpackAlan: You know your fucked when your taking a test and the Asian kid says "shit."
1038543991_326427884933746689 x	RT @TheHistoryBook: "There's nothing odd about having your dog lick peanut butter off your nuts." - Ray Lewis
1038543991_326386376511741953 x	@TinaGeeee I'm sure you'll return it to me next time I see you right?
1038543991_326427816080072705 x	@TinaGeeee #dick
1038543991_326387163929399298 x	Paul Pierce: "In a seven-game series, if we hold them to 40 percent shooting and 85 points, I like our chances."? @KingDarius1015 me too lol
1038543991_326386099054321664 x	RT @finnamattyc: Faaaaack man letting your parents down fucking blows
1038543991_326212182100570112 x	@sheed_15 word
1038543991_326148712298586112 x	@oliviadurden haha well I'm glad. And it's at 12
1038543991_326147874868051968 x	@oliviadurden you better not forget about loiter squad tonight!
1038543991_326083118685634561 x	Wow manu just went off that last minute
1038543991_326076492062793728 x	Don't feel like doing anything today
1038543991_325458158170546177 x	Me and the dinosaur enjoy spring fling #gotthatgoodhead #springfling http://t.co/Z9NKPdJboe
1038543991_324671587146137600 x	RT @fucktheworld_af: Yes! Paille!
1038543991_324669790830604289 x	?@FactsOfSchool: "K." Well potassium to you too, motherfucker.? @poo_bear7
1038543991_324374595492794369 x	Tested out my new shot glass I just got for spring fling, it works really well
1038543991_323658640722644993 x	@oliviadurden hahaha I didn't even check lol! And 63 was my football number for the one and only year I played (aka sat on the bench)
1038543991_323658162035101696 x	@oliviadurden haha alright sounds good, you won't be disappointed. That's a #ChrisDurbenGuarantee
1038543991_323656867941335040 x	@oliviadurden it's definitely a good show, that episode wasnt the greatest. But keep watching it, they're hilarious haha
1038543991_323655967654948864 x	@oliviadurden the best part was them cutting the egg
1038543991_323650871449759746 x	Gary Coleman made a guest appearance on #loitersquad hahaha!
1038543991_323567017120632833 x	This shit just like the nights i look forward to not remembering #earlsweatshirt
1038543991_322979127428775936 x	RT @kobebryant: Random tears of devastation and doubt mixed with inner determination and will #countonfamily #countonprayer THANKU #vico ...
1038543991_322876605812846592 x	@poo_bear7 Mario Chalmers #queefandahalf
1038543991_322509552132186112 x	#pooptweet
1038543991_322482735711145985 x	RT @UHartConfession: "Did any other guy get inboxed by Allie Kaufman this year? #Stage5Clinger"
1038543991_322458531141931008 x	@UHartConfession well now I don't feel as special...
1038543991_322036988381380608 x	@AwkwardBob well now that you stopped wasting money on smoking candy ciggs, paying those tickets shouldn't be a problem haha
1038543991_321713984455716864 x	@poo_bear7 #watchingbillnow
1038543991_321668818315382784 x	RT @_CollegeHumor_: The best memories come from bad ideas
1038543991_321430032289505281 x	@fucktyler "juicy and hot such a black bitch temper." Gets me every time haha
1038543991_321405191662469121 x	RT @poo_bear7: you're a cum dumpster @drhoops63
1038543991_321283918177370112 x	@RealDanHussey @whitefolkprobs haha yeah it is #whitepeopleproblems
1038543991_320753309319311360 x	@jordanbeff @KingDarius1015 fuck MILFs
1038543991_320742254325137408 x	@jordanbeff @KingDarius1015 why the fuck are 26 year olds at a college bar #FuckThatNoise
1038543991_320645045562785794 x	@poo_bear7 another masterpiece provided by Poo, BFA in fine arts http://t.co/2pL2Es2etb
1038543991_320203709353168896 x	RT @_CollegeHumor_: I'm not attracted to you...vodka is
1038543991_320197243577724930 x	Success is the best revenge #Realtalk #oddfuture
1038543991_320038166759358465 x	"What if he butt-fucked her? Then would you still love her?" #YourHighness #FunniestMovieEver
1038543991_319985126358540290 x	RT @WorkaholicBlake: Twitter is basically just you having a conversation with yourself hoping that someone else will join in.
1038543991_319623755766837250 x	RT @WorkaholicsQ: "There is no beer at the house. Because I beer-battered some brats... and then drank eleven beers" -Adam
1038543991_319511314928136192 x	Smartest kid in the class got an answer wrong... Dumbass #SuckIt #EatShitLoser
1038543991_319502117964496897 x	She got a big booty so I call her big booty #CreativityAtItsFinest #LyricalMastermind #2chainz
1038543991_319354842122448896 x	fuck that, golf wang #OddFuture
1038543991_319273063130726400 x	@fucktyler awesome album cover hahaha http://t.co/gT4FISXc54
1038543991_319269689886912512 x	go see an OF concert where @fucktyler preforms all of his new album Wolf #NewLifeGoal #BucketList
1038543991_319265998370926592 x	RT @ASVP_Rocky: If you fucked me over before, don't think I forgot.
1038543991_319265895685959680 x	RT @SpeakComedy: I fucking hate smart ass teachers. Me: "Can I go to the bathroom?" Teacher: "I don't know, can you?" Me: "BITCH I WILL  ...
1038543991_319225678904045568 x	@poo_bear7 @coolrunnings010 yeah but now he's a douche and a half. Lets hide his clothes that are in the bathroom
1038543991_319216818973704193 x	They dont call me catchphrase jones cause im black #loitersquad
1038543991_319129010074419200 x	@TinaGeeee I really don't understand why everyone hates my basketball shoes. #confused
1038543991_319140289434501120 x	@TinaGeeee someone should be focusing on class and not twitter #getyourshittogether
1038543991_319166833880076288 x	@TinaGeeee papers went through, officially dropped out. #Bum
1038543991_319169007678812160 x	@TinaGeeee yeah definitely gonna be homeless and unsigned forever with you as my manager. #hopeless
1038543991_318907422745964544 x	If anyone cares... I have those same shoes http://t.co/JzydjQOBBd
1038543991_319162325464645632 x	@CedricGray71 hahaha right?
1038543991_318906750671679489 x	RT @earlxsweat: tyler went full renegade
1038543991_318906452850909184 x	Brought a whole pound of Mary, And I can't seem to find Molly. #Tyga #Wiz #SiriVoiceCameo
1038543991_318833131098628096 x	RT @finnamattyc: Hate baseball but it's always a good dy when the sox crush the yanks
1038543991_318593867605749760 x	RT @ASAPRockyTRILL: Dear God, I wanna take a minute, not to ask for anything from you. But simply to say thank you, for all I have.
1038543991_317839605611233280 x	Lil b was pretty legit haha
1038543991_317753826423734272 x	Lil B concert time #IHateMyself
1038543991_317461675475353600 x	My NCAA bracket #fucked
1038543991_317071539373735936 x	Gooooooaaaaaalllllll
1038543991_317051296123330560 x	Packed house tonight for the Worcester sharks game, almost 100 people including both teams #AHL http://t.co/NyVsMuTQhq
1038543991_316808078790098944 x	RT @DamierGenesis: the plan is to get high as i possibly can.
1038543991_315669772945735680 x	@CedricGray71 what you got white boy knees?
1038543991_315923660684791808 x	@CedricGray71 haha the best are the yellow ones for Asians
1038543991_315926330308964352 x	@CedricGray71 since a few weeks ago haha. Why when did you secretly get one?
1038543991_315941082204631042 x	@CedricGray71 oh, well that's dumb. You better follow Brandon spikes
1038543991_315924566444756992 x	@KingDarius1015 if the Knicks actually had my player from 2k13, they would win the championship hands down haha
1038543991_315912556525023232 x	So after 4 hours of basketball I spent the next four hours sleeping/playing Xbox. #BrokeEven #MyKindOfWorkout
1038543991_315861204746784768 x	@RealDanHussey so far no one has commented on my changed background picture... They can't not like Ricky Davis? That's not even possible!
1038543991_315861835372953601 x	@RealDanHussey ooo sub triple digit followers... That stings a little ?
