365029003_196981920704376833 x	Okay!, haven't been on in a while.  But I'ma say.. I'm on fire!!
365029003_393006583304577024 x	@SheinelleFox29 @vusmc I think I did it.....
365029003_399030454961328128 x	@RealHughJackman dude! Did you photo test in the suit n mask from The Wolverine deleted scene?????
365029003_398535628620832768 x	@TMZ @Bossip I'm not suprised, she did after all sing in a metal band....looks good.
365029003_398449040897347584 x	@FOX29philly @MANNANourishes @_SueDaugherty sweet potato pie. The bomb diggity!!!
365029003_398284058104705024 x	@cwtp awesome show tonight!!
365029003_398281030467321856 x	@cwtp Hadoken!! Lol
365029003_398280088476999680 x	@RobbieAmell Hadoken!!
365029003_398266893146267649 x	@amellywood I....was not expecting Sarah to reveal herself to her father. What a twist! Great episode!
365029003_398253490549846017 x	@amellywood pumped for AmellyWednesdays!!
365029003_397920667934670848 x	@jarpad Aww man!! I thought for sure Sam was gonna grill Dean about what happened!
365029003_397920375948181505 x	@cw_spn Really???!!! Sam's not gonna grill Dean on tye subject??!!
365029003_397919420297015296 x	@cw_spn thinking of the comical demigod from previous seasons.
365029003_397919199445909504 x	@cw_spn already stoked for next week.
365029003_397918717881094144 x	@cw_spn Awesome casting for the bad guy!!
365029003_397917166261264384 x	@jarpad Dean has gotta be busted now!
365029003_397916043794190336 x	@jarpad Dean. Da Beast Mastah!!!
365029003_397549796627853312 x	@SleepyHollowFOX what an incredible spin on the story! I can't stop watching!!
365029003_397368275908456448 x	@GM I've seen independent autoshops make 2011 T/As, c'mon!  Why not an official "New Bird"?
365029003_397177632296402944 x	@GM what will it take to bring back the Pontiac brand? Here is a slogan. "Pontiac, experience the fiery resurrection."
365029003_397051572100026368 x	@Denise_Masino hey Ms. Masino. You are an inspiration as well as hot. I need your help. Can u be my workout pinpal? #hardgainerbirdchest
365029003_397042349253345280 x	@TheRock do you have a favorite comicbook character?
365029003_397041042429837312 x	@WarnerBrosEnt ironic that I am a Marvel fan, the formula for your hero shows, and movies works. When will we see a WonderWoman flick?
365029003_397040132890836992 x	@20thcenturyfox where do I start?  You guys have to get better team players that follow the source material more closely. #urheromoviessuck!
365029003_396080424013012992 x	@Carlitosway89 dude you got pipes!! I hope in your next song choices you get to do a Bruno Mars, or Marc Anthony song.  #flylikeneagle
365029003_396079612096425984 x	RT @Carlitosway89: You guys watching xfactor? Meet the top 12????
365029003_396079100097753088 x	@TheXFactorUSA Wow!! Restless Road's rendition of Roar should be on itunes!!
