257665470_350677609962668033 x	Watching people fall never gets old. #wipeout
257665470_350382418877882371 x	RT @Gi77iam: State College just became Atlantis
257665470_395720475289997312 x	@Warshotsky Still in the same depressing place I was then... #hotlanta09
257665470_395713630252978176 x	@jermandrws We follow wayyyy too many sports accounts.
257665470_395713379777929216 x	RT @jermandrws: There's a pelican in my timeline every three tweets... Help!
257665470_390581872792584192 x	@caitlinnnd_13 I don't believe you.
257665470_388785711023149056 x	RT @DAR_FTK: And the THON 2014 theme is...... Redefine the Possibilities!
257665470_388772587440205824 x	RT @HopewellES: Farm to School at Hopewell Elem  @NOMADPIZZA, Double Brook, @bmacres, @JohnHartFarms, @FulperFarms & @njfarmtoschool http:/?
257665470_388004716212256768 x	@taybaby1102 Who knew putting a treadmill in the middle of our living room would allow for so much productivity?
257665470_387382531328581632 x	So sloppy. So entertaining. #MNF
257665470_386696008098660352 x	Montell Jordan - "This Is How We Do It" Pandora radio station. You are all very welcome.
257665470_386491661813309440 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @kimbrel46. #Postseason http://t.co/Lw16D8uRn0
257665470_386490625199472640 x	RT @darrenrovell: Best sign I've seen at GameDay at Northwestern http://t.co/K59T8RQzox
257665470_386297559352090624 x	RT @Braves: #releasethekimbrel
257665470_386234163621138432 x	Congratulations to @RyanDanielATT and the rest of @AmongTheThirsty! Excited to hear your new album!
257665470_385858374480719872 x	RT @MLBFanCave: Pittsburgh hospital dresses newborns in @Pirates gear for #Buctober: http://t.co/dXgM74pzcs http://t.co/2KSJsDx5QY
257665470_384802113207160832 x	RT @doch24: Doesn't get much better then Monday night football and playoff baseball
257665470_384451772817080320 x	Peyton Manning is so fun to watch. #unstoppable
257665470_383772146813526016 x	RT @pLunney: Almost too tired to decide what to watch on #netflix. College me would be sooo embarrassed to see me in this state.
257665470_383334208464502784 x	RT @nationalffa: Happy National @Teach_Ag Day! #taglive13
257665470_382883734728359937 x	@kaylastank Remember when we made bank in Canada selling homemade bracelets to EVERYONE at the campground? #entrepreneurs
257665470_382882377472569345 x	RT @Gabarillaa: Why do my work emails always sound like this! Why am I so excited! Yay work!
257665470_380808224565637120 x	Down side: Almost broke my nose smashing a tent pole into it today. Bright side: the swelling holds my loose sunglasses up much better
257665470_379771420987113472 x	RT @rlabosk: This Steelers offense is pitiful. Worst I've seen in years. I'm also going to die a little inside when Harrison sacks Big Ben.
257665470_379755330881605632 x	RT @heather0289: I don't trust people who drink decaf coffee
257665470_379092353472290817 x	You can't roller skate in a buffalo herd.
257665470_378359382016151552 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @kimbrel46. http://t.co/EIKQsLzvDg
257665470_377842393258942464 x	PROTECTED
