296603705_299642284180402176 x	@j_yme ?
296603705_387374168926588928 x	@KevinWeekes how do you think today's goalie would do with these classics? http://t.co/DBtHwOtfcH
296603705_387246727377747968 x	@dooda1414 congrats on the job. Hope players can get message and with with as much heart as you did!
296603705_385926589323956224 x	RT @sillycheese76: I'm playing Getting To Know My Followers... Retweet if you had at least one inappropriate thought today
296603705_384480635450327040 x	@BrianDawkins we need you to stop by novacare complex. Teach some defense but most important show them heart. I miss you man
296603705_377258015826907136 x	@Kenny_Wallace  if teammates can't help each other then why does NASCAR allow teams? Only allow each owner to own 1 car. #badcallnascar
296603705_377252481723817984 x	@sillycheese76 I am not the brightest bulb, but did NASCAR fine / dock everyone only because the 55 came down put road. I trust your opinion
296603705_364116814638227459 x	@sillycheese76 ? atta girl
296603705_364125862485966848 x	@sillycheese76 wasn't a sarcastic tweet. I really do enjoy REAL people ?. Your the realist and bestest
296603705_352516240406880259 x	RT @phillydotcom: Demi Lovato pulls out of the Welcome America lineup due to strep throat. Her replacement? Hunter Hayes. http://t.co/LwFU6?
296603705_352099560996347906 x	RT @JimmieJohnson: The 480th retweet wins my hat from Kentucky. 1 retweet per and no repeat winners. #JJSwag
296603705_335525427353370624 x	@WilmBlueRocks @DunkinPhilly  Section m row 9 seat 25
296603705_330816509461020674 x	Shout out to Ginny V stalking my twitter. Kinda creepy ginny
296603705_326001187616854017 x	RT @IHRA: Your Saturday Nitro Jam winners are Kyle Wurtzel (TF), Peter Gallen (PNFC), Kyle Hough (FA), Jay Turner (NH),... http://t.co/nQ5H?
296603705_322464861600772096 x	@DaveLozo monster is too nice of a word.
296603705_321749094760587265 x	@sillycheese76 what if you retweet yourself?
296603705_320233767530799104 x	@NickMcIlwain1 @hurricane_whit @prestonsteve933 the guy who placed her name there should be FIRED!
296603705_319987948349190144 x	RT @HockeyWays: Retweet if you play any:  Hockey ? Hockey ? Hockey ? Hockey ? Hockey ? Hockey ? Hockey ?
296603705_319965356871520256 x	@JimJPhilly hey Jim tell someone to turn down rink mics. The players are louder than you. Ooooohhhh and ahhhhhhhh drown you out
296603705_319831341770371072 x	#youcantsnowthesnowman
296603705_319643564151820289 x	@j_yme I hang my head in shame. Where have I failed you daughter. Your avi is a disappointment and you are not watching @NHLFlyers.
296603705_319646095875653632 x	@j_yme I can judge you because I made you!!!!!!!!!!!!!!!!!!!!!!
296603705_318908863652958208 x	@j_yme last I checked it was twitter. I don't hear twitter saying anything you silly girl
296603705_318909791927934976 x	@j_yme good luck hope you win! He'll yeah they are all going. They can all be still puking but they are going
296603705_271003757108658177 x	#LiesImTiredOfHearing the @eagles will win a Super Bowl. #pleaseprovemewrong
296603705_318535165796286464 x	@livandjensmom good job 1 word tweet then a jibber ish tweet. Next month we will work on sentences! Yeeeeaaaaaaaaaahhhhhhhhh
296603705_316978124665524225 x	@sillycheese76 ??????????????????????????????????????????????????????????????????????????????
296603705_313740831951581184 x	@johnclarknbc10 ?
296603705_313502197025484800 x	@johnclarknbc10 I stay up to watch sports final and I feel like it is ESPN no mention of flyers. Very disappointed in nbc10
296603705_313692843002707968 x	@johnclarknbc10 ok since I love your program I will let it slide. Just joking with you keep up the great work
296603705_312565912316301312 x	@greg_pecoraro so how is the single life treating you?
296603705_311564373267193856 x	RT @darealtank78: @bvickerman thank u and your dad for the support I hope I can continue to entertain u guys:-)
296603705_309804415437660160 x	@TheKaylaRiley phone / laptop. Cause I can get in my car and drive to buy a new phone and laptop
296603705_309764912794701825 x	@sillycheese76 hate is such a strong word. Makes me think of wanting to do harm.
296603705_302596749963431936 x	@j_yme ?
296603705_302599327505842176 x	@j_yme gotta do something to try to look popular??
296603705_302594145065771008 x	@Hartsy19 you relax. Seriously please relax we need you back causing havoc and chirping. Don't forget the always great #hartnelldown
296603705_302538132925054976 x	RT @Phillies: If our next tweet gets 300+ RT, we'll give away a Phillies Spring Training cap to 1 lucky follower: http://t.co/akWz7AM5
296603705_302148459732037634 x	@MattBarnaby3636 @dgilron @fujibi_douglass @realrocket22 when you and chief were down it looked like you tried to cut his Achilles lol
296603705_301811366686248960 x	@sillycheese76 would you basically be slapping yourself as well. You hit you then me then you again. Hey sounds like fun. I'm in!
296603705_301762553741205504 x	@johnclarknbc10 looks like @howardeskin needs a step stool to get  mic near him
296603705_301732997126844417 x	@JJ48Lover4Ever same to you my friend
296603705_301513176216920065 x	@pelle31lives anytime. You a MN grad?
296603705_301071914116452352 x	@j_yme I hope your day is better then mine ??
296603705_301083251525681152 x	@j_yme slow this am then slammed this afternoon
296603705_300776577011154948 x	@JohnBolaris hey buddy remember that the good things happen to good people and you are good people.
296603705_300427002039631874 x	@JohnBolaris when you recover and get bored some day you go they and block then all. Who has last laugh then. Hahahahaha
296603705_300315235741487104 x	@JohnBolaris thank you for weather reports. I was at ease going to sleep knowing me and kids were safe. I will miss you Like a bro of course
296603705_300043297370537984 x	@fridge29 were you with bob Kelly today at e.t. Richardson in Springfield today? My daughter couldn't remember you last name if it was you
296603705_300214539021086720 x	@fridge29 thank you. She said you guys were great. Huge smiles as she told about it. She said you were cute and the hound was really old.
296603705_299984604432044032 x	@sillycheese76 nice!
296603705_299984509846306816 x	@j_yme ??
296603705_299864647387992064 x	@JJ48Lover4Ever right back at you
296603705_299640838806437888 x	@j_yme ?
296603705_299177248047656961 x	@THNKenCampbell it was payback from the game in Tampa. He allegedly did something to giroux
296603705_298278344796020736 x	@robellis94 not even in the top 10. Way to many penalties not called. Lost all sorts of enjoyment.
296603705_298277250036551682 x	@robellis94 officials horrible tonight. GOAT was practically invisible. Commercials sucked too. I got robbed of the past 4 hours.
296603705_298262200706019329 x	@DaveLozo never happened in the movie
296603705_298261820286836738 x	@BrianDawkins why is an offensive stiff arm to defense face not a penalty?
296603705_298251764736614401 x	RT @_Happy_Gilmore: If someone is face down and bloody with a knife in them when the power comes back... I'm sure we know who did it.
296603705_298117333505961984 x	@sillycheese76 I am old, fat, and ugly. So how about me?
296603705_297461736750059521 x	@MikePereira @steviejohnson13 what ever happened to act like you have done it before? Don't understand celebrating what you get paid to do
296603705_295006880701489152 x	@sillycheese76 not all. Some just get really excited
296603705_289822463091671040 x	@hitthatk1d @justinbieber I vote not order. You have an apartment, furniture etc to buy to start your adult life. Maybe he will give u tix
296603705_289823762063446016 x	@hitthatk1d @justinbieber since you are a dedicated fan. Someone who has spent hundreds on his music and fan stuff would be a nice gesture
296603705_288466657184206848 x	@KevinHarvick looks like he has a race tire under his shirt? Did you and @DeLanaHarvick take inventory before the sale?
296603705_288466192098816000 x	@howardeskin kinda like all these stories about him. Who cares? He doesn't work here anymore. Move on. Is news that slow?
296603705_288386669655228417 x	@pelle31lives @flyers_faithful have to play in games to get better. No amount of practice sims. Games. Comp better in Canada than coll. ??
296603705_288388744392880128 x	@pelle31lives @flyers_faithful hopefully not from people who just want to make money off him.
296603705_288377037427724289 x	@johnclarknbc10 after the 4pm news conference will we be done hearing about Andy Reid? He is no longer important to us! #itsovermovealong
296603705_286981102965510144 x	@sillycheese76 I need friends like you
296603705_286945225807630336 x	@JJ48Lover4Ever I survived. On meds now that won't allow me to sleep. I was up for 34 hours straight. Annoying. Boring at 3am
296603705_286952058341445632 x	@JJ48Lover4Ever no need to worry about me. I am strong like bull. I get knocked down but I will get my fat ass back up. Promise
296603705_286602871036854272 x	@FilthyDangles Edmonton oilers
296603705_284030696274657280 x	@JJ48Lover4Ever happy Boxing Day
296603705_282887320875708417 x	@JJ48Lover4Ever I can deal with flames they are no threat to flyers. Plus one of my top favorite 3 men played there.
296603705_282894151949889536 x	@JJ48Lover4Ever yeah I am not a big fan of the Toronto make beliefs either
296603705_282896418639855616 x	@JJ48Lover4Ever plus they suck
296603705_282886624776441856 x	@JJ48Lover4Ever who is your team of choice?
296603705_282885996398403585 x	@JJ48Lover4Ever yep. The flyers. Played at the Spectrum as a kid and got meet a lot of players. I will always bleed orange and black
296603705_282741036470644736 x	@donlemoncnn this show is hard to watch. Great topic but every 5 minutes a commercial? How are we supposed to keep interest?
296603705_282651263357841408 x	My daughter is home. She made it back before Christmas. It wasn't always easy but one of the best Xmas ever. I missed her.
296603705_282560269497028608 x	@ArmourRacing wonder how long it would take me to burn the rear tire off that awesome machine
296603705_281937486366777344 x	@sillycheese76 I am me and my ten little friends
296603705_281937014142681088 x	@b_ryan9 there are somethings we all should take to our graves. That is probably in the top 3
296603705_280122689992151040 x	@BroadStBull the weber contract would probably looks tiny as the GM's all try to back stab each other and load up.
296603705_280122432969388033 x	@BroadStBull if players vote splits up union does that mean everyone is a UFA? Then GM's can sign anybody they want? Imagine the contracts
296603705_279412915130470402 x	RT @PauleyP: OK Folks! It's the last night to tweet all three hashtags: #NCIS #CrimeDrama #PeoplesChoice to vote for us! (or RT this!)
296603705_279409892060721153 x	@DaveLozo seems like this super exciting game has left you searching for words. That or you turned on something actually worth watching
296603705_279400558685728768 x	@BrianDawkins how does a start like this affect the defense? think it will bring excitment down? frustration set in yet? i would be pissed.
296603705_279399652435058688 x	@johnclarknbc10 parking lot empty, stands empty, but endzone is full. just sucks it is full of bengals
296603705_279398883040321536 x	@JimmieJohnson best christmas movie ever
296603705_279360201038106624 x	@damnitall48 ? close as I could get my friend
296603705_279360827331604480 x	@damnitall48 ?thought that one may have been inappropriate
296603705_279361920673411072 x	@damnitall48 last one was a tongue. Kinda a wide tongue. A tongue that leaves a big wet spot hehehehehe
296603705_279363540740108288 x	@damnitall48 wow we have lots in common.
296603705_279329155701690368 x	@sillycheese76 ?
296603705_279330699029401601 x	@sillycheese76 sorry I was have a bad hair day
296603705_278644151371829248 x	@PassionSorella9 @jondorenbos @juliedorenbos I see she is a nick foles fan huh?
296603705_277539204592959488 x	@Hartsy19 my daughter is sitting at PHL delayed as well. I dare you to walk over to c27 any yell jayme. She will prob poop her pants
296603705_277510784559489025 x	@rubbermaid any ideas how to keep the squirrels and animals out? http://t.co/JPzzMuwI
296603705_277228882795569152 x	@damnitall48 only because i have awesome friends like you
296603705_277457318713622528 x	@damnitall48 extremely tired. My oldest daughter surprised me and came home to visit. Greatest gift ever.
296603705_276874366933925888 x	@BroadStBull @tpanotchCSN how are the @nhl and @NHLPA gonna "make whole" to us the fans? It is our money that ends up in both pockets
296603705_276848351406862336 x	RT @_Happy_Gilmore: If you're a TRUE hockey fan, watch this and RT. http://t.co/YZwQ4phT
296603705_274961978219446272 x	@damnitall48 have a happy Saturday. Don't forget to relax and smile.
296603705_274700685205966849 x	@TSNBobMcKenzie how about you have to at least be top of circle or face off dot. Below 2 line pass and deep face off.
296603705_271430940151136256 x	@RealRocket22 watching classic game 6 from 1987. You guys really had to work and fight thru hooks and holds. Wood sticks too!
