558789778_394669251648552960 x	@NourishJuiceBar thanks for the best day!
558789778_399719294176882688 x	RT @ClevelandClinic: Large amounts of #sugar damaged human #heart tissue, study finds | http://t.co/G5nFFvHXv8
558789778_399716516046073856 x	@22ndandPhilly thanks for the s/o. Our delicious and REAL FOOD speaks for itself. Your photo is awesome! Thx.
558789778_399715956093882368 x	RT @22ndandPhilly: In case you missed it, last week's best food photos: ft. @Just_Jackies @SayCheesePhilly @RealFoodWorks @TheTotCart http:?
558789778_399698171615772672 x	@mkrupit, MT, looked like a typo from Hennings.
558789778_399669291425222656 x	Kudos to the @Eagles for today's win. Let us feed you some #kale for next week's game. We'll deliver kale salad!
558789778_399667363722702848 x	Kudos to @V4Veg for illustrating "What is the Matter with Pluto?" We checked him out at a book signing in #Ardmore. http://t.co/pkEFpGPTlp
558789778_399565230063509504 x	RT @Nicole_Brewer: Fascinated by Anjelica Huston -- and loving the feature on @CBSSunday! #CBS3
558789778_399565189114503168 x	@NorahODonnell great interview w/ Gov. Christie.
558789778_399563543022166016 x	RT @phillymag: Why Walking Is an Awesome Workout ? And how to get a great calorie burn while doing it. http://t.co/yyTKqVnXgA
558789778_399546245502746624 x	Eat your oatmeal! Wise words from Ann Crile Esselstyn.  http://t.co/4jt5ZpUrUt
558789778_399542740230623232 x	RT @ClevelandClinic: Children should get this much physical activity each day http://t.co/gmswFqBgm4
558789778_399541027679514624 x	MT @HeshieSegal tells us that a large milkshake at McD's contains almost twice the amt of sodium as a lge order of fries. YIKES.
558789778_399325793543024640 x	RT @V4Veg: RT @phalpern Children's book, "What's the Matter with Pluto?" illustr. by @VanceTune Signing copies Sun, Nov 10 at 2 pm, Saxbys ?
558789778_399325739528761344 x	RT @BodyProudMOM: The Strange Reason Diet Soda Makes You Fat: http://t.co/JkHjF7MvKI ? ? ?
558789778_399317908414672896 x	Who attended #thinkfest @KimmelCenter today?  Thoughts?  Best part?  Did you LOVE our #kale salad? RT
558789778_399325603109036032 x	@mkrupit thx, Mike! We always love seeing you!
558789778_399317232062169088 x	@CandyPhilly we'd love to connect with you.  Join us at our Farm Table Lunch every Wed.  Great food.  We are "food cool."@askadelphia
558789778_399250454153945088 x	@phillymag we are having a great time here at #ThinkFest2013. Have you eaten yet? http://t.co/pXEiCoIM4L
558789778_399243049307762688 x	@mkrupit you keep good company!!
558789778_399250051324989440 x	@mkrupit don't know, but we love his movies.
558789778_399248820430569472 x	@SkoutMedia try one of these. http://t.co/yizdIk8N2a
558789778_399249575950954497 x	@snipsnapapp MT, @SkoutMedia voted for us and gave us the venture funding dollar!
558789778_399248646379565056 x	@snipsnapapp be nice to us, and we will feed you more!  #Tempeh never tasted so good! http://t.co/6CMvYqHuhO
558789778_399247705886982144 x	@snipsnapapp @phillymag you need energy to shop. Eat first, then shop.  We win!
558789778_399242684277477376 x	MT @chefjosegarces tried our sliders - from @rachelspantry - and voted for us! #ThinkFest2013
558789778_399230136685715456 x	RT @22ndandPhilly: Friday Food Photos: new post ft. @Just_Jackies @SayCheesePhilly @RealFoodWorks @TheTotCart http://t.co/30UwsxWyNz
558789778_399230075511787520 x	RT @maggietwocents: Awesome #philly #startupcompany @RealFoodWorks makes the most amazing kale salad I've ever had. #ThinkFest2013
558789778_399230062295130112 x	@maggietwocents Glad you enjoyed!
