37045460_390467111228690432 x	@arieldsmith eric prydz??
37045460_389044906985259010 x	@MeekMill #learnlife
37045460_396472761310527489 x	I got that summertime summertime gratzness
37045460_396452727343296512 x	RT @TonyStreet216: 76ers 2-0
37045460_396144648970067968 x	RT @nana4eva_yours: @chrisrus777 @thegreatgratzy you guys wanna start drinking early
37045460_396053157765455872 x	I'd like to take a minute and thank my mother and father for providing for me enough that i dont need to wear a costume to afford chipotle
37045460_396049245545172992 x	KING SIZE REESES AND KIT KATS AT @71Senior TRICK OR TREAT EVERY BODY!
37045460_396017931316117504 x	I'm sure the ps4 comes out in 2 weeks
37045460_395978025776316416 x	if deadmau5 is in ny on new years im done
37045460_395725874114613248 x	RT @SportsCenter: 76ers SHOCK Heat in Philadelphia, 114-110.  Rookie G Michael Carter-Williams with a HUGE debut: 22 Pts, 12 Ast, 9 Stl, 7 ?
37045460_395644129432322048 x	I'm probably going to delete Instagram tomorrow because quite frankly i dont give a shit about how you were princess jasmine in second grade
37045460_389044647177498624 x	#learnlife
37045460_395596139158048768 x	RT @britttanyhicks: for some reason, wearing a costume is an incentive to get 10x more drunk than normal
37045460_395375420968673280 x	@liiisagoldman @ashh_mazer http://t.co/mWKZ9LMsiS
37045460_395350690580946944 x	DONT DROP THAT GRATZY GRATZ  AYYY DONT DROP THAT GRATZY GRATZ
37045460_395268827233390592 x	wait do they still make the oreos with the orange filling
37045460_395272279917342720 x	@laradawnn ok let get a pack and go ham
37045460_395263964290244609 x	halloween costume ??...I'm gonna be mike rice and launch basketballs at people at queens
37045460_395251608382365696 x	@ahegde92 ???
37045460_395242749626441728 x	YOU ARE NOW NOW ROCKIN WITH. WILL I AM AND GRATZY BITCH
37045460_394943169097265152 x	@nana4eva_yours @ahegde92 @BrandoSMASH @TheEricHammer @claytsmith SHOTGUN =)
37045460_394941248521641984 x	RT @nana4eva_yours: Hardwell tonight @ahegde92 @thegreatgratzy @BrandoSMASH @TheEricHammer @claytsmith
37045460_394916700413784064 x	@toristori_ @acourttt tat gratz on you so i know its real
37045460_394899987043463168 x	Who's down for chipotle and who's down to go in less than 5 minutes #replytweet
37045460_394639948852518912 x	i think the actual meals at Kati are bigger than the car they deliver them in
37045460_394579027983630336 x	@ahegde92 @claytsmith @nana4eva_yours @hardwell @brandosmash @theerichammer DROP 1?5? DROP 1?5? DROP 1?5? DROP 1?5? teeeen teen teen teeeeen
37045460_394575647366197248 x	RT @ahegde92: @claytsmith @nana4eva_yours @HARDWELL @thegreatgratzy don't forget @BrandoSMASH @TheEricHammer
37045460_394575626222698496 x	RT @claytsmith: @nana4eva_yours @HARDWELL District n9ne has no idea what is in store from them @thegreatgratzy @ahegde92
37045460_394575605892919296 x	RT @nana4eva_yours: @claytsmith @HARDWELL @thegreatgratzy @ahegde92 what a fitting place for what's about to go down tomorrow
37045460_394530704391827456 x	@VictorNiglio  @tweatsbyzig texted me saying "dude his diplo set makes me feel like a 15 year old girl seeing alesso for the 1st time"..lolz
37045460_394505099407405056 x	@meeshyamps im actually kinda glad i didnt see you yesterday because it would have made me think of no disclosure and that makes me sad =(
37045460_394496545652875264 x	sundays mean football, chapter, and general tsures chicken
37045460_394293324347371520 x	@biancahoran or they deserve a psychiatric evaluation
37045460_394069601681539072 x	K http://t.co/fpND1157Ib
37045460_393877310858092544 x	MY BIG MIGHT BE COMING TO HOMECOMING LETS FUCKING GO #SWAGZILLA
37045460_393832579599982592 x	I dont pop molly i rock tom sure
37045460_393808094515703808 x	RT @ahegde92: Just found out there is a student origination at school called "RU SURE", a group against alcohol abuse.... @thegreatgratzy L?
37045460_393802363783643136 x	RT @missanmania70: @thegreatgratzy ok I will give u this one
37045460_393797646131138560 x	RT @CNN: For the first time, the FDA is addressing the safety of pet food. http://t.co/MrI4dXf8GB
37045460_393797555550556160 x	if u having girl problems i feel bad for u son i got 99 problems but being literally motherfucking positively effing sure aint one
37045460_393796099250470912 x	@ahegde92 #SURENAMI
37045460_393796046868193280 x	RT @ahegde92: FIRST TAILGATE SINCE SEPTEMBER 2012 I AM NOT DJING HOLY SHIT, I have to make this one count.
37045460_393481531123326976 x	pin: 794e2207
37045460_393476412717686784 x	WHEN DA F IS BLACKBERRY GONNA EMAIL ME MY BBM ISH ITS THE WEEKEND IM TRYNA PULL SOME PINS NA MEAN
37045460_393446534836416514 x	male tix for @djcarnage sold out so me @tweatsbyzig @nana4eva_yours might have to cross dress and be Brenda Steph and Nancy for the night ??
37045460_393115947076431873 x	remember, there's no i in sure
37045460_392829185515069440 x	a scrub is a girl that cant get no love from gratz hangin out the passengers side of her best friends ride tryna bbm me
37045460_392759771251892224 x	@NicoSuuave_ as a matter of fact nicole, no, a pack of diapers does not make me happy
37045460_392752634039259138 x	@jen_gell nice! Did you bring in munchkins and have your locker decorated too?
37045460_392694423688986624 x	lolol so rutgers made all the midterms and papers before halloween weekend....thats pretty effin spooky
37045460_392700994653413376 x	@BrandoSMASH @TheEricHammer i just came back at 630 in the morning and saw a pillow and an open area and plopped
37045460_392696214543945728 x	RT @BrandoSMASH: @thegreatgratzy you're funny gratzy. Love how we never talked about how me, you, @TheEricHammer and shiv all slept on the ?
37045460_392673035645243392 x	why is facebook asking me if i want to schedule a gift for @Seiderman!?!?! of course i do!!!
37045460_392386449787846657 x	@ginasoffian duh nugget trays for days
37045460_392326812959002624 x	also i haven't heard the radio version of yg's "my nigga" but I'm really excited to see what they do with it!
37045460_392326607920447488 x	i hate when songs have the word nigga in the title like obv i still say it around my friends bc they know i have street cred but yeah...
37045460_392290681232044032 x	Ok i wore a sweatshirt and am now hot what goes on with this weather i cant even anymore
37045460_392299445851000832 x	@gotSABS oh no I'm sure...I'm sure it fucking sucks
37045460_392116092086136832 x	ok so after consulting with @tweatsbyzig we concluded that the only appropriate option for halloween is for me to be surelock holmes
37045460_392061093960757249 x	instead of sentencing people to the electric chair they should just make convicted murderers go to crush and ac on back to back nights
37045460_391978745978171392 x	who is down for Disney world spring break
37045460_391973930288037890 x	@Shake_N_Baich lol
37045460_391763290285953024 x	RT @shariffbarron: @thegreatgratzy popped a Molly im sureeein
37045460_391756296225304576 x	shoutout to them freshman...on Instagram straight surein
37045460_391746277857558528 x	ok so nana is basically meditating in bed focusing on how ignorant hes getting and it's rather frightening
37045460_391703705495810048 x	"I'm going to be rich one day man...or I'm going to jail"- @nana4eva_yours way to fight the stereotype brotha ?
37045460_391676259195187201 x	RT @mf_superstars: @nana4eva_yours yessir
37045460_391674522631671809 x	RT @nana4eva_yours: Ive realized most relationships at Rutgers are full time jobs but full time jobs are only 40 hour weeks and you're off ?
37045460_391662517506023424 x	yes i finally made it to the library this semester and yes it's only to print my hq ticket
37045460_391654160644710400 x	RT @nana4eva_yours: ?@thegreatgratzy: im on the pursuit of gratzyness and i know? everything that shines ain't always gonna be sure
37045460_391647514753253376 x	RT @nana4eva_yours: AC for the night and maybe our funerals to follow after @ahegde92 @peetaoh @darby_diaz @thegreatgratzy  @BrandoSMASH @T?
37045460_391632115856863232 x	zta is obsessed with tits and I'm perfectly ok with that
37045460_391585907989831680 x	if i actually go through with ac tonight my body's gonna pull a United States government and shut down @ahegde92 @nana4eva_yours
37045460_391453399461691392 x	RT @nana4eva_yours: I love ratchet girls
37045460_391452546772258816 x	im on the pursuit of gratzyness and i know
37045460_391447039252647936 x	@RU_Crushes im sure
37045460_391446148403458048 x	posting up/dying in @chrisrus777 bed ???
37045460_391318005088792577 x	@gotSABS im like done with u already and I'm not even with you
37045460_391286409589710848 x	who's the dude with glasses that djs at queens im a big fan
37045460_391270146062688256 x	@andrewvallejo probably curling in a ball on the couch with an iv in my arm bc of ac the night before
37045460_391258290463973376 x	what is this song i keep hearing its like i live for the applause applause applause i live for the applau applau idk but gratz FUCKS WITH IT
37045460_391232425574936576 x	im not a player im just sure a lot
37045460_391090094830272512 x	can somebody please let me know what wing of Robert wood johnson @ahegde92 is at?
37045460_391090368919654400 x	@britttanycole when are visiting hours
37045460_391069530002571265 x	@ESPNNFL @tweatsbyzig I'm sure
37045460_391069407205941248 x	RT @sarahndipitydoo: @thegreatgratzy hotdogs were the healthiest things you could fine there
37045460_391035603611303936 x	there only reason I'm drinking tonight is so i can eat hot dogs blacked out like in cancun
37045460_390904633260273664 x	RT @Mr_Castaldi: I cannot wait to watch dallas get destroyed
37045460_390718967800950784 x	@gotSABS @jessbuss10 @sara_bauer_ no I'm trying to break my crush record of 19 minutes
37045460_390665527313833984 x	@toristori_ thats fucked up i dont even remember leaving my house
37045460_390659951041200129 x	@toristori_ wait did i do that?
37045460_390560222500360192 x	my upmost important rule in life is to never be disciplined by somebody riding a segway
37045460_390464330753265664 x	i wake up early every morning so i can read everyones horoscope on twitter
37045460_390312756882055168 x	i like it when ya do that right shurr right shurr switch ya hips when ya walkin let down ya hurr
37045460_390269575335788544 x	What are some strategies people use to not eat because they aren't hungry but just want to eat
37045460_390243769846464514 x	@RealGlenMacnow @broadstbully45 @flyfis1369 best pizza is delorenzos in trenton, they moved to a bigger location but the pizza is the same
37045460_390257183067496449 x	@flyfis1369 correct, the one on hamilton avenue relocated to Sloan avenue in hamilton
37045460_390244098252107776 x	@RealGlenMacnow king of pizza in cherry hill is a close second
37045460_390165198268825600 x	RT @nana4eva_yours: Now every time she hear my name she SALUTE ?
37045460_390162818705530880 x	my sole mission from here on out is to bring back soldier by destinys child with ti and lil wayne
37045460_389983359877009408 x	@nana4eva_yours @chrissyberardi nah i woulda went with something like set that white boy on fire now that dude a firecracker
37045460_389985057940987904 x	@ChrissyBerardi lets go harass @nana4eva_yours this week it'll be fun!
37045460_389988177362317312 x	@nana4eva_yours @chrissyberardi BIG im just joking!!!! #bestbigever
37045460_389976136111124481 x	wait so barndoore serves sandwiches and wraps and isn't in fact a new petting zoo?
37045460_389969165794418688 x	all these fireworks in New Brunswick like its the fourth of surely ???
37045460_389894858640719872 x	how come everyone at rutgers couldn't wait to go to the jerry springer episode when I'm gonna be on it?
37045460_389853442988339201 x	Im a big fan of ztas MANI-for the-SURE philanthropy everyone go do it now
37045460_389831422162522112 x	No john, i dont think an emoji theme would work... @J_Altieri
37045460_389762963596640256 x	I'm sure i just saw Martino driving a pick up truck
37045460_389596266877157376 x	RT @kate_marc: @thegreatgratzy i still cant get over the "started from the bottom now im sure" tweet its too good hahahahhaahha ??? #amazing
37045460_389308077440516096 x	@nana4eva_yours can u come to my room and talk to me until i fall asleep
37045460_389310828392235008 x	@nana4eva_yours U SUCK
37045460_389312127884087296 x	@nana4eva_yours I'm coming jeez
37045460_389312468184756224 x	@nana4eva_yours and once again the great gratzy outlasts nana
37045460_389314847584030720 x	@nana4eva_yours nah dude get some rest big steelers game tomorrow
37045460_389301972240957440 x	@shariffbarron wedge lol...
37045460_389289400971980800 x	@saylimyrus really feeling your tweets right about meow especially the one about zigs
37045460_389287428520812544 x	if anyones interested in making some $ ill pay someone whatevers in my checking account to deliver a cool blue gatorade to me #thinkaboutit
37045460_389288530150576128 x	@nana4eva_yours ughhh can we hookah or are u dying
37045460_389288902801903616 x	@nana4eva_yours @ChrissyBerardi ight thanks chrissy u da man bro
37045460_389285256710193153 x	@JoeBudden papi where u at
37045460_389096718488567808 x	@nana4eva_yours where's Nicole is she alive i like her
37045460_389087220977917952 x	survival of the surest
37045460_389075218112999424 x	sooooo yeah i just had an argument with the girl at kfc about how sure i was
37045460_389041656907173888 x	@ahegde92 @YoungMannyRises and @thehowardlc want to join us lets goooo
37045460_389028559890968576 x	@kristenroettger we get it you liked high school move on dude
