217653084_392499013939101696 x	What a day. Is it Thursday yet?
217653084_392310412961529856 x	I live between two lines that lead into endless bliss
217653084_387585622527201280 x	?@MissUmo: MOAR PILLOWS? #GetAGrip
217653084_396107026163859456 x	Sometimes. You get drunk. Watch Great Gatsby. And let the mind wander
217653084_395760802302799872 x	RT @springsteen923: Bruce Springsteen - This Hard Land http://t.co/mQGw4HmKIt Music video by Bruce Springsteen performing This Hard Land? (?
217653084_395758921568505856 x	Baby I can walk you all the way home
217653084_395404917890121729 x	RT @imdaBookMan: "...the privilege of friendship - to talk nonsense, and to have that nonsense respected? - Charles Lamb.
217653084_393040194364248064 x	RT @AreEyeDouble: #UndaUnda in the AM. #streetwalkingjivetalking  @DaddyLongStock @se7enthpower Wat up?! http://t.co/NgmaBZyljm
217653084_392852447196381184 x	RT @Springsteensong: http://t.co/96eFeSqY0v
217653084_392851366366179328 x	RT @TweetsOfGrass: The man falls struggling and foaming to the ground while he speculates well.
217653084_392851184329166848 x	RT @TweetsOfGrass: I see neath the rims of your haggard and mean disguises.
217653084_392667255731146752 x	RT @imdaBookMan: "Every man dies. Not every man really lives". ? William Ross Wallace.
217653084_392310133251780608 x	RT @WhatTheFFacts: You can strengthen your brain and lower the risk of alzheimers by memorizing lyrics.
217653084_392262593009958912 x	RT @imdaBookMan: "One today is worth two tomorrows" - Benjamin Franklin.
217653084_392262473539420160 x	RT @SportsCenter: THIS JUST IN: Packers TE Jermichael Finley is in the ICU at a hospital after suffering neck injury vs. Browns. (via @mort?
217653084_392262288675467264 x	RT @imdaBookMan: ?Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be success?
217653084_392121285062688768 x	So...about Matt Barkley...@PaulMacrie @captain9nyr
217653084_392262128557912064 x	@captain9nyr @PaulMacrie Like I said, this team's a joke.
217653084_391776445078708225 x	We have to say goodbye to what we've grown accustom to in order to say hello to what we've been striving for
217653084_391720312129454080 x	Man this sucks
217653084_391668492388139009 x	Grinding out till Wednesday then a nice, cold vodka is in the works Thursday-with a dab of sushi, hopefully.
217653084_391633299321257985 x	C'mon we gotta keep the fire burnin-c'mon we gotta keep the fire burnin-c'mon dream on dream baby dream
217653084_391397535174377472 x	RT @EvanJamesRoskos: @MatthewQuick21  http://t.co/jaChCHxY21 http://t.co/AxUakv7Vya
217653084_391389890963062784 x	A million different faces in unison-uniting by one binding message. This is what it's all about-#dreambabydream http://t.co/0MLqmk8G2p
217653084_391282389760360448 x	33rd anniversary of The River. "Is a dream a lie if it don't come true, or is it something? http://t.co/LpzqvY9nko
