113632871_395804184441667584 x	@aishaimran94 #Atlas . #CatchingFire . One of my favourite tracks of late.
113632871_395803884649586688 x	RT @OMGFacts: Shakespeare invented the term "swagger"
113632871_395762107938918400 x	RT @ElizabethBanks: Congrats BOSTON!! #RedSox #BostonStrong #beardsbegone
113632871_395761968058867712 x	RT @johncusack: Congrats boston!!
113632871_395760959421022208 x	RT @Linda_Pizzuti: Ross lifts the trophy
113632871_395760469794754560 x	RT @perlmutations: So happy for the people of #Boston. Big,big bright spot in what's been a tough, tough year!
113632871_395760079707713536 x	RT @THR: .@RedSox Win #WorldSeries: What Hollywood Is Saying http://t.co/JggpKByKTp
113632871_395760003044220928 x	RT @TheTotalLFC: Boston Red Sox have just won The World Series  for the third time in 10 years under the ownership of FSG. @John_W_Henry ???
113632871_395759287743426560 x	RT @ChrisEvans: CHAMPS!!!!!!! AGAIN!!!!!!!!!!! The last 12 years have been an embarrassment of riches as a Boston sports fan. Thank you, Bo?
113632871_395221410039095297 x	RT @MFworldfootball: #MUFC #Moyes http://t.co/ANGzGYvAsB
113632871_395220867015135234 x	RT @boxofficemojo: 'Gravity' passed $200M at the domestic box office yesterday: http://t.co/C5H4iz6Wwl How much do you think it makes by th?
113632871_395220693115080704 x	RT @clairerourke: Also a must see- @DanielAgger interview with #lfckopkids http://t.co/Rt6p5Ry6X9
113632871_395220421005410304 x	RT @OptaJoe: 3 - Michu has scored in only three of his last 14 Premier League appearances. Regression.
113632871_395219948080857088 x	RT @GrumpyyCat: Friendly reminder that Adele and Taylor Swift are the same age yet one of them has a child and another is mentally stuck in?
113632871_395191895774605314 x	RT @Troll__Football: Haha LOL , Agree ? http://t.co/yRd1tJNlEr
113632871_395125680830046208 x	@DanielAgger way to go #dagger .
113632871_395125584352669697 x	RT @DanielAgger: Please stop all the tweets about me leaving! I'm not going anywhere! Will be back in the team soon:) Y.N.W.A
113632871_395100423725400064 x	@NokiaUS Are we going to see an official Facebook Inc. designed Facebook app for Lumia devices?
113632871_395100140295319552 x	RT @NokiaUS: @Aakash006sharma They will be available in the coming weeks! Thanks for reaching out.
113632871_394905301956063232 x	RT @FootyMemes: Turkish doubles http://t.co/EkEZIA6TaK
113632871_394519807317393408 x	RT @TheTotalLFC: Hazard dives time to time and get away with it without any notice from the media. ..
113632871_394313602045186049 x	Is this what the lady luck is all about? I think so ?. @CaroWozniacki : please be there at the Emirates too.. http://t.co/CzlkoXq0bX
113632871_394023541256880128 x	RT @FA: The first match played under FA rules featured Barnes and Richmond. They drew 0-0 at Limes Field on 19 December 1863. #FA150
113632871_393992562345648128 x	RT @TheLastPuFF_: Never underestimate the seductive power of correct grammar.
113632871_393992519140118528 x	RT @TheLastPuFF_: God made Heaven and Earth, the rest was made in China.
113632871_393992476777648129 x	RT @GabbbarSingh: Manmohan Singh's Whatsapp shows, Last seen at 1991.
