226349480_396064460659752960 x	?@Jones_Drew32: Homie D. Clown http://t.co/YPqhgdnvVW? WIN
226349480_395740797330784256 x	RT @the_ironsheik: Dwight Howard please dont forget you are biggest pussy bitch in the world that look like pancake lady
226349480_395324812383768576 x	?@forthewin: Patriots coach Bill Belichick dressed up as a pirate for Halloween - http://t.co/GbJeEleXj2 http://t.co/08dJypCIne? @drewmagary
226349480_394676304152637441 x	RT @awfulannouncing: Game 5 is totally going to end with the winning run scoring on a strikeout.
226349480_394527251485978624 x	RT @gonzoCSN: Michael Vick on bench with a towel on his head. Maybe he's going as Curt Schilling for Halloween.
226349480_392116863679094784 x	@ChazDoesntCare "I agree" - J. Sandusky
226349480_391736360320921600 x	Heading home. Feels like I haven't been here in like a month.
226349480_385930592426418176 x	Goodbye 'Murica
226349480_384892671242018816 x	RT @awfulannouncing: Democrats and Republicans need to settle this government shutdown like real adults? tomorrow morning on First Take. #E?
226349480_382322890294964224 x	@nicholasreed I have him and DeMaryus and I need to make up about 60 points. The sad thing is I might get close at this pace.
226349480_381526669569585152 x	@ProFootballTalk these parents think their special snowflakes can do no wrong - god forbid they actually DISCIPLINE their little hellspawn
226349480_380881635245555712 x	@drewmagary if that isn't like 90% of Eagles fans in South Jersey then I don't know what is (and I'm an Eagles fan from South Jersey)
226349480_380871570174279680 x	RT @FakeWIPCaller: Nothing good ever comes from Akeem Jordan being on the field
226349480_379750614164832256 x	@ChazDoesntCare nice getup Rick http://t.co/TSeqWSRd1m
226349480_379015033063481344 x	RT @awfulannouncing: Miami Heat fans would have left this game like 45 minutes ago.
226349480_377619654359150592 x	RT @edsbs: #LANEKIFFIN4ELTRI
226349480_377613314588942336 x	#RoadToWellington
226349480_377261794496348163 x	RT @The700Level: Photo: Chip Kelly Uses Amazing Phillie Phanatic and 'Rocky' Playcall Signs http://t.co/rWUVqFI7HI
226349480_377225466186584065 x	RT @FakeWIPCaller: THIS is the DeSean Jackson that inspired Bradley Cooper to win that dance contest and nail Jennifer Lawrence
226349480_377213418518089728 x	SWEEP THE LEG
226349480_377210281120002048 x	RT @FakeWIPCaller: I don't see how the Eagles come back from this. Season over
226349480_376186914837372928 x	El Tri #RoadToWellington
226349480_368438955060256768 x	RT @FakeWIPCaller: This is the most outrageous, unjust, ill-timed coach firing since JoePa #weare
226349480_368110637744136192 x	RT @FakeWIPCaller: A seven-foot snake is on the loose in suburban Philly? I thought Bynum was in Cleveland
226349480_362693700172128256 x	RT @zoowithroy: Reminder that the Phillies drafted Riley Cooper, so this too, in a way, is probably also Ruben Amaro's fault
226349480_361987084606636035 x	RT @NotBillWalton: Cops are searching a pond in Bristol, Conn in regards to Aaron Hernandez. Maybe they'll find @RealSkipBayless 's journal?
226349480_359803690485428225 x	RT @WFAN660: #MLB sources have informed CBS Evening News' @JimAxelrod that Alex Rodriguez could be looking at a lifetime ban. | http://t.co?
