538382337_390331990916231168 x	Spezza!!! #natural
538382337_389554445576859648 x	Walking Dead!!!
538382337_292784087826046976 x	HOCKEY!!!!!!!!!!!!!!!!!!!!!
538382337_387944020640804865 x	Tomas Hertl!!  What??
538382337_395699020620120064 x	RT @Hartsy19: Sad day. New look. Looks like a poodle got a hair cut http://t.co/z0uirjqjrv
538382337_395696998168289280 x	Etobicoke seniors in double suicide heartbreak | Toronto & GTA | News | Toronto Sun http://t.co/HAeP0znPgg
538382337_395661640290807808 x	RT @juliussharpe: I'm never clear who I'm supposed to tip or not so I just threw my wife a twenty after breakfast.
538382337_395421857371148288 x	Thomas Steen???
538382337_395034404210634752 x	Only the Cowboys could lose like that.
538382337_394346696177905664 x	Nothing beats a 2am sammy from 7	 #risky
538382337_394314455452221440 x	Questionable end to Game 3 #WorldSeries
538382337_394300945707708417 x	Feeling Lonely #hateeatingalone
538382337_394309618576269313 x	@1lilQtpie Don't say sorry for something that's not your fault
538382337_394308904923852801 x	I have never been drunk.  I have been over served!
538382337_394159687106830336 x	@ReneeYoungWWE http://t.co/PNdaGAS3d2
538382337_393925668394008576 x	RT @Sid_Seixeiro: Maple Leafs master plan of having their goalie bail them out every night seems to have some holes in it.   #leafs
538382337_393338428634705920 x	RT @simmonssteve: Night after night in the NHL some no-talent thug eliminates a player of skill: It's more than bloody time to make an exam?
538382337_392840820966973440 x	http://t.co/IbED3XLSOz
538382337_392489100533854208 x	RT @simmonssteve: Is John Farrell's dream job managing the Tigers?
538382337_392137037459247104 x	Welker is awesome #Bradywishes
538382337_392119895674322944 x	43% of Men prefer bacon over sex #JohnTafford #barrescue tough call lol
538382337_392085913754697728 x	Peyton back in Indy?  #yesplz
538382337_391777925231812608 x	Disappointing end for the Tigers.  Thanks for coming out Prince.  Good thing you're not paid by the playoff hit!!
538382337_391675204055105536 x	@TTChelps It's always fun to be on the North Dufferin bus when it shorts turns and leaves everyone standing in the rain #nicefuckintouch
538382337_391028802979397632 x	@cFerreira_xo @LegendarySteve BERNIER!!!!!
538382337_390654023004880896 x	Leyland is a genuis
538382337_388841713537925120 x	RT @GeorgeParros: My heart goes out to @AdrianPeterson still can't wrap my head around it, There's no punishment that fits this crime
538382337_388841568448573440 x	SHARKNADO!!! #nuffsaid
538382337_388628072775565312 x	RT @simmonssteve: If a tree fell in the forest ... If Kyle Wellwood announced his retirement ... #wouldanyonenotice
538382337_388506522453831680 x	Tigers #ALCS
538382337_388454506071355392 x	@CarlyanneF Did you hear the good news?  Courtney is no longer in cash office #nowingrocery #steveisherboss #epicfail
538382337_387488079034212352 x	Nothing beats closing and opening without any sleep at all #nofrillsproblems
538382337_387487108853932032 x	I don't watch NBA so why the hell would I watch pre-season NBA #nothanks
538382337_387045470390218752 x	The line for the Broncos Jags game next week is Broncos by 28.  Highest EVER in NFL history!!!  Should be more lol
538382337_386996646841950208 x	LOL Just a matter of time till Romo threw a huge INT!!
538382337_386921215061147648 x	I think the Argos could beat the Jags!!
538382337_386697554471419904 x	Verlander is the man!!!
538382337_386652152472813568 x	@CarlyanneF Like I said........Sens!!
538382337_386676546435821568 x	@CarlyanneF Who is this?
538382337_386562051528998912 x	@CarlyanneF Go Sens!!!
538382337_386548410943553537 x	Pumpkin Spice Latte with Cinaminon is heaven!!
538382337_385478389026811905 x	RT @GeorgeParros: Thanks for all the well wishes everyone #classyfollowers
538382337_385177047783735296 x	Here........We.........Go #NHL
538382337_384868738975428608 x	6 Umps and they still can't get it right #realsad!!
538382337_384406207228022785 x	Trent who??
538382337_384402057878581248 x	NFL is the most fixed shit in the world.
538382337_383344181957382144 x	@TTChelps But why oh why is the heat on on this bus today #melting
538382337_381797833156083712 x	@cFerreira_xo You will be missed at work #1A
538382337_381915848572944384 x	@CarlyanneF Lol yes I am
538382337_381916184557654016 x	@CarlyanneF Where's the afterparty?
538382337_381798143094169600 x	@1lilQtpie Good shit
538382337_381797062339477504 x	RT @1lilQtpie: Sometimes I get so tired of all the BS excuses. I blame myself. I hand out forgiveness like it's candy on Halloween
538382337_381640155834351616 x	@CarlyanneF It's preseason.
538382337_381639798479683584 x	I'm gonna take your Mom out for a nice dinner and never call her again #Anchorman
538382337_381601340004528128 x	Hoping I can sleep tonite.
538382337_381600461348151296 x	Crazy Pre-Season shootout #Ranger
538382337_381538138390544384 x	If I could I'd take a small town over this City Anytime!!
538382337_381179824842489856 x	@TTCnotices 1 in 10 Dufferin buses going to Wilson during rushhour on a Friday?  #fuckinjoke
538382337_380462560602251264 x	Browns 0-16 #youhearditherefirst
538382337_380375765470445568 x	Today makes 10 yrs @ No Frills #yeahforme #not
538382337_379692976013709313 x	Police: 12 dead in shootings at UN Navy complex in Washington http://t.co/42PkoQjoQy via @cp24
538382337_379419043624935425 x	Can't wait for the NEW Season of Bar Rescue #Tafford
538382337_377622765630926848 x	@_stephpereira Good Luck.
538382337_375413174117625857 x	RT @CauseWereGuys: Sorry officer, Jesus took the wheel. *Leans in close* You gonna arrest Jesus?
538382337_370654374550577152 x	@samcantakus I love Tori Hunter. And to think he called the Tigers for a job
538382337_369949167608922112 x	They say when you meet the right person you'll know.   How come it takes 1.5 yrs to know they're the wrong person??
538382337_368479707404058624 x	@cFerreira_xo DECEMBER!!! #thatsthedeal #youpromised
538382337_368468328136081408 x	@Cwatchout Do you like Termasoup???
538382337_365870949863657472 x	RT @SuicidePass: 25 years ago, Sergio Momesso and Vincent Riendeau were traded for Jocelyn Lemieux and the pick that became Patrice Brisebo?
