206813847_392700835677089792 x	@CastraPratoria superman
206813847_383355634575757312 x	@Alpha_Kat @LindseyStirling yes it was. I am so blessed to have shared it with you, my love :)
206813847_379108132037099520 x	My fav cosplayer! @OfficialNMJ is a sweet person whom loves her craft with amazing detail. #number1cosplayer! http://t.co/Ib4TvvgfJF
206813847_379107713718157312 x	@DrakeBell @DrakeBellLive stopped and had a quick photo with @Alpha_Kat. #classyguy http://t.co/dZg29kPfiu
206813847_379107269381603328 x	My girl @Alpha_Kat asking him a question! http://t.co/1uRvzevQ06
206813847_379107114712846336 x	Rory McCann, The Hound is abound! Great guy! http://t.co/lZqmNmRqnr
206813847_379106724550287361 x	After a long but amazingly fun day at the Nashville Comic Expo, and then relax in hot tub, time for bed. #tosleepperchancetodream
206813847_379044587400343552 x	@OfficialNMJ thank you so much for being so approachable and nice when I came by your booth today. Excellent job judging the costume comp!
206813847_376805796715036672 x	@OfficialNMJ my girlfriend and I will be there! :)
206813847_376492179252084736 x	About to see Alice in wonderland on stage. #loveperformingarts
206813847_371090285247201281 x	RT @Addicted_oncer: @emiliederavin for some reason I thought you would appreciate this http://t.co/txeKMHgVca
206813847_370022761143341057 x	Not feeling the best. Pyuck
206813847_365992798396235776 x	@sherilynch than you much for following my twitter. I listen to the show every day at work and am a huge fan! :)
206813847_365264443891920900 x	RT @UberFacts: If you'd like to download a Youtube video, just add "ss" to the URL between www. and Youtube.
206813847_364710654139047936 x	RT @UberFacts: A study of 16,000 women found that females with more curves are smarter than those who weigh less.
206813847_352843096830124032 x	RT @UberFacts: Pie crusts can be extra crispy by using vodka instead of water when making them.
206813847_351110274692026368 x	RT @UberFacts: Your taste in music is something that develops through experience and is not something you are born with.
206813847_348899561428881409 x	RT @Rules4Relations: When I see you, my heart beats a little faster, my stomach feels a little lighter & my smile shines a little brighter.
206813847_346411183181545472 x	RT @UberFacts: People who complain online are more likely to suffer from anxiety, depression and stress.
206813847_343423235595046912 x	RT @fandomfest: http://t.co/UyZmzr8zNs check out some of the gaming that will be happening. 24 hours a day
206813847_343421813361094656 x	RT @autocorrects: I sing too much for someone who can't sing.
206813847_343421468815785986 x	?@UberFacts: Today is Best Friends Day!? @Alpha_Kat , @Kaazuto , mic thomerson.
206813847_343160502286958592 x	@LKHamilton well wishes and healthy thoughts sent your way to my fav author.
206813847_341015061411794944 x	@Alpha_Kat happy 6 month anniversary my love!!!! XD
206813847_338185463976308736 x	?@UberFacts: There's an Iron Man edition of Mr. Potato Head named "Tony Starch."? @Alpha_Kat
206813847_328295097697435649 x	RT @autocorrects: I'm the type of person that wants to get good grades, but doesn't want to study.
206813847_326007569510449154 x	RT @UberFacts: Pit Bulls were once known as ?nanny dogs? because of how protective and kind they were to children.
206813847_321467377214689280 x	@GroovyBruce have always been a huge fan. Would love to have you as a follower though I'm nothing special lol
206813847_321436976735727617 x	@Alpha_Kat that train was well worth it. Shows me I need to carry cash for cash only things lol
206813847_317081284956524544 x	@NathanFillion happy birthday forever Captain!!!
