78811893_398246952170565632 x	@cnmenta It's best to just ignore them.
78811893_399004543180369920 x	VIDEO: Sixers' Tony Wroten after career high 18 points  http://t.co/7BPQqrwQB0
78811893_398988130679652352 x	Andrew Bynum scored a bucket. And boos followed. Real surprising.
78811893_400058843037589505 x	This makes seven straight games in which the Sixers have trailed after one quarter. (Only against Miami have they led after first 12 mins.)
78811893_400058661361291264 x	After one quarter: #Sixers trail San Antonio, 31-13.
78811893_400058564527390720 x	The Sixers had 4.1 seconds to inbound the ball and get a shot off. They did half of that. (I'll let you guess which half.)
78811893_400058061580021760 x	The Spurs are having a field day with the Sixers right now.
78811893_400057809112276992 x	Another slow start for the Sixers, who are down 29-13 in the first quarter.
78811893_400056289230716928 x	Wroten, Morris and Allen are first off the bench for Sixers, who trail, 17-11, with 3:30 to go in the first.
78811893_400054164451233793 x	Spurs 6, Sixers 3 after first three minutes. Sixers needed eight shots to finally make one.
78811893_400047260194443264 x	#76ers blog: Spurs' Popovich says #Sixers' James Anderson 'is pretty good a lot of areas,' but not really good at one http://t.co/OlVisyEHtJ
78811893_400048459178192896 x	@APgelston Says the guy who's not here. Or at the Bynum presser, yet miraculously wrote off of it the other day.
78811893_400039069821837312 x	#Sixers starters vs. Spurs: Turner, Young, Hawes, Anderson, MCW. ... Spurs starters: Leonard, Diaw, Splitter, Green, Parker.
78811893_400040532333694976 x	@EricGorenstein Wouldn't say yes, but only because his speed/scoring are valuable off the bench. Depth is (very) clearly an issue.
78811893_400038879098462208 x	Just ran into Penncrest High hoops coach Mike Doyle & his son Mike courtside @ #Sixers / Spurs. Good guy w/ solid Delco teams over the years
78811893_400032481421713408 x	Sixers C Daniel Orton (right knee soreness) said he's available tonight. "Nothing I can't play through," he said.
78811893_400029823885533184 x	Spurs coach Gregg Popovich said Tim Duncan (rest) is out tonight vs Sixers. Boris Diaw will start.
78811893_400029403490447361 x	Spurs Popovich said assistants, Brett Brown included, have voice. "It's no ones program, unless it's Timmy (Duncan's) program. He's my boss"
78811893_400029096475766784 x	VIDEO: Spurs coach Gregg Popovich, on Sixers coach Brett Brown  http://t.co/ZqVcSxZ1ji
78811893_400028287981735936 x	Spurs coach Gregg Popovich said he's thankful Sixers gave Brett Brown a chance. "People will find out shortly he's for real."
78811893_400026988569567232 x	#Sixers coach Brett Brown's advice to MCW on guarding Tony Parker: "Two words: Get back." Called Parker "a deer, a greyhound."
78811893_400026577733287937 x	VIDEO: #Sixers coach Brett Brown on his start with San Antonio coach Gregg Popovich  http://t.co/wuRUDIfd0f
78811893_400022180047912960 x	A common sight pregame or at #Sixers practice-- coach Brett Brown running shooting drills with Nerlens Noel http://t.co/azesJjF3vZ
78811893_400007046499958784 x	@BigStewMVP Temple hoops? Absolutely. La Salle at Palestra is a lock. Everything else is uncertain, but I'll be around.
78811893_399963694840680449 x	@fakeJPD Never. I miss the guy -- both real and @FakePeterNowak
78811893_399936898900447232 x	Sixers coach Brett Brown, who has a wealth of Spurs knowledge, said he's used self-control in gameplanning: "You have to hold yourself back"
78811893_399936473077923842 x	Sixers coach Brett Brown on facing his former team: "It's not that dramatic. It really isn't."
78811893_399936182005792768 x	Sixers coach Brett Brown said he and Spurs coach Gregg Popovich speak "three to four times a week. We talk way beyond basketball."
78811893_399933522137604097 x	Evan Turner, on Brett Brown facing Spurs: "He would like to win. ... That's his personality." #sixers
78811893_399757057043484672 x	@TUwatson41 Good luck this season.
78811893_399657004886941696 x	@JohnLohn @PompeyOnSixers I think you'll see him moved at the deadline. His stock continues to rise with each 20+-point game.
78811893_399202597384757248 x	Won't be in Cleveland tonight for #Sixers/Cavs. Instead I'll be in Bucks County as best man in my buddy's wedding. Congrats to Dave & Colie!
78811893_399205946486185984 x	@ChaiMike18 You've got that right
78811893_399204762983624704 x	@danarkans I wish you the best, Dan haha
78811893_399204594867531776 x	@EliotShorrParks I yelped. Haha well done.
78811893_399199688370692096 x	#Sixers bowl over Andrew Bynum, Cavaliers (with video) http://t.co/cmDulZWVaI
78811893_399201552126468096 x	@MikeWeekley Thanks haha
78811893_399032642537938944 x	@PDcavsinsider Very nice to meet you today. Safe travels back to Cleveland.
78811893_399032489315815424 x	#76ers blog: Andrew Bynum makes return to Philly a laughing matter ... oh, and the #Sixers won (with videos) http://t.co/iMy265eQD1
78811893_399022402715521024 x	#Sixers bowl over Andrew Bynum, Cavaliers http://t.co/cmDulZWVaI | #76ers @nba
78811893_399026105849774080 x	@JakePavorsky Headline? Gamer?
