16203515_393404749250592768 x	OH NO. Sixers projected to win 24 games?! Say it ain?t so | http://t.co/H1ueNl0H5r
16203515_392017281989226496 x	About that. RT @And_Porter: Controversy!
16203515_392013467085176833 x	#your #your #your RT @dontpoke_dabear: @SpikeEskin your still a talentless troll #dadpaysmyway
16203515_391923950055591936 x	@daturk22 in all seriousness, you need to sit down with your second grade spelling, grammar and punctuation books.
16203515_395696705053945856 x	The door slams behind Brett Brown. Hinkie turns around, face red with anger and pounds his desk. ?WHAT DO YOU THINK YOU?RE DOING?!"
16203515_393072858303569920 x	To be clear: I don't care what team Dom Brown likes or if he tweets about it. I get it if you do, but I think it's fun.
16203515_395752999253209089 x	Red Sox fans are the worst fans. Boston fans are the worst fans. I am unhappy they won.
16203515_389524398941929472 x	I will be on @SportsRadioWIP Tuesday night from 10-2 and I am contemplating my strategy.
16203515_394534955982016512 x	Imagine if he hurt it. RT @Lana: big, if true RT @ClaytonESPN: Official word on Vick is that he has a hamstring.
16203515_394522382221983744 x	COME ON CHIP PUT IN ALL THE QBs YOU INNOVATIVE SUNUVABITCH
16203515_394517941598707712 x	?I?ll show them how little I want to start Matt Barkley.? - Chip Kelly
16203515_394515379961483266 x	I don?t know how many picks he?ll throw, but Eli is throwing for 400 yards today.
16203515_394513568789716992 x	Damaris Johnson touchback! Progress!
16203515_392020435271168000 x	Hey @howardeskin, I'm waiting on your big talk tweets about Nick Foles this week. You fraud.
16203515_392019266125721601 x	Allen Iverson played QB in high school and plans to retire from the NBA in 10 short days!
16203515_390252107439554560 x	It's happening (maybe) RT @PDcavsinsider: Andrew Bynum actually in #Cavs warmups and on bench for Cleveland.
16203515_389477279291932672 x	If Chip has any sense he'll fake sick to avoid the post-game presser QB questions.
16203515_389476028223340544 x	Gonna make people go bonkers when Vick starts against the Cowboys.
16203515_386942435525660672 x	I can't believe Celek caught that. Amazing.
16203515_386937801968996352 x	Run game for McCoy not being as effective without Vick back there isn't something I expected to be this drastic.
16203515_386927772687675392 x	Tom Coughlin keeps the challenge flag in his sock. Just in case his wife is away for an extended period of time and he needs both.
16203515_386910310499905536 x	Refs won't give the Eagles a safety just out of principle.
16203515_386907947139608576 x	The Eagles only have one more win than the Jaguars.
16203515_386908972189753344 x	@bomck23 he hired the defensive coordinator.
16203515_348579987324022784 x	fundamentals http://t.co/PwAZiQhaBK
16203515_368750189151920128 x	I talked with @howardeskin regarding his thoughts on Charlie and the Phillies. May surprise you. Listen here | http://t.co/HuDRbF4fqg
16203515_286595460918034434 x	Andy Reid's goodbye column about Marcus Hayes: lotta swag in that haircut bro.
16203515_386115989823578112 x	My advice to you, if you want to talk about the Sixers, would be to learn other players' names so you don't have to dwell on White.
16203515_386116951741050880 x	@JohnPhilMLU you've got the option to talk about whatever you want! The internet is cool that way!
16203515_387911646909575168 x	The cast of Machete Kills just suggested the best movie snack of all time. Chocolate covered raisins IN your popcorn.
16203515_380850548456816640 x	Holy hell. Football TV broadcasts: just play Thunderstruck by AC/DC. Every one of you. Done deal.
16203515_347896503802658816 x	I'm on @SportsRadioWIP right now! Listen live here http://t.co/Hh6yfN5IIa. Call at 888 729 9494
16203515_387258929681793024 x	#OldNewsAdam
16203515_388054205048819712 x	Flyers fans. RT @mikedeej97: @SpikeEskin Can I call in and talk about the Sixers one championship in the last 46 years?
16203515_388012367499755520 x	Considering abandoning any show prep I have for tonight and just trolling Flyers fans in honor of @KevinCooney.
16203515_395723395155103744 x	Just win please we need this.
16203515_395285671914782720 x	The anti-Red Sox caller on WIP right now has a fan in me.
16203515_394961568146128898 x	@Capt_KeepItReal haha you and @wagssid
16203515_392368172856524800 x	Question per @chrisjohnsonjr on our podcast: Foles and Vick are hurt, and your only two options are Marcus Vick or Tebow. Who do you pick?
16203515_391243837341175808 x	Wowwwww RT @DallasCowboys: ugh women can vote? Since when?!
16203515_389917050128572416 x	ET's theme song this year http://t.co/FfbVrHSpeS
16203515_389918558425448448 x	@Capt_KeepItReal mean
16203515_389820252848418816 x	We discuss Foles vs. Vick, GJ Kinne, and @LeeRussakoff's bachelor party trip to Vegas on Time's Yours | http://t.co/mU1eHUEhWD
16203515_389816054408818688 x	VickFolesFolesVickVickVickFolesFolesVickFolesFolesVickVickVickFolesFolesVickFolesFolesVickVickVickFolesFolesVickFolesFolesVickVickVickFolesF
16203515_389395770887000064 x	#cronies RT @PhillyMike: @SpikeEskin who is posting these or are you and your cronies just having fun with TB?
16203515_389362746699300864 x	Give me a final score for the Eagles game and a prediction for Foles' stat line. Use the #CBS3Kickoff hashtag to get your tweet on TV.
16203515_388718009860509696 x	The people who say you can't platoon Ryan Howard because of what he makes do not understand value.
16203515_388459337167167488 x	You gotta know when to hold 'em.
16203515_388385647599570944 x	In short: I am a Simmons fan. Don't think he was great on TV, but being next to Magic who is terrible and contentious didn't help.
16203515_388377399903408128 x	Taking questions on the following movies for the next 8 minutes: Vanilla Sky, Punch Drunk Love, Bio-Dome, Mars Attacks, Higher Learning
16203515_388088890676224000 x	For the night crowd #2: meet Mike, who thinks he's Kurt Cobain | http://t.co/p787Xejjt3
16203515_389483775450939392 x	Ed Rendell's biggest reason to start Foles next week is that the crowd might boo Vick if he's unsuccessful.
16203515_389483190899183617 x	The more wins over horrible teams, the better. THe entire division is horrible teams so I'll take it.
16203515_389454488463216640 x	Can you imagine having to watch this game if you were anything but a Bucs or Eagles fan?
16203515_388741042755084288 x	Greg Schiano somewhere trying to leak that the MRSA infections came from Josh Freeman.
16203515_388738019446226944 x	Can someone contact Ed Rendell to find out of MRSA is a wussy reason to postpone a game?
16203515_388326195617882112 x	@raydidinger my thoughts are that I'm pretty much finished discussing anything with a weird half/parody account. Be well.
16203515_388304748451209216 x	Lost my voice yelling at people about Nick Foles last night.
16203515_388195971500634112 x	thanks for listening tonight. Sorry for the temper tantrums!
16203515_387554081407266816 x	Just bought some row 1 mezz center seats for the Warriors game.
16203515_387557311503671296 x	@Ronmexico7phi bro no offense but the Ron Mexico parody account might be 6 or 7 years too late.
16203515_387269694342045697 x	Best moment of yesterday's Eagles game for me personally | http://t.co/8sowZBCwUE
16203515_370525850807975936 x	Maybe the greatest story ever told. Thanks @darealtank78! | http://t.co/ttFf3jXK6n
16203515_390974793862094848 x	My fianc?e and a goat. #goat http://t.co/gtbMcjyLKp
16203515_396286422900305920 x	updated #FF @chipkelly @stevedownie @craigberube @brettbrown
16203515_394856447982714880 x	#Unretire20
16203515_394479503248199681 x	On the air on #CBS3 at 11:30am. Give me your prediction for the game, and who is today?s MVP. Gotta tag it with #CBS3Kickoff!
16203515_380861993076654080 x	Hey guys, just a warning, if you're going to grill some fresh jalepenos, don't forget you touched them. Wash your hands, kids.
16203515_380862941744365568 x	Wait a minute. The Sixers have Vander Blue, and Royce White. They need Michael Redd.
16203515_392460850285801473 x	Weirdo even edited his weirdo comment three times http://t.co/x7fvzaQxjB
16203515_389473832542945280 x	There are so many Riley Cooper jokes.
16203515_380865782580019200 x	The TV play by play. Nessler, not Merril.
16203515_379277566269747200 x	Don't read this you can't handle it http://t.co/lf7ltqKlAB
16203515_377204716964704256 x	Anyone else yoked up multi-popeye style?
16203515_377199185885270017 x	Thanks to the internet for always being nice and creepy. http://t.co/Pg8UJyc8aG
16203515_355507213483249666 x	well Ian Ziering looks fantastic
16203515_350063841226399744 x	one follower has engaged me in two issues: he has stuck up for delmon young and spencer hawes. he wasn't trolling.
16203515_349339103663357954 x	Let me save you the trouble: any tweet that you begin with "tell your dad," you can erase that part and just TELL HIM HE IS ON TWITTER.
16203515_390170289025609729 x	I am really surprised at the lack of coverage this Eagles QB situation is getting.
16203515_389390474722951168 x	Looking for predictions for today's @Eagles game, and give me Foles' stat line. Use #CBS3Kickoff to get your tweet on TV.
16203515_389345592981606400 x	love Amos Lee but every album sounds a little more like he's wearing overalls with a piece of straw in his teeth which is sort of a bummer.
16203515_388459892677574656 x	Know when to fold 'em.
16203515_388031395240902656 x	three days of this and people still answer. Bless you twitter.
16203515_391637710836080640 x	clippers broadcast team just called DeAndre Jordan the best running big in the history of the NBA.
16203515_388105021415784449 x	Picture: Nerlens Noel bought an "I Hate Sidney Crosby" shirt tonight | http://t.co/g69FayybTw
16203515_386257494114578432 x	A Rod, who do you want to sue? http://t.co/qPr5nsYYAT
16203515_385473047463202816 x	RT @PeteRose_14: #Reds just didn't play good at all the last week
16203515_394551056707121152 x	of course
