1345192446_386255004560293888 x	Thanks @jerseygurl59 ya Bitch
1345192446_391374876784992256 x	@ShamelessLipG   Holla!
1345192446_398850184303894528 x	@jerseygurl59  yea woulda been fun but I'm a mess ??
1345192446_398846980342185985 x	Day 7 really F**^**G sick of this Sinus infection! ?
1345192446_398851339343900673 x	@EritreanSoldier  Shoot that over to Eminen...
1345192446_398850813189431296 x	@blakeshelton  Well maybe 6 ppl had luck getting on the website.... Try again??  Ya think?
1345192446_398849678617616384 x	@blakeshelton  I'm lost too, Politics eh?
1345192446_397779492472897537 x	RT @emmyrossum: We did 66 camera set-ups yesterday on shameless. That's a record for us. #shameless
1345192446_397393358848819200 x	RT @joshwolfcomedy: Hey guys, has anyone heard from Tom Cruise? I'm worried about him. #isheonhisspaceship #helooksgreatrunninginasuit
1345192446_397132077805887489 x	@ShamelessFionaG  Ditto
1345192446_397130092968960000 x	@ActorTrivia @BestMovieLine -great Actors
1345192446_397129532563804160 x	@TheAarynGries - word?
1345192446_397122329719095296 x	#DaylightSavings  sucks!!!
1345192446_397121502304542721 x	I hate when it's dark at 5pm ?
1345192446_397120696503255040 x	RT @steelers: The defense stops the Patriots on 4th and goal.  @steelers ball.  #HereWeGo
1345192446_397066220018872320 x	Pumpkin Butter!  Take that Martha Stewart http://t.co/FJuSpa0cXR
1345192446_396396009905205248 x	@ilyGemma - wheres hallowenie pix?
1345192446_396340661223690240 x	@watching @TheTalk_CBS  love Robert DeNiro a true Class Act! ?
1345192446_396306619317112832 x	RT @EmmaRoseKenney: Tweet me if you voted for #Shameless for the Peoples Choice Awards!! RT! ??? http://t.co/rGwj0WzDji http://t.co/UYrf7Hb?
1345192446_395633888749703168 x	@RealTalk  true
1345192446_395633514429030401 x	?@Lmao: (?_?)    )  )z   /    Bitch, I'm fabulous.? @jerseygurl59
1345192446_395595020071620608 x	@KeenanManzo11 @Bethenny  She's insane
1345192446_395592212496789504 x	@EmilyLynnGrant @Bethenny  haha!!!
1345192446_395592002618011649 x	@RehobothEmbassy @Bethenny  oh the race card?  New that was coming next.
1345192446_395589518054916096 x	@ShamelessFrankG  aw Thank's right back atcha ?
1345192446_395589291679940608 x	@Bethenny @ladycoper1 - wait the icing on the cake is she's a Pastor, isn't she suppose to be Christ like?
1345192446_395588776460034048 x	@Bethenny  Wow what an uncomfortable interview...why would you even bother?
1345192446_395176263800745984 x	Happy big 50 Scott .... http://t.co/kErjt1aeOp
1345192446_395175140168052736 x	@FOX29philly @MikeFOX29 @SheinelleFox29 just wondering y we nvr see Steve Keely?  Only storms & School closings.??
1345192446_395170965803778048 x	@jerseygurl59 meniscus whaaa?  Everyone Efn sick in this house.? I'm in hiding
1345192446_392475395498729472 x	#PebblesIsSomewhere  Crying!
1345192446_392662388585279488 x	@Janella_Dubois  She should go hide under a rock- So glad they finally got 2 tell their story
1345192446_392494402461245440 x	@KekePalmer loved it??
1345192446_392494158327599104 x	It's crazy thinking back to how Huge TLC was,  great movie - great casting well worth the wait #CrazySexyCool
1345192446_392482296986865664 x	What an inspiration @TheRealTBOZ is
1345192446_392351021495631872 x	@officialchilli & @TheRealTBOZ ...on @TheTalk_CBS .....Can't wait for the Big Show #CrazySexyCool ...Super Excited!  love you ladies
1345192446_391577216477577216 x	RT @80sNostalgia: The cast of Young Frankenstein pose for a photo. One of my favourite films. http://t.co/Gc0jaqqeC7
1345192446_391374527789539328 x	@ShamelessFrankG @ShamelessLipG @AllThingsTVGirl @tvwritergirl .....not if you're a Gallagher http://t.co/hneBlgwJxm
1345192446_391375301944836096 x	@tvwritergirl @ShamelessFrankG @ShamelessLipG @AllThingsTVGirl  haha!  I was trying to remem more ppl to include
1345192446_391344948643368960 x	@jerseygurl59 @FOX29philly  yea really :)))
1345192446_391344753817960450 x	@tvwritergirl @thewhitesister @Lmd_12 @NormansCat @CosmicGirl78 @catestarks @smiling_sara33 @writerTQB @TeamMonaghan ??
1345192446_391001388689666048 x	Behind The Music #TLC
1345192446_390870983567245312 x	RT @OfficialTLCNews: 'TLC 20' stays at number #1 on the iTunes R&B albums chart for 3 days now. @TheRealTBOZ @officialchilli
1345192446_390857386904129536 x	Where are you @jerseygurl59?
1345192446_390864191353266178 x	@tvwritergirl @jerseygurl59 ... lol. Ok
1345192446_390864090996162560 x	@3goldensisters .... Lol u 3 are great! ;)
1345192446_390860862229340160 x	@pebbles2day  Wow TLC had 2 pay 1 mil a letter to get there name back?    #sad #wheresthelove
1345192446_390852719634022400 x	@pebbles2day So tell your side,  I believe TLC 100%
1345192446_389092050626703360 x	-- this is pretty cool http://t.co/c2Z5wdeg56
1345192446_389078538349182977 x	RT @GordonRamsay: Just heard the devastating news about Josh Marks. My thoughts are with his family & friends at this tragic time.
1345192446_389072918615179265 x	@DritaDavanzo  can't wait Dec 5th?
1345192446_389072217528872960 x	@illuminationPR @jenngraziano @examinercom . great Article - good luck @jenngraziano
