768879625_398930809719369728 x	@mynamescodybarr great article
768879625_400114696743043072 x	@NBCBlacklist Kevin Spacey's scared face in the preview of next week's episode looks like Superman seeing kryptonite #TheBlacklist
768879625_400078493918461952 x	@Like_a_Bloss31 it feels great to do a sweep through your list and get rid of them all
768879625_400079152117985280 x	@Like_a_Bloss31 be strong and take a stand
768879625_400078884663984128 x	Got the shout out from my boys @lipssmo and @iHall59 killing it on WEXP LaSalle with these tunes.
768879625_400076372305248256 x	@lipssmo atlas genius-Trojans or Matt and Kim- Let's go
768879625_400072694970191872 x	Forever a lover of Coldplay
768879625_400068683042914304 x	Tuning into #miserablemondays for my boy @lipssmo #WEXPlasalle
768879625_400033582816563200 x	Pop-pop showing his love to mom-mom while serving. #rip #veteran http://t.co/9lUsBbm0Kv
768879625_400033041168744448 x	Cannot wait to see some xc this weekend at Holmdel #SmoketheBowl
768879625_399992287268438016 x	RT @JeffSkversky: Nobody in the NFL has more TD's than Riley Cooper in November
768879625_399992219337502720 x	People who like cool ranch Doritos are basic.
768879625_399982855390248960 x	That #SCfeatured video got me.
768879625_399938582766682112 x	@weatherchannel calling for am snow showers tomorrow morning.
768879625_399936408447901696 x	@George_Balzer congrats brotha. See ya at Holmdel
768879625_399935451009941504 x	?@ChirpHard: Happy Veteran's Day from the entire hockey world. http://t.co/W6ChIMPbuJ? that's awesome
768879625_399913901867155456 x	RT @HistoryInPics: One of the first ever photos of a human being, from Philadelphia, November 1839. http://t.co/KXvBFNq2YF
768879625_399910475980627968 x	RT @matteomatumbo: Thank you! To all the men and women in our armed forces that have served in the past, present and future #HappyVeteransD?
768879625_399909519872241664 x	RT @Mahon_94: The bigger the Government the smaller the Citizen
768879625_399771248487858176 x	A special thank you to all the courageous men and women  who serve and have served to stand for and? http://t.co/Rf256sXYIp
768879625_399745334370656256 x	Thank you New Orleans Saints
768879625_399738606723792896 x	RT @realDonaldTrump: If we could force Russia, China and other competitors to use ObamaCare, we would be able to instantly destroy their gr?
768879625_399729492442488833 x	FINALLY SOME ACTION
768879625_399733327751835649 x	@RickSchroth slick rick is always welcome
768879625_399733046913802240 x	Great episode
768879625_399723343496368129 x	Hershel, it is time to get out of there.
768879625_399712780011720704 x	It takes mental, food, and seat preparation before each episode. @WalkingDead_AMC
768879625_399710259016912897 x	I admire the @nfl efforts in thanking the veterans this weekend.
768879625_399705582535712769 x	Peyton Manning needs to can it and take a hit.
768879625_399662612356792320 x	Usually I eat my feelings away after an Eagle's loss, but the past two Sundays have been nothing but happy snacking.
768879625_399653883376828416 x	Raven's kicker #OhhKillEm
768879625_399648812945670144 x	RT @nfl: 'Isn't football great?' #CINvsBAL #OT
768879625_399647688645693440 x	Hail Mary at it finest
768879625_399636612872933377 x	RT @SportslineLTV: CONGRATS TO @LaSalle_WSOC ON THEIR BACK TO BACK @atlantic10 TITLES!!!!!
768879625_399636540227612672 x	What a hit! And a hug!
768879625_399607509826408448 x	Nothing like a little lunch in the city with my lady friend.
768879625_399382192813768704 x	RT @EarthPix: Colorado http://t.co/q3fZy36y8I
768879625_399379984244285440 x	MCW
768879625_399379772771676160 x	Sixers game though
768879625_399373508448645122 x	Kyrie Irving's ball handling skills are the 8th wonder of the world.
768879625_399321562152980480 x	Michigan football is struggling
768879625_399291320629727232 x	Great game. Tough loss.
768879625_399285992496308225 x	SUDDEN DEATH.... DODGEBALL!
768879625_399281272889290752 x	@tygarland is the definition of clutch
768879625_399279390779265024 x	We got ourselves a ball game
768879625_399221703102173185 x	RT @tygarland: The preparation is DONE now its time to HOOP!!!
768879625_399220489521864704 x	RT @szack21: It's that time #lasallembb
768879625_398958249887952896 x	Nothing like some collegiate girls basketball #GoExplorers
768879625_398936558000422912 x	@_jennhelm you liar
768879625_398896318497964032 x	RT @CoachBrianKelly: Leaving GUG headed to Pittsburgh. #GoIrish http://t.co/Y3JrFMzWYi
768879625_398844934536822784 x	The beginning of a great season of college hoops ?
768879625_398847558430502912 x	@scott10nolte that's what I meant. All college teamd
768879625_398871496921477120 x	@scott10nolte how's the new pup?
768879625_398885210844319744 x	@scott10nolte it couldn't be going better so far. I am real loving it.
768879625_398883946643341312 x	@scott10nolte oh man is she a lab?
768879625_398848724241485824 x	According @Rcgerachi, he is pumped 24/7 to play the trumpet. #Bandislife
768879625_398846027861872640 x	@caitrionabrady yeah definitely. I'll make it happen
768879625_398822438701924353 x	It took a health care system with his name on it for the American people to finally realize the failure of this presidency.
768879625_398689570621247488 x	It's a Lumineers/Mumford kind of night.
768879625_398643815911006208 x	The Cardinal making a statement early
768879625_398643152674127872 x	@Michael_JHarder think like a man?
768879625_398642796732874752 x	No words for Philadelphia hockey right now.
768879625_398626317299884032 x	Big fan of good games and upsets. #GoStanford
768879625_398618736409976832 x	Eternal sunshine and this bottle is mine could be possibly the worst movie ever produced.
768879625_398571636062171136 x	SportsTalk Philly http://t.co/HQ0mU9KnSI
768879625_398521979525144576 x	RT @TheFunnyVine: Seneca Wallace throws just like Uncle Rico... https://t.co/NavP6HJb9c
