148522500_399175164945899522 x	November's issues of Let's Celebrate!  Enjoy. http://t.co/G5iOSMi8mJ
148522500_399174813602050048 x	Here is a link to my latest Let's Celebrate! news letter - enjoy! http://t.co/SWe0pkeEar
148522500_398935165742768128 x	Check out "Home for the Holidays" http://t.co/uCMsprIJEg via @eventbrite Save $5 using promo code Remember
148522500_398910608130576384 x	Designer Lollipops generously donated these custom pops for IFW's huge event on the 19th. http://t.co/9wyuZKuauB
148522500_398854689585758209 x	Booyah! Check out what I got on #Fiverr http://t.co/4DOitOYg7O #MadeOnFiverr
148522500_398836287789989888 x	Booyah! Check out what I got on #Fiverr http://t.co/tUoyWN416t #MadeOnFiverr
148522500_398804192380608512 x	Today is National Cappuccino Day! Cappuccino was created in Italy in the 1600?s. It got its name from an Italian... http://t.co/wxf2mZVM2v
148522500_398138048765898752 x	Just wanted to share another happy customer's comments: Dear Stacy ,    As Chair of the German Shepherd Dog... http://t.co/C3DPdzqwCK
148522500_397809177164537856 x	Today is Election Day!   Have you ever wondered why Election Day always falls on a Tuesday? It is an antiquated... http://t.co/NNxSTWYI9r
148522500_397462370236125184 x	Do You Need a Social Media Marketing ?Attitude Adjustment?? http://t.co/iYG4tvz2Xr
148522500_397462333808603138 x	Interconnections For Women - Do You Need a Social Media Marketing ?Attitude Adjustment?? http://t.co/u4nAf8woLt
148522500_397164211899744256 x	RT @4Connections: @JoeyFortman will b Rockin the house on 11/19! the IFW house that is! Register now!  http://t.co/Pp2dl6U28t
148522500_397142865413169152 x	RT @McGuigan101: Love the Eagles fans who pile into opposing stadiums.
148522500_397067837753159680 x	Why Do We Fall - Motivational Video: http://t.co/YrI3nFRqTI via @youtube
148522500_396780071064580096 x	First Event in my new series of How To Parties.  Hope you can make it.  Please feel free to share the event with... http://t.co/uRPHSuD5sR
148522500_396766542894870528 x	Home for the Holidays Event - http://t.co/z2tIraNvXK
148522500_396657912409763840 x	Working on an amazing new event just in time for the holidays.  I always liked creating How To Events and I plan... http://t.co/6upjs1Dexl
148522500_396637799706685440 x	Interconnections for Women 3rd Annual Cocktails &... http://t.co/O8D9MYI6la
148522500_396637198012788736 x	Check out "Interconnections for Women 3rd Annual Cocktails & Connections for Charity" http://t.co/6FIHPu1TNS via @eventbrite
148522500_396628933061656576 x	Working on the November issue of Let's Celebrate! Feeling blessed. Have new advertisers and hope that you will... http://t.co/Qd0eVpduRP
148522500_396628258592411648 x	Working on the November issue of Let's Celebrate!  Feeling blesses.  Have new advertisers and hope that you will... http://t.co/bhHU9bJX6M
148522500_396260339048022016 x	Today is All Saints? Day! All Saints' Day, or All Hallows? Day, is a religious holiday observed by the Anglican... http://t.co/efnF4MpKKU
148522500_396230951057231872 x	Happy November 1st.  Hoping that your night of trick or treating went well.  Don't forget that all the left over... http://t.co/XLL2o2vsVU
148522500_395952053325144064 x	Halloween Fun at The Ville....... Howdy partner http://t.co/0KhE9vlPjI
148522500_395861431272628224 x	New Jersey says "Happy Halloween" http://t.co/U6P5kyaHO4
148522500_395861351085506560 x	New Jersey says "Happy Halloween" http://t.co/xBmQh5y9xO
148522500_395860913892651008 x	Happy Halloween!  Enjoy this blog post and please feel free to leave a comment or two!!!  Be safe, have fun and... http://t.co/jnf4QcuvYj
148522500_395364014131511296 x	@McGuigan101 thanks, love you too
148522500_395198472112308224 x	So excited to be speaking again to the Hospitality Students at Camden County College this evening!
